dataset	n_arrays	n_patients	unit	CLDN4_CD8A_rho	CLDN4_CD8A_p	CLDN4_CD8A_partial_rho	CLDN4_CD8A_partial_p	CLDN4_CD274_rho	CLDN4_CD274_p	CLDN4_CD274_partial_rho	CLDN4_CD274_partial_p	CLDN4_ImmuneScore_rho	CLDN4_ImmuneScore_p	CLDN4_ImmuneScore_partial_rho	CLDN4_ImmuneScore_partial_p	verdict_CD8A	verdict_CD274	verdict_ImmuneScore
GSE33532 LUAD patient	40	10	patient	-0.16363636363636364	0.6514773427962428	-0.17180518849852233	0.6584964938637784	0.04242424242424241	0.9073638178128159	0.041990143805212696	0.9145839689343477	-0.10303030303030303	0.7769984634438898	-0.10639393271977848	0.785290217475784	UNDERPOWERED	UNDERPOWERED	UNDERPOWERED
GSE33532 LUAD array	40	10	array	-0.14352720450281425	0.3769401651215835	-0.11290070399212042	0.49377437338173014	0.09737335834896811	0.5500147231921884	0.11396453513307962	0.4896859704157368	-0.15609756097560978	0.3361222240858071	-0.11935278144865978	0.4692497045551489	NO_EVIDENCE	NO_EVIDENCE	NO_EVIDENCE
GSE33532 all_tumor patient	80	20	patient	-0.24962406015037594	0.28851258969719185	-0.10605534754156268	0.6656521684351934	-0.04060150375939849	0.8650468790077723	0.08662930311398304	0.7243606715844872	-0.06165413533834586	0.7962393511384775	0.10054764016728261	0.6821262079167212	UNDERPOWERED	UNDERPOWERED	UNDERPOWERED
GSE33532 all_tumor array	80	20	array	-0.21713548992030007	0.0530267360812211	-0.10163652932745354	0.3727804397948626	-0.03534927332395687	0.7555765846650099	0.06673105847210554	0.5590072773262518	-0.10344585091420534	0.36116957881574224	0.09159977372256334	0.4220501851103664	NO_EVIDENCE	NO_EVIDENCE	NO_EVIDENCE
