cohort	unit	n_patients	predictor	endpoint	n	rho	p	ci_lo	ci_hi	rho_adj_epithelial	p_adj_epithelial	n_adj	verdict
LUAD	array	10	CLDN4	CD8A	40	-0.14352720450281425	0.3769401651215835	-0.47566969153769206	0.20038570970062525	-0.11290070399212042	0.49377437338173014	40	NO_EVIDENCE
LUAD	patient	10	CLDN4	CD8A	10	-0.16363636363636364	0.6514773427962428	-0.8693022663610896	0.5895994297277398	-0.17180518849852233	0.6584964938637784	10	UNDERPOWERED
LUAD	array	10	CLDN4	CD274	40	0.09737335834896811	0.5500147231921884	-0.20233718026149458	0.38452793328222756	0.11396453513307962	0.4896859704157368	40	NO_EVIDENCE
LUAD	patient	10	CLDN4	CD274	10	0.04242424242424241	0.9073638178128159	-0.647837539818672	0.7021670606776989	0.041990143805212696	0.9145839689343477	10	UNDERPOWERED
LUAD	array	10	CLDN4	ImmuneScore	40	-0.15609756097560978	0.3361222240858071	-0.42476381149468534	0.1166581949336914	-0.11935278144865978	0.4692497045551489	40	NO_EVIDENCE
LUAD	patient	10	CLDN4	ImmuneScore	10	-0.10303030303030303	0.7769984634438898	-0.6923566878980892	0.5385093167701861	-0.10639393271977848	0.785290217475784	10	UNDERPOWERED
LUAD	array	10	CLDN4	epithelial_mean_z	40	0.12326454033771109	0.4485891065246311	-0.20534787553982187	0.45167831214870097	-0.05863074288745557	0.7229332715431167	40	NO_EVIDENCE
LUAD	patient	10	CLDN4	epithelial_mean_z	10	-0.006060606060606061	0.9867429111949892	-0.708392295597484	0.6160030178556453	-0.19484359854400943	0.6154119400509005	10	UNDERPOWERED
LUAD	array	10	CD8A	ImmuneScore	40	0.8549718574108819	2.1843871445371204e-12	0.7425721158783479	0.9044425698097063	0.8401824610310531	2.2541466045230892e-11	40	OPPOSITE
LUAD	patient	10	CD8A	ImmuneScore	10	0.8424242424242423	0.002220031225916843	0.4230769230769231	0.9627329192546584	0.8358098122946643	0.0050096924793973634	10	UNDERPOWERED
all_tumor	array	20	CLDN4	CD8A	80	-0.21713548992030007	0.0530267360812211	-0.41401186031910436	-0.005055891765058813	-0.10163652932745354	0.3727804397948626	80	NO_EVIDENCE
