	value
n_matrix	100
n_probes_deposited	25906
n_patients	20
n_tumor_arrays	80
n_normal_arrays	20
n_luad_tumor_arrays	40
n_luad_patients	10
n_mixed_tumor_arrays	24
n_mixed_patients	6
n_lusc_tumor_arrays	16
n_lusc_patients	4
n_named_complete_luad_arrays	40
estimate_immune_present	138
estimate_stromal_present	132
epithelial_present	6
probe_CLDN4	201428_at
probe_CD8A	205758_at
probe_CD274	223834_at
cd274_227458_at_present	False
