dataset	cohort	malignant_def	metric	tnk_def	min_mal_cells	n	n_corr	n_NMPR	n_MPR	mean_NMPR	mean_MPR	delta_NMPR_minus_MPR	p_nmpr	p_onesided_NMPR_gt_MPR	p_method	rho	p_rho	dir_nmpr	dir_rho	recovers_user_direction	note
GSE207422	post_n12	thirdparty_drmref	mean_log1p_cp10k	lineage_TNK	0	12	12	8	4	1.570699174703016	1.120210630662227	0.45048854404078886	0.15353535353535352	0.05454545454545454	exact_enumeration	-0.1258741258741259	0.696683109395766	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	thirdparty_drmref	mean_log1p_cp10k	umi_CD3E_CD8A_NKG7	0	12	12	8	4	1.570699174703016	1.120210630662227	0.45048854404078886	0.15353535353535352	0.05454545454545454	exact_enumeration	-0.09090909090909093	0.7787253962454419	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	thirdparty_drmref	mean_log1p_cp10k	drmref_TNK	0	12	12	8	4	1.570699174703016	1.120210630662227	0.45048854404078886	0.15353535353535352	0.05454545454545454	exact_enumeration	-0.4895104895104896	0.10625237175934595	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	marker_all_epi	mean_log1p_cp10k	lineage_TNK	0	12	12	8	4	1.598050844330882	1.2562576810377628	0.34179316329311926	0.10909090909090909	0.08080808080808081	exact_enumeration	-0.0979020979020979	0.7621216559962992	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	marker_all_epi	mean_log1p_cp10k	umi_CD3E_CD8A_NKG7	0	12	12	8	4	1.598050844330882	1.2562576810377628	0.34179316329311926	0.10909090909090909	0.08080808080808081	exact_enumeration	-0.034965034965034975	0.9140933424107599	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	marker_all_epi	mean_log1p_cp10k	drmref_TNK	0	12	12	8	4	1.598050844330882	1.2562576810377628	0.34179316329311926	0.10909090909090909	0.08080808080808081	exact_enumeration	-0.21678321678321683	0.49855598552418845	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	marker_epi_nnl_zero	mean_log1p_cp10k	lineage_TNK	0	8	8	6	2	1.9638006373075603	0.34216837786793747	1.6216322594396229	0.07142857142857142	0.03571428571428571	exact_enumeration	-0.2380952380952381	0.5701563208157683	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	marker_epi_nnl_zero	mean_log1p_cp10k	umi_CD3E_CD8A_NKG7	0	8	8	6	2	1.9638006373075603	0.34216837786793747	1.6216322594396229	0.07142857142857142	0.03571428571428571	exact_enumeration	-0.2380952380952381	0.5701563208157683	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	marker_epi_nnl_zero	mean_log1p_cp10k	drmref_TNK	0	8	8	6	2	1.9638006373075603	0.34216837786793747	1.6216322594396229	0.07142857142857142	0.03571428571428571	exact_enumeration	-0.5476190476190477	0.16002564253889653	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	marker_epi_nnl_p75	mean_log1p_cp10k	lineage_TNK	0	10	10	7	3	1.949549813652141	0.9712151312099954	0.9783346824421456	0.18333333333333332	0.06666666666666667	exact_enumeration	-0.3939393939393939	0.25999776683488757	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	marker_epi_nnl_p75	mean_log1p_cp10k	umi_CD3E_CD8A_NKG7	0	10	10	7	3	1.949549813652141	0.9712151312099954	0.9783346824421456	0.18333333333333332	0.06666666666666667	exact_enumeration	-0.33333333333333326	0.3465935070873343	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	marker_epi_nnl_p75	mean_log1p_cp10k	drmref_TNK	0	10	10	7	3	1.949549813652141	0.9712151312099954	0.9783346824421456	0.18333333333333332	0.06666666666666667	exact_enumeration	-0.7575757575757575	0.011143446799694208	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	cnv_p95	mean_log1p_cp10k	lineage_TNK	0	12	12	8	4	1.8643959328704367	1.453278867785319	0.4111170650851177	0.15353535353535352	0.07272727272727272	exact_enumeration	0.07692307692307693	0.8121826980280591	NMPR>MPR	positive	NMPR>MPR_only	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	cnv_p95	mean_log1p_cp10k	umi_CD3E_CD8A_NKG7	0	12	12	8	4	1.8643959328704367	1.453278867785319	0.4111170650851177	0.15353535353535352	0.07272727272727272	exact_enumeration	0.1188811188811189	0.712884219214772	NMPR>MPR	positive	NMPR>MPR_only	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	cnv_p95	mean_log1p_cp10k	drmref_TNK	0	12	12	8	4	1.8643959328704367	1.453278867785319	0.4111170650851177	0.15353535353535352	0.07272727272727272	exact_enumeration	-0.34965034965034975	0.26523878689278996	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	cnv_p90	mean_log1p_cp10k	lineage_TNK	0	12	12	8	4	1.850962861045177	1.3953918178229054	0.4555710432222715	0.15353535353535352	0.044444444444444446	exact_enumeration	0.06293706293706294	0.8459309212287789	NMPR>MPR	positive	NMPR>MPR_only	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	cnv_p90	mean_log1p_cp10k	umi_CD3E_CD8A_NKG7	0	12	12	8	4	1.850962861045177	1.3953918178229054	0.4555710432222715	0.15353535353535352	0.044444444444444446	exact_enumeration	0.0979020979020979	0.7621216559962992	NMPR>MPR	positive	NMPR>MPR_only	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	cnv_p90	mean_log1p_cp10k	drmref_TNK	0	12	12	8	4	1.850962861045177	1.3953918178229054	0.4555710432222715	0.15353535353535352	0.044444444444444446	exact_enumeration	-0.3426573426573427	0.2755674509567803	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	cnv_mu2	mean_log1p_cp10k	lineage_TNK	0	12	12	8	4	1.8307647602550783	1.4449673515716728	0.3857974086834055	0.2828282828282828	0.08080808080808081	exact_enumeration	0.027972027972027972	0.9312343512018807	NMPR>MPR	positive	NMPR>MPR_only	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	cnv_mu2	mean_log1p_cp10k	umi_CD3E_CD8A_NKG7	0	12	12	8	4	1.8307647602550783	1.4449673515716728	0.3857974086834055	0.2828282828282828	0.08080808080808081	exact_enumeration	0.06293706293706294	0.8459309212287789	NMPR>MPR	positive	NMPR>MPR_only	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	cnv_mu2	mean_log1p_cp10k	drmref_TNK	0	12	12	8	4	1.8307647602550783	1.4449673515716728	0.3857974086834055	0.2828282828282828	0.08080808080808081	exact_enumeration	-0.4265734265734266	0.16669998762494498	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	cnv_gmm	mean_log1p_cp10k	lineage_TNK	0	12	12	8	4	1.818373969289704	1.3718914530100421	0.44648251627966196	0.07272727272727272	0.044444444444444446	exact_enumeration	0.0	1.0	NMPR>MPR	zero	NMPR>MPR_only	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	cnv_gmm	mean_log1p_cp10k	umi_CD3E_CD8A_NKG7	0	12	12	8	4	1.818373969289704	1.3718914530100421	0.44648251627966196	0.07272727272727272	0.044444444444444446	exact_enumeration	0.034965034965034975	0.9140933424107599	NMPR>MPR	positive	NMPR>MPR_only	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	cnv_gmm	mean_log1p_cp10k	drmref_TNK	0	12	12	8	4	1.818373969289704	1.3718914530100421	0.44648251627966196	0.07272727272727272	0.044444444444444446	exact_enumeration	-0.2657342657342658	0.4038330883147116	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	intersect_markerNNL_cnvP95	mean_log1p_cp10k	lineage_TNK	0	8	8	7	1	2.0736391077169594	0.9066854331443829	1.1669536745725764	0.25	0.125	exact_enumeration	-0.30952380952380953	0.4556448907375822	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	intersect_markerNNL_cnvP95	mean_log1p_cp10k	umi_CD3E_CD8A_NKG7	0	8	8	7	1	2.0736391077169594	0.9066854331443829	1.1669536745725764	0.25	0.125	exact_enumeration	-0.2380952380952381	0.5701563208157683	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
GSE207422	post_n12	intersect_markerNNL_cnvP95	mean_log1p_cp10k	drmref_TNK	0	8	8	7	1	2.0736391077169594	0.9066854331443829	1.1669536745725764	0.25	0.125	exact_enumeration	-0.5714285714285715	0.13895995716070672	NMPR>MPR	negative	both	pCR counted as MPR; author CopyKAT IDs not public; drmref is third-party
