n	rho	p	cohort	predictor	purity_proxy
108	0.07415166222248326	0.44564793874218417	LUAD	TACSTD2_protein	WES_purity
104	0.11725916965981481	0.23583747649507927	LUAD	TACSTD2_protein	WGS_purity
110	-0.14875008452990102	0.12091991588987254	LUAD	TACSTD2_protein	ESTIMATEScore
108	0.03604821851678253	0.711095418752634	LUAD	TACSTD2_RNA	WES_purity
104	0.001744567575912578	0.9859769822289143	LUAD	TACSTD2_RNA	WGS_purity
110	0.05455008577000485	0.5713855204923658	LUAD	TACSTD2_RNA	ESTIMATEScore
107	0.06638094244546083	0.4969258829558377	LSCC	TACSTD2_protein	WES_purity
104	0.09360103956096243	0.3446144128129996	LSCC	TACSTD2_protein	WGS_purity
108	-0.1763220821782084	0.06794063027900427	LSCC	TACSTD2_protein	ESTIMATEScore
107	0.08945613286460964	0.35950346097257585	LSCC	TACSTD2_RNA	WES_purity
104	0.08621821057642638	0.3841628164309396	LSCC	TACSTD2_RNA	WGS_purity
108	-0.1792671453965473	0.06339811447201316	LSCC	TACSTD2_RNA	ESTIMATEScore
