cohort	n_intersect_rna_protein_pheno	TACSTD2_RNA_id	TACSTD2_protein_id	n_TACSTD2_RNA	n_TACSTD2_protein	n_rna_genes	n_prot_genes	n_pheno_cols	n_xCell_T_cell_CD8+	n_xCell_immune_score	n_CIBERSORT_T_cell_CD8+	n_ESTIMATE_ImmuneScore	targets_missing
LUAD	110	ENSG00000184292.7	ENSG00000184292.7	110	110	60669	12433	182	110	110	110	110	
LSCC	108	ENSG00000184292.7	ENSG00000184292.7	108	108	60669	12760	192	108	108	108	108	
