cohort	sample_id	TACSTD2_RNA	TACSTD2_protein	xCell_T_cell_CD8+	xCell_immune_score	CIBERSORT_T_cell_CD8+	ESTIMATE_ImmuneScore	WES_purity	WGS_purity	ESTIMATEScore	ESTIMATE_TumorPurity_Yoshihara	ESTIMATE_StromalScore	xCell_stroma_score	xCell_microenvironment_score
LUAD	11LU013	12.1415	26.6151803802369	0.002133852	0.03184285	0.13194913	7328.733	1.0	0.335	15644.913	-0.9713109407431226	8316.18	0.1306081	0.1624509
LUAD	11LU016	12.0216	26.2835802697097	0.01121403	0.09794161	0.32361854	8959.895	0.26	0.22	16565.172	-0.9944893805348061	7605.276	0.04657201	0.1445136
LUAD	11LU022	10.8317	26.2725305761208	0.0005692301	0.04081311	0.150465095	7824.536	0.26	0.3	15853.37	-0.9781319786821899	8028.834	0.08390617	0.1247193
LUAD	11LU035	13.0916	26.7037884833657	0.0	0.1474417	0.146070577	9197.404	0.46	0.16	17569.744	-0.9991000182865122	8372.34	0.07612427	0.2235659
LUAD	C3L-00001	11.5018	25.9705892775291	0.03544304	0.1225245	0.00268929	7303.39	0.25	0.275	15822.926	-0.9771927653855107	8519.536	0.1311764	0.2537009
LUAD	C3L-00009	12.7115	26.7295399407478	0.00439214	0.08406495	0.11273086	8803.27	0.26	0.165	17464.303	-0.9996368264626417	8661.034	0.1128354	0.1969003
LUAD	C3L-00080	11.9518	26.894802022724	0.01748088	0.05931378	0.173517966	7241.276	0.45	0.445	12611.467	-0.7741732653198122	5370.191	0.01065559	0.06996937
LUAD	C3L-00083	10.8818	26.0045252567816	0.005572736	0.2324115	0.23071142	9412.821	0.33		18574.503	-0.9820200723207688	9161.682	0.2939017	0.5263132
LUAD	C3L-00093	13.349	25.9829334233093	0.02552148	0.1454568	0.098940802	9279.385	0.24	0.15	18100.142	-0.9927744256972516	8820.757	0.1165054	0.2619622
LUAD	C3L-00094	10.2017	25.5132085518707	0.03715426	0.08991233	0.140721169	7797.116	0.38	0.256	14996.958	-0.9443359895704688	7199.842	0.121987	0.2118993
LUAD	C3L-00095	12.0916	26.2793704199024	0.08355455	0.2748869	0.255908532	9895.047	0.24	0.06	19080.278	-0.965312679200919	9185.232	0.1786997	0.4535866
LUAD	C3L-00140	11.7116	26.5930711390496	0.02928585	0.08698471	0.121182917	7657.542	0.3	0.305	13192.962	-0.8253177330879854	5535.42	0.03513708	0.1221218
LUAD	C3L-00144	12.7117	26.3895120248377	0.06737169	0.1862016	0.31334264	8814.897	0.23	0.21	16427.787	-0.9921731017237807	7612.891	0.0945038	0.2807054
LUAD	C3L-00263	13.4615	27.1051821909173	0.09170297	0.2882448	0.35023515	10419.327	0.23		19439.285	-0.9502196940534389	9019.958	0.1151728	0.4034177
LUAD	C3L-00279	12.4366	26.1925847990468	0.04644201	0.1581967	0.1348872	9568.736	0.25	0.09	18990.52	-0.9686688563215058	9421.784	0.09930825	0.257505
LUAD	C3L-00368	12.4715	26.4568776191814	0.02729576	0.07468032	0.20610133	8590.971	0.35	0.314	16037.451	-0.9833941919042906	7446.479	0.140768	0.2154484
LUAD	C3L-00412	11.7416	26.5254651357399	0.01064336	0.1176586	0.17215206	9397.489	0.23		18801.025	-0.9752014395089333	9403.536	0.1597508	0.2774094
LUAD	C3L-00422	12.3941	25.8897604647032	0.0277532	0.09577877	0.008082118	8202.736	0.56	0.5675	13542.531	-0.8531933876843212	5339.794	0.0005496402	0.09632841
LUAD	C3L-00510	13.1117	26.6854034813822	0.02022582	0.02025181	0.134907437	6027.041	0.81	0.6675	9482.018	-0.4132690642144254	3454.977	0.03827132	0.05852313
LUAD	C3L-00604	12.2916	26.4352059191009	0.02103009	0.08529103	0.05689304	7529.111	0.7	0.4125	15030.721	-0.9459548286643804	7501.609	0.06596605	0.1512571
LUAD	C3L-00893	13.0316	26.9019848527344	0.01120617	0.08304314	0.09680059	7770.22	0.57	0.355	14297.47	-0.9056429928235131	6527.25	0.08427721	0.1673203
LUAD	C3L-00913	12.6716	26.3429510452796	0.02784945	0.1176151	0.233668273	9537.491	0.24	0.135	17586.557	-0.998992293969034	8049.067	0.08807711	0.2056922
LUAD	C3L-00973	13.4216	27.122490868347	0.05608926	0.3216732	0.12200685	9864.86	0.23	0.215	18062.894	-0.9934156680454826	8198.034	0.0849263	0.4065995
LUAD	C3L-01330	12.3017	26.9083056224827	0.00774835	0.06423345	0.08472388	7885.714	0.31	0.305	14603.47	-0.9237699039124356	6717.756	0.110687	0.1749205
LUAD	C3L-01632	12.2514	27.2528929861713	0.0	0.008987196	0.139896493	6697.275	0.37	0.157	14332.543	-0.9078140754615496	7635.267	0.06877125	0.07775844
LUAD	C3L-01682	13.0217	26.5119422644344	0.0358848	0.134129	0.1111751	9994.354	0.24	0.13	18145.027	-0.9919622809462688	8150.673	0.1457727	0.2799016
LUAD	C3L-01683	10.8517	25.7250860352032	0.2032891	0.4572936	0.521160496	11247.81			21341.17	-0.8275703164990678	10093.36	0.1622772	0.6195708
LUAD	C3L-01862	13.6315	27.6728836468753	0.01251554	0.04014116	0.18392434	8435.346	0.34	0.3425	16068.941	-0.9842225614292773	7633.595	0.05332453	0.09346569
LUAD	C3L-01889	12.1916	27.0488673195006	0.004254233	0.01057726	0.126343394	6086.455	0.52	0.52	12145.922	-0.7291446975508662	6059.466	0.08006525	0.09064251
LUAD	C3L-01890	11.3519	27.1380466945289	0.01243031	0.01690872	0.167547214	6649.477			13953.608	-0.8830952126898954	7304.131	0.1592771	0.1761858
LUAD	C3L-01924	12.5416	26.4791475838826	0.05112999	0.1311397	0.143950777	8816.864	0.31	0.275	16743.314	-0.9968904926408493	7926.449	0.1184863	0.249626
LUAD	C3L-02219	12.6916	26.8231817293526	0.01686762	0.1353812	0.09276252	9474.976	0.26	0.28	17144.034	-0.9997988023115381	7669.058	0.09469208	0.2300733
LUAD	C3L-02345	11.5617	26.3583595085272	0.01835867	0.09240722	0.17916301	8658.056	0.36	0.255	17101.588	-0.9996544191424355	8443.532	0.05185515	0.1442624
LUAD	C3L-02348	11.2216	26.2228400701066	0.1067976	0.172611	0.289689668	9193.413	0.4	0.235	16361.58	-0.9909127271646122	7168.167	0.0618224	0.2344334
LUAD	C3L-02350	11.9316	26.284340670765	0.1141781	0.2318783	0.195406994	9532.847	0.28	0.28	17164.205	-0.9998538111718199	7631.359	0.1212202	0.3530985
LUAD	C3L-02365	13.8115	27.3075035528554	4.759841e-18	0.02171192	0.0636908	6099.632	0.43	0.43	12675.998	-0.7801342258958258	6576.366	0.04510457	0.06681649
LUAD	C3L-02508	12.3215	26.8265934465729	0.0	0.05224425	0.082080329	9456.088	0.24	0.135	19664.686	-0.9393924818639616	10208.598	0.285777	0.3380212
LUAD	C3L-02549	13.2815	27.8479522358163	0.01662839	0.02595778	0.1408547	8477.417	0.2	0.2	14799.414	-0.9344007754002958	6321.997	0.03045696	0.05641474
LUAD	C3N-00167	12.8314	26.4715928070676	0.0	0.04156633	0.08389613	7747.156	0.46	0.25	14482.733	-0.9168382789222947	6735.576	0.07476076	0.1163271
LUAD	C3N-00169	12.2614	26.6399456672066	1.5005010000000001e-18	0.04384752	0.1988377862	7777.296	0.42	0.28	15071.187	-0.9478644423126853	7293.89	0.04820998	0.0920575
LUAD	C3N-00175	12.2418	26.5561262299913	0.02352231	0.1022771	0.052796419	7796.313	0.34		15441.38	-0.9637735668866632	7645.067	0.1358756	0.2381528
LUAD	C3N-00180	9.8918	26.0263319796658	2.770091e-20	0.0009036869	0.08499993	4638.346	0.6	0.5775	10033.773	-0.4855851091982833	5395.427	0.009595715	0.0104994
LUAD	C3N-00199	12.7716	26.860681501579	0.009696943	0.01812342	0.076434678	6680.621	0.54	0.2575	13465.737	-0.8472596458577549	6785.117	0.04436219	0.0624856
LUAD	C3N-00203	12.6215	26.6919942996694	0.06813752	0.1334592	0.510521062	9029.167	0.25	0.305	15726.903	-0.9741026507751924	6697.736	0.03606907	0.1695283
LUAD	C3N-00217	11.4716	26.5718486222416	0.0200174	0.01531738	0.20930546	6731.891	0.42	0.4225	13372.559	-0.8399154505835776	6640.668	0.05067327	0.06599065
LUAD	C3N-00223	12.6816	27.5360180851949	0.03655397	0.1439054	0.0798618	9123.682	0.34	0.19	16837.013	-0.9978799699868867	7713.331	0.1010454	0.2449508
LUAD	C3N-00293	12.6665	26.8689345538187	0.02902722	0.06562142	0.2272946791	7722.183	0.24	0.23	14759.783	-0.9323126918677787	7037.6	0.1110015	0.1766229
LUAD	C3N-00294	12.7517	26.8234272118044	0.0003602958	0.04676806	0.21949555	7704.568	0.4	0.415	14664.091	-0.927140933174161	6959.523	0.007151253	0.05391932
LUAD	C3N-00433	10.4117	25.5585815765045	0.2957314	0.4453644	1.07405735	11277.868	0.23	0.05	20785.577	-0.870550622609874	9507.709	0.1224541	0.5678185
LUAD	C3N-00546	11.6716	26.2308522759816	0.02644515	0.1347301	0.210239285	9126.47	0.36	0.2325	16283.078	-0.9892970319755457	7156.608	0.03468882	0.1694189
