n_cohorts	n_total	rho	p	predictor	target	adjust	cohorts
2	218	-0.1873854008767338	0.005762524116516416	TACSTD2_protein	xCell_T_cell_CD8+	none	LSCC,LUAD
2	218	-0.11897076381778973	0.08177418654397173	TACSTD2_protein	xCell_T_cell_CD8+	ESTIMATEScore	LSCC,LUAD
2	215	-0.16299337873879538	0.017426941395543644	TACSTD2_protein	xCell_T_cell_CD8+	WES_purity	LSCC,LUAD
2	208	-0.1651075141679491	0.017870149533286948	TACSTD2_protein	xCell_T_cell_CD8+	WGS_purity	LSCC,LUAD
2	218	-0.22408383052560638	0.0009033159139891692	TACSTD2_protein	xCell_immune_score	none	LSCC,LUAD
2	218	-0.14170176913555044	0.03778430123993851	TACSTD2_protein	xCell_immune_score	ESTIMATEScore	LSCC,LUAD
2	215	-0.20156614169688417	0.0031321361252103167	TACSTD2_protein	xCell_immune_score	WES_purity	LSCC,LUAD
2	208	-0.18192319921814962	0.008930084204289096	TACSTD2_protein	xCell_immune_score	WGS_purity	LSCC,LUAD
2	218	-0.09323099306888363	0.17338181342769066	TACSTD2_RNA	xCell_T_cell_CD8+	none	LSCC,LUAD
2	218	-0.05917949805435232	0.38831643975988617	TACSTD2_RNA	xCell_T_cell_CD8+	ESTIMATEScore	LSCC,LUAD
2	215	-0.07040020061965409	0.30798922650150096	TACSTD2_RNA	xCell_T_cell_CD8+	WES_purity	LSCC,LUAD
2	208	-0.08627640270565537	0.2189690037129065	TACSTD2_RNA	xCell_T_cell_CD8+	WGS_purity	LSCC,LUAD
2	218	-0.06195793170578536	0.36637830675467287	TACSTD2_RNA	xCell_immune_score	none	LSCC,LUAD
2	218	0.0012202208529025682	0.985824976007358	TACSTD2_RNA	xCell_immune_score	ESTIMATEScore	LSCC,LUAD
2	215	-0.038414404601193324	0.5784679089006345	TACSTD2_RNA	xCell_immune_score	WES_purity	LSCC,LUAD
2	208	-0.032758652097133745	0.6413911812074848	TACSTD2_RNA	xCell_immune_score	WGS_purity	LSCC,LUAD
