n	rho	p	rho_xy	rho_xz	rho_yz	method	cohort	predictor	target	adjust	primary	rho_rank_residual	p_rank_residual	q_primary_per_adjust
108	0.05150676074014373	0.5982754538599739	0.0008526570508642359	-0.1792671453965473	0.26759902540642316	partial_spearman_formula	LSCC	TACSTD2_RNA	CIBERSORT_T_cell_CD8+	ESTIMATEScore	False	0.07650023340668971	0.4313304943626449	
107	0.011151275351972446	0.9096725046819081	0.0021356427011238106	0.08945613286460964	-0.0996647792811757	partial_spearman_formula	LSCC	TACSTD2_RNA	CIBERSORT_T_cell_CD8+	WES_purity	False	0.01303418227776367	0.8939967210168627	
104	-0.017238351940198262	0.8627867364050656	-0.03892605276970749	0.08621821057642638	-0.25909071592316035	partial_spearman_formula	LSCC	TACSTD2_RNA	CIBERSORT_T_cell_CD8+	WGS_purity	False	-0.008321775312066574	0.9331824324313773	
108	0.2561917594638626	0.007732108644053525	-0.07563383468688893	-0.1792671453965473	0.9318928806196233	partial_spearman_formula	LSCC	TACSTD2_RNA	ESTIMATE_ImmuneScore	ESTIMATEScore	False	0.26748406642087513	0.005132225243012423	
107	-0.027402264192806565	0.7803746615196118	-0.08362294243066308	0.08945613286460964	-0.7245001517362195	partial_spearman_formula	LSCC	TACSTD2_RNA	ESTIMATE_ImmuneScore	WES_purity	False	-0.007621641346937342	0.9378964700026842	
104	0.030275578535265774	0.7614454124893038	-0.056540514302308616	0.08621821057642638	-0.8436257160953932	partial_spearman_formula	LSCC	TACSTD2_RNA	ESTIMATE_ImmuneScore	WGS_purity	False	0.02800597460791636	0.7777828878049334	
108	-0.0002931664153457995	0.9976088089959066	-0.10030349459081386	-0.1792671453965473	0.5581847681587923	partial_spearman_formula	LSCC	TACSTD2_RNA	xCell_T_cell_CD8+	ESTIMATEScore	True	0.019911019653795953	0.83793632007968	0.9976088089959066
107	-0.07862772403274254	0.423036173779954	-0.10733948081176316	0.08945613286460964	-0.3960785056466569	partial_spearman_formula	LSCC	TACSTD2_RNA	xCell_T_cell_CD8+	WES_purity	True	-0.08789421736995176	0.36798726497450357	0.6102680941940095
104	-0.06311045605910771	0.5265272152171596	-0.09633784754892875	0.08621821057642638	-0.47604716754734394	partial_spearman_formula	LSCC	TACSTD2_RNA	xCell_T_cell_CD8+	WGS_purity	True	-0.0597460791635549	0.5468630810521021	0.7020362869562128
108	0.08609353219133666	0.3779190580952847	-0.11765686590037516	-0.1792671453965473	0.8803909800222927	partial_spearman_formula	LSCC	TACSTD2_RNA	xCell_immune_score	ESTIMATEScore	True	0.07351834386045136	0.44955399324906037	0.6337575099281658
