n	rho	p	cohort	target	purity_proxy
108	-0.2313367064743656	0.015999818638296744	LUAD	xCell_T_cell_CD8+	WES_purity
104	-0.23749599010134698	0.01520073493018372	LUAD	xCell_T_cell_CD8+	WGS_purity
110	0.38636481154381824	3.059070875741931e-05	LUAD	xCell_T_cell_CD8+	ESTIMATEScore
108	-0.40191831889180435	1.6213917139420933e-05	LUAD	xCell_immune_score	WES_purity
104	-0.5621013747376172	5.337805422183527e-10	LUAD	xCell_immune_score	WGS_purity
110	0.7915019272817438	7.739107424604962e-25	LUAD	xCell_immune_score	ESTIMATEScore
108	-0.23476829246579384	0.014458004330240746	LUAD	CIBERSORT_T_cell_CD8+	WES_purity
104	-0.3148055791490374	0.0011348514193077908	LUAD	CIBERSORT_T_cell_CD8+	WGS_purity
110	0.3529021932691657	0.00015594673420810592	LUAD	CIBERSORT_T_cell_CD8+	ESTIMATEScore
108	-0.523267807406391	6.239350943533365e-09	LUAD	ESTIMATE_ImmuneScore	WES_purity
104	-0.6842421195482001	1.1760821370992782e-15	LUAD	ESTIMATE_ImmuneScore	WGS_purity
110	0.9190676915447558	1.7604040855719077e-45	LUAD	ESTIMATE_ImmuneScore	ESTIMATEScore
107	-0.3960785056466569	2.41075891801957e-05	LSCC	xCell_T_cell_CD8+	WES_purity
104	-0.47604716754734394	3.263507224836276e-07	LSCC	xCell_T_cell_CD8+	WGS_purity
108	0.5581847681587923	3.46391426513064e-10	LSCC	xCell_T_cell_CD8+	ESTIMATEScore
107	-0.7235297274447102	1.33586766491814e-18	LSCC	xCell_immune_score	WES_purity
104	-0.8223767596649962	9.921191153637021e-27	LSCC	xCell_immune_score	WGS_purity
108	0.8803909800222927	3.9725449530040475e-36	LSCC	xCell_immune_score	ESTIMATEScore
107	-0.0996647792811757	0.30707575788779795	LSCC	CIBERSORT_T_cell_CD8+	WES_purity
104	-0.25909071592316035	0.007912176663428633	LSCC	CIBERSORT_T_cell_CD8+	WGS_purity
108	0.26759902540642316	0.005112416259696633	LSCC	CIBERSORT_T_cell_CD8+	ESTIMATEScore
107	-0.7245001517362195	1.1425200239053475e-18	LSCC	ESTIMATE_ImmuneScore	WES_purity
104	-0.8436257160953932	2.633253255803814e-29	LSCC	ESTIMATE_ImmuneScore	WGS_purity
108	0.9318928806196233	1.7163033454691034e-48	LSCC	ESTIMATE_ImmuneScore	ESTIMATEScore
