n	rho	p	cohort	predictor	target	adjust	primary	q_primary8	q_within_cohort_predictor
108	-0.11765686590037516	0.2252386622713734	LSCC	TACSTD2_RNA	xCell_immune_score	none	True	0.4504773245427468	0.5821085463560806
108	-0.10030349459081386	0.3016682130363726	LSCC	TACSTD2_RNA	xCell_T_cell_CD8+	none	True	0.47246997346377	0.5821085463560806
108	-0.07563383468688893	0.4365814097670604	LSCC	TACSTD2_RNA	ESTIMATE_ImmuneScore	none	False		0.5821085463560806
108	0.0008526570508642359	0.9930122454005506	LSCC	TACSTD2_RNA	CIBERSORT_T_cell_CD8+	none	False		0.9930122454005506
108	-0.1334324120914192	0.16860521848316948	LSCC	TACSTD2_protein	xCell_immune_score	none	True	0.4496139159551186	0.5744817799829671
108	-0.07950341046898066	0.4134112267807988	LSCC	TACSTD2_protein	xCell_T_cell_CD8+	none	True	0.47246997346377	0.5744817799829671
108	-0.07111758933760134	0.46453335458088507	LSCC	TACSTD2_protein	ESTIMATE_ImmuneScore	none	False		0.5744817799829671
108	-0.05462205889023202	0.5744817799829671	LSCC	TACSTD2_protein	CIBERSORT_T_cell_CD8+	none	False		0.5744817799829671
110	-0.08628152488174194	0.370111931259067	LUAD	TACSTD2_RNA	xCell_T_cell_CD8+	none	True	0.47246997346377	0.740223862518134
110	-0.006920196831153508	0.9427997696692078	LUAD	TACSTD2_RNA	xCell_immune_score	none	True	0.9427997696692078	0.9427997696692078
110	-0.2012312089611518	0.035027880220921376	LUAD	TACSTD2_RNA	CIBERSORT_T_cell_CD8+	none	False		0.1401115208836855
110	0.05322465393394027	0.5807841558775868	LUAD	TACSTD2_RNA	ESTIMATE_ImmuneScore	none	False		0.7743788745034491
110	-0.3094335369564728	0.001003961995617287	LUAD	TACSTD2_protein	xCell_immune_score	none	True	0.008031695964938296	0.004015847982469148
110	-0.28904629073608734	0.002194504463815969	LUAD	TACSTD2_protein	xCell_T_cell_CD8+	none	True	0.008778017855263876	0.004389008927631938
110	-0.18544733223632306	0.052424789532063414	LUAD	TACSTD2_protein	ESTIMATE_ImmuneScore	none	False		0.06989971937608455
110	-0.13349412798954083	0.16442699991416423	LUAD	TACSTD2_protein	CIBERSORT_T_cell_CD8+	none	False		0.16442699991416423
