cohort	proxy	n	n_missing	min	median	max	independence_note
LUAD	WES_purity	108	2	0.19	0.33	1.0	DNA-based purity column in freeze phenotype
LUAD	WGS_purity	104	6	0.05	0.28	0.6675	DNA-based purity column in freeze phenotype
LUAD	ESTIMATEScore	110	0	9305.428	15737.726	21341.17	RNA ESTIMATE combined score (ESTIMATE_ESTIMATEScore). Impurity axis, not a 0–1 purity. Not independent of xCell/ESTIMATE immune.
LSCC	WES_purity	107	1	0.18	0.37	0.98	DNA-based purity column in freeze phenotype
LSCC	WGS_purity	104	4	0.05	0.31875	0.85	DNA-based purity column in freeze phenotype
LSCC	ESTIMATEScore	108	0	4995.923	15254.553	20711.786	RNA ESTIMATE combined score (ESTIMATE_ESTIMATEScore). Impurity axis, not a 0–1 purity. Not independent of xCell/ESTIMATE immune.
