patient	cohort	tacstd2
LX255B	GSE123902	8.058040926124384
LX653	GSE123902	9.475294191408256
LX661	GSE123902	7.826225385962002
LX666	GSE123902	3.354142833536838
LX675	GSE123902	8.024582013916174
LX676	GSE123902	9.38153294548659
LX679	GSE123902	7.805831849946458
LX680	GSE123902	4.821694624327586
LX681	GSE123902	8.60894013425979
LX682	GSE123902	9.017035396741669
LX684	GSE123902	7.160174780323994
LX699	GSE123902	7.584045093152076
LX701	GSE123902	7.050510406376062
BRONCHO_11	GSE131907	7.468552184497202
BRONCHO_58	GSE131907	9.430223316513032
EBUS_06	GSE131907	9.59308071225007
EBUS_10	GSE131907	8.707008433197604
EBUS_12	GSE131907	10.49190080798881
EBUS_13	GSE131907	0.0
EBUS_15	GSE131907	9.212593469893818
EBUS_19	GSE131907	9.13150919169725
EBUS_28	GSE131907	8.889992217765608
EBUS_49	GSE131907	9.060435418932755
EBUS_51	GSE131907	8.683316715786662
NS_02	GSE131907	1.4315138640624794
NS_03	GSE131907	7.399143924863372
NS_04	GSE131907	7.341023159035879
NS_06	GSE131907	9.541441248369669
NS_07	GSE131907	8.46965226261139
NS_12	GSE131907	7.9701722786011935
NS_13	GSE131907	8.293578501135862
NS_16	GSE131907	3.9180842561866807
NS_17	GSE131907	8.38721618125829
NS_19	GSE131907	8.57159731446326
P0031	GSE205335	8.582306202129333
P1006	GSE205335	9.586433332861736
P1015	GSE205335	9.175440000434072
P1016	GSE205335	5.931553687230184
P1017	GSE205335	9.81029386109441
P1018	GSE205335	9.07054733335027
P1025	GSE205335	5.1940593765874095
P1027	GSE205335	9.91098699592474
P1030	GSE205335	9.884019071367078
P1037	GSE205335	8.122009045281432
P1056	GSE205335	10.573521073000702
P1062	GSE205335	8.654690243796422
P1063	GSE205335	7.211340712739395
P1072	GSE205335	8.126908714453155
P1076	GSE205335	8.423142981514426
P1079	GSE205335	8.390807239722243
P1084	GSE205335	9.06381591566749
P1089	GSE205335	10.527026416432454
P1090	GSE205335	10.168829091262348
P1115	GSE205335	3.372326811806315
P1119	GSE205335	7.974355364297573
TD1	GSE189357	9.355994913125835
TD2	GSE189357	8.410162986889063
TD3	GSE189357	8.359015002000628
TD4	GSE189357	8.83833561517815
TD5	GSE189357	8.5445844111357
TD6	GSE189357	9.841796273497032
TD7	GSE189357	8.334090037099793
TD8	GSE189357	8.044177107322884
TD9	GSE189357	9.761939942633685
