cohort	gene	n	rho	p	ci95_low	ci95_high
all_cell_lines	PAXX	1673	0.3747624568925679	6.308218024749863e-57	0.3298031648678062	0.4175940120879072
skin	PAXX	120	0.48648883339825977	1.7660367090702222e-08	0.32779357813442855	0.61650180251234
lung	PAXX	214	0.23011620880483274	0.0006932537306921066	0.10144898704163866	0.34995230923455073
all_cell_lines	IRF3	1673	0.325461307380315	1.4081025571094947e-42	0.2802655337732699	0.3688420376919518
skin	IRF3	120	0.5972927366538738	5.979375785055096e-13	0.4687557783445069	0.6948137253715696
lung	IRF3	214	0.2511760321180022	0.00020517108768248275	0.11767615109936845	0.3783664156270683
all_cell_lines	STING1	1673	-0.04032123318839645	0.09921528414403301	-0.08925163434003638	0.007659503690944551
skin	STING1	120	0.0805738882800097	0.3816676765523619	-0.09875671725643856	0.2560137976727658
lung	STING1	214	0.3088450838415105	4.132165461615764e-06	0.17827612470832072	0.43283297904295004
