cohort	n
lung_models_Model_csv	260
integrated_CRISPR_models	1178
integrated_CRISPR_lung	126
integrated_CRISPR_NSCLC	98
HumagneCD_screens_with_PRKDC	40
HumagneCD_lung	5
HumagneCD_NSCLC	2
lung_RNA_with_CLDN4	214
NSCLC_RNA_with_CLDN4	143
LUAD_RNA_with_CLDN4	80
lung_RNA_LUAD	80
lung_RNA_SCLC_NET	60
lung_RNA_other_NSCLC	36
lung_RNA_LUSC	27
lung_RNA_other_lung	11
