gene	in_genomewide	n_pair	rho	n_genes_in_null	abs_rank	empirical_pct_le	empirical_two_sided_p	matrix	query
LIG4	True	1178	-0.0957273091855486	17915	3251	8.629639966508512	0.18146804353893387	CRISPRGeneEffect_all_models	CLDN4_Chronos
STING1	True	1178	0.0683129613494669	17915	6143	81.69132012280213	0.34289701367569075	CRISPRGeneEffect_all_models	CLDN4_Chronos
CGAS	True	1178	-0.0205065854866793	17915	13823	36.343845939157134	0.771588054702763	CRISPRGeneEffect_all_models	CLDN4_Chronos
LIG4	True	1178	-0.0957273091855486	17915	3251	8.629639966508512	0.18146804353893387	CRISPRGeneEffect_all_models	CLDN4_Chronos
XRCC4	True	1178	0.0017301219233677	17915	17564	48.59056656433157	0.9804074797655596	CRISPRGeneEffect_all_models	CLDN4_Chronos
XRCC5	True	1178	-0.0157257541022561	17915	14753	38.92269048283561	0.8234998604521351	CRISPRGeneEffect_all_models	CLDN4_Chronos
XRCC6	True	1178	0.0259673473837501	17915	12780	62.32207647222997	0.7133686854591125	CRISPRGeneEffect_all_models	CLDN4_Chronos
NHEJ1	True	1178	-0.0476949602818227	17915	9068	23.773374267373708	0.5061680156293609	CRISPRGeneEffect_all_models	CLDN4_Chronos
DCLRE1C	True	1178	-0.1084125796152049	17915	2313	6.117778397990511	0.1291096846218253	CRISPRGeneEffect_all_models	CLDN4_Chronos
PAXX	True	1178	0.0724486798196953	17915	5595	83.38822216020095	0.3123081216857382	CRISPRGeneEffect_all_models	CLDN4_Chronos
CGAS	True	1178	-0.0205065854866793	17915	13823	36.343845939157134	0.771588054702763	CRISPRGeneEffect_all_models	CLDN4_Chronos
STING1	True	1178	0.0683129613494669	17915	6143	81.69132012280213	0.34289701367569075	CRISPRGeneEffect_all_models	CLDN4_Chronos
TBK1	True	1178	-0.1036993279928217	17915	2634	6.9606475020932175	0.1470276304772537	CRISPRGeneEffect_all_models	CLDN4_Chronos
IRF3	True	1178	0.0136750834412042	17915	15168	55.383756628523585	0.8466648060284677	CRISPRGeneEffect_all_models	CLDN4_Chronos
PRKDC	True	214	-0.218429685175453	19172	4087	9.550385979553516	0.2131754642186522	expression_lung_cell_lines	CLDN4_RNA
LIG4	True	214	-0.1052091196795043	19172	10351	28.18172334654705	0.5399019403296474	expression_lung_cell_lines	CLDN4_RNA
XRCC4	True	214	-0.0018149831465919	19172	19010	52.39933235969122	0.991550177341957	expression_lung_cell_lines	CLDN4_RNA
XRCC5	True	214	-0.2889007186748136	19172	2017	3.5833507197997077	0.10520550803254747	expression_lung_cell_lines	CLDN4_RNA
XRCC6	True	214	-0.1343695243040034	19172	8356	22.199040267056127	0.4358439390778218	expression_lung_cell_lines	CLDN4_RNA
NHEJ1	True	214	-0.2617905865117032	19172	2678	5.398497809305237	0.13968287085332776	expression_lung_cell_lines	CLDN4_RNA
DCLRE1C	True	214	0.0109573089240246	19172	18181	55.29939495097016	0.9483100354683914	expression_lung_cell_lines	CLDN4_RNA
PAXX	True	214	0.2301162088048327	19172	3654	89.27602754016274	0.19059044439808054	expression_lung_cell_lines	CLDN4_RNA
CGAS	True	214	0.0504197204857056	19172	14691	63.95785520550803	0.7662737325266012	expression_lung_cell_lines	CLDN4_RNA
STING1	True	214	0.3088450838415105	19172	1629	94.10598789901941	0.0849676611725433	expression_lung_cell_lines	CLDN4_RNA
TBK1	True	214	-0.1009819689706154	19172	10675	29.115376590861676	0.5568015856457333	expression_lung_cell_lines	CLDN4_RNA
IRF3	True	214	0.2511760321180022	19172	2987	90.74170665553933	0.1558001251825579	expression_lung_cell_lines	CLDN4_RNA
