release	matrix	cohort	method	gene	n	rho	p
24Q4	RNA	all_cell_lines	spearman	PAXX	1673	0.3747624568925679	6.308218024749863e-57
24Q4	RNA	all_cell_lines	pearson	PAXX	1673	0.3258510029904505	1.1094239017721884e-42
24Q4	RNA	all_cell_lines	spearman	IRF3	1673	0.325461307380315	1.4081025571094947e-42
24Q4	RNA	all_cell_lines	pearson	IRF3	1673	0.28919766942747777	1.3630235476929835e-33
24Q4	RNA	all_cell_lines	spearman	STING1	1673	-0.04032123318839645	0.09921528414403301
24Q4	RNA	all_cell_lines	pearson	STING1	1673	-0.018697852846854674	0.4446999209116896
24Q4	RNA	all_cell_lines	spearman	CGAS	1673	0.1038218032483686	2.091596776972635e-05
24Q4	RNA	all_cell_lines	pearson	CGAS	1673	0.08483900937879446	0.0005131755438178411
24Q4	RNA	all_cell_lines	spearman	PRKDC	1673	-0.11145418216537813	4.887236863651777e-06
24Q4	RNA	all_cell_lines	pearson	PRKDC	1673	-0.11423693654223456	2.8077298254063513e-06
24Q4	RNA	all_cell_lines	spearman	LIG4	1673	-0.14528377155667588	2.3768858588122524e-09
24Q4	RNA	all_cell_lines	pearson	LIG4	1673	-0.15808394381106333	7.92103506102955e-11
24Q4	RNA	all_cell_lines	spearman	NHEJ1	1673	-0.213631630138957	1.0129781181248093e-18
24Q4	RNA	all_cell_lines	pearson	NHEJ1	1673	-0.23361591420512634	3.5759377164465903e-22
24Q4	RNA	all_cell_lines	spearman	XRCC5	1673	-0.18166434782525429	7.029278556934569e-14
24Q4	RNA	all_cell_lines	pearson	XRCC5	1673	-0.18029198609136926	1.0875231929201618e-13
24Q4	RNA_partial_EPCAM	all_cell_lines	partial_spearman	PAXX	1673	0.1782264853003719	2.1184970188548748e-13
24Q4	RNA_partial_MKI67	all_cell_lines	partial_spearman	PAXX	1673	0.35949981560714606	3.533942571319835e-52
24Q4	RNA_partial_EPCAM	all_cell_lines	partial_spearman	IRF3	1673	0.18752708532476478	1.0674911279682096e-14
24Q4	RNA_partial_MKI67	all_cell_lines	partial_spearman	IRF3	1673	0.30452093741025416	3.2599777713562013e-37
24Q4	RNA_partial_EPCAM	all_cell_lines	partial_spearman	STING1	1673	0.14157413542839034	6.101311180792013e-09
24Q4	RNA_partial_MKI67	all_cell_lines	partial_spearman	STING1	1673	-0.03269221239386036	0.18150184246515097
24Q4	RNA	lung	spearman	PAXX	214	0.23011620880483274	0.0006932537306921066
24Q4	RNA	lung	pearson	PAXX	214	0.2313839831785996	0.0006461964980655226
