n	rho	p	ci95_low	ci95_high	cohort	target	covariate	q_bh
214	-0.2593377471440105	0.00012900850990236042	-0.3782779927672016	-0.13481681693598488	lung	sig_NHEJ	MKI67	0.00033305452803891137
214	-0.16078298742700903	0.01887253384801858	-0.28368749943994037	-0.042685135468306115	lung	sig_NHEJ	EPCAM	0.01887253384801858
214	0.23915528955593363	0.00042983933861583974	0.11229145236643785	0.3627010728589261	lung	sig_STING	MKI67	0.0006447590079237596
214	0.3147195633472656	2.789074544751595e-06	0.1903197132224079	0.43326482725218796	lung	sig_STING	EPCAM	8.367223634254784e-06
214	-0.2551930199257898	0.00016652726401945568	-0.3808009671973897	-0.12239294009599448	lung	PRKDC	MKI67	0.00033305452803891137
214	-0.222879942361396	0.0010567026147723696	-0.34564102776601563	-0.0993068163854116	lung	PRKDC	EPCAM	0.0015850539221585543
214	-0.10975553039898113	0.11021390845170483	-0.2403743770590384	0.028649654581816047	lung	LIG4	MKI67	0.1322566901420458
214	-0.22921149606747646	0.0007502295749622225	-0.35040738185754944	-0.09994982514306262	lung	LIG4	EPCAM	0.001500459149924445
214	0.30924494027136196	4.225318401987869e-06	0.179636000196958	0.43594010661891003	lung	STING1	MKI67	2.5351910411927217e-05
214	0.46369806496244786	9.412785804058196e-13	0.347627043314944	0.5617867719794674	lung	STING1	EPCAM	5.647671482434918e-12
214	0.049542200883006184	0.47199816767589214	-0.07721111917616236	0.1847185689577667	lung	CGAS	MKI67	0.47199816767589214
214	0.16356897862983377	0.01688155698789893	0.03168343941441819	0.2866443260690681	lung	CGAS	EPCAM	0.01887253384801858
143	-0.2607015040761808	0.001727176951542134	-0.40589759752573296	-0.1029027086766071	NSCLC	sig_NHEJ	MKI67	0.003454353903084268
143	-0.07458048109832269	0.37772104468140605	-0.22839679791060208	0.08716569864077878	NSCLC	sig_NHEJ	EPCAM	0.4643967313310826
143	0.1266848296421665	0.13300914656189272	-0.04370418286218467	0.28956301878780755	NSCLC	sig_STING	MKI67	0.15961097587427125
143	0.20353252337047467	0.015123050391550047	0.026916558078727313	0.3617061611678423	NSCLC	sig_STING	EPCAM	0.04536915117465014
143	-0.2786052525215417	0.0007869345143345781	-0.4326973837418742	-0.10236782276750127	NSCLC	PRKDC	MKI67	0.0023608035430037343
143	-0.16025455114367193	0.05676626282071737	-0.3244924528683896	0.01633529805302669	NSCLC	PRKDC	EPCAM	0.11353252564143473
143	-0.06414704555480921	0.44819626620045755	-0.23522912793239617	0.10780921995604308	NSCLC	LIG4	MKI67	0.44819626620045755
143	-0.06188480826091762	0.4643967313310826	-0.22605841276752814	0.09705117789218638	NSCLC	LIG4	EPCAM	0.4643967313310826
143	0.29877763153390074	0.00030415508691647886	0.1372072641486517	0.438346111815619	NSCLC	STING1	MKI67	0.0018249305214988732
143	0.37274585568401364	4.918055507439768e-06	0.19958011222102937	0.5141573361960022	NSCLC	STING1	EPCAM	2.9508333044638606e-05
143	-0.1270244925055827	0.13196410462748648	-0.29411929896296407	0.040871966982453614	NSCLC	CGAS	MKI67	0.15961097587427125
143	0.06411861687850434	0.448397860830679	-0.10176281945328348	0.21701409260704174	NSCLC	CGAS	EPCAM	0.4643967313310826
