n_high	n_low	median_high	median_low	delta_median	U	p	cliffs_delta	score	target	n	q25_threshold	q75_threshold	cohort	family	q_bh
54	54	-0.1201972591296181	0.061641922709407576	-0.18183918183902567	1023.0	0.0075903850560139355	-0.2983539094650206	CLDN4	sig_NHEJ	214	3.0762189629676184	7.931973755368778	lung	signature	0.0075903850560139355
54	54	0.3277029159689889	-0.01150320536858812	0.339206121337577	1960.0	0.002059978860047227	0.3443072702331962	CLDN4	sig_STING	214	3.0762189629676184	7.931973755368778	lung	signature	0.004119957720094454
54	54	6.8640672837264844	7.416612768102448	-0.5525454843759636	1086.0	0.022450030727179018	-0.25514403292181065	CLDN4	PRKDC	214	3.0762189629676184	7.931973755368778	lung	NHEJ	0.044900061454358035
54	54	2.703642381012157	2.8459694445337105	-0.14232706352155367	1284.0	0.28639147353280414	-0.11934156378600824	CLDN4	LIG4	214	3.0762189629676184	7.931973755368778	lung	NHEJ	0.28639147353280414
54	54	4.421214459717612	1.975154882481795	2.4460595772358174	2090.5	0.00010301787778101127	0.4338134430727023	CLDN4	STING1	214	3.0762189629676184	7.931973755368778	lung	STING	0.00020603575556202254
54	54	3.1544652751787394	3.22369868027737	-0.06923340509863074	1486.0	0.8658159710437416	0.019204389574760006	CLDN4	CGAS	214	3.0762189629676184	7.931973755368778	lung	STING	0.8658159710437416
36	36	-0.00038587296886318304	0.1689910328093664	-0.1693769057782296	428.0	0.013433224199443587	-0.3395061728395061	CLDN4	sig_NHEJ	143	3.484506153758158	8.274004817090551	NSCLC	signature	0.026866448398887174
36	36	0.10716027135448981	-0.035540850548858374	0.1427011219033482	754.0	0.23476582710558735	0.1635802469135803	CLDN4	sig_STING	143	3.484506153758158	8.274004817090551	NSCLC	signature	0.23476582710558735
36	36	6.836543533160578	7.393298752665357	-0.5567552195047796	467.0	0.04206835897505947	-0.279320987654321	CLDN4	PRKDC	143	3.484506153758158	8.274004817090551	NSCLC	NHEJ	0.08413671795011894
36	36	2.5496644362203105	2.745501629497796	-0.1958371932774856	586.0	0.48853427765467905	-0.095679012345679	CLDN4	LIG4	143	3.484506153758158	8.274004817090551	NSCLC	NHEJ	0.48853427765467905
36	36	4.421214459717612	2.759236096399593	1.6619783633180192	942.0	0.0009481319069014112	0.4537037037037037	CLDN4	STING1	143	3.484506153758158	8.274004817090551	NSCLC	STING	0.0018962638138028225
36	36	3.1286524308839745	3.6328075232422288	-0.5041550923582543	514.5	0.13415699742897383	-0.2060185185185185	CLDN4	CGAS	143	3.484506153758158	8.274004817090551	NSCLC	STING	0.13415699742897383
