lineage	gene	n	rho	p	q_bh
Skin	IRF3	120	0.5972927366538738	5.979375785055096e-13	1.1958751570110194e-11
Lymphoid	IRF3	186	0.4312532401495979	7.998025339756124e-10	7.998025339756123e-09
Bone	IRF3	55	0.6121425573749861	6.832397870299036e-07	3.722482503627862e-06
Soft Tissue	IRF3	76	0.5323371202327942	7.444965007255724e-07	3.722482503627862e-06
Myeloid	IRF3	74	0.48067552661459634	1.460540115898481e-05	5.842160463593924e-05
Esophagus/Stomach	IRF3	77	0.42618748727497757	0.00011125749333523973	0.0003708583111174658
Lung	IRF3	214	0.2511760321180022	0.00020517108768248275	0.0005862031076642365
Bowel	IRF3	86	0.3754045002122741	0.00036858026568878204	0.0009214506642219551
Ovary/Fallopian Tube	IRF3	67	0.3728150690398277	0.001889732372472033	0.0039232694128495706
Biliary Tract	IRF3	44	0.45406814926530437	0.0019616347064247853	0.0039232694128495706
CNS/Brain	IRF3	100	0.26786041116882175	0.007052592371006302	0.01282289522001146
Pancreas	IRF3	55	0.3545454545454546	0.007910455782417478	0.013184092970695796
Head and Neck	IRF3	74	0.24051832654572378	0.0389987482806077	0.059998074277858
Peripheral Nervous System	IRF3	45	0.2959351742373132	0.048405805932804295	0.06915115133257757
Breast	IRF3	70	0.17407051001662144	0.149532817486964	0.1993770899826187
Fibroblast	IRF3	39	0.21349395178432937	0.19189406765907777	0.23986758457384721
Bladder/Urinary Tract	IRF3	37	0.15813181602655282	0.34991000965245117	0.4116588348852367
Uterus	IRF3	43	0.13259334777449275	0.3966588527174994	0.44073205857499936
Kidney	IRF3	52	-0.06185567011718281	0.6631108850016034	0.6980114578964246
Liver	IRF3	27	0.0293040293040293	0.8846367380087063	0.8846367380087063
Liver	LIG4	27	-0.4877899877899878	0.00985007989081777	0.1970015978163554
Lymphoid	LIG4	186	0.1648724370482489	0.024524315212402722	0.24524315212402722
Lung	LIG4	214	-0.10520911967950437	0.12495000423948396	0.6266871319642433
Fibroblast	LIG4	39	0.2167223414281648	0.1851015596536512	0.6266871319642433
Skin	LIG4	120	0.11641171682030688	0.20544559193079956	0.6266871319642433
Bowel	LIG4	86	-0.12206524049908132	0.26287793485774796	0.6266871319642433
Breast	LIG4	70	-0.13529874901583414	0.264100145053424	0.6266871319642433
Ovary/Fallopian Tube	LIG4	67	-0.13772461070332387	0.26638946988048867	0.6266871319642433
Peripheral Nervous System	LIG4	45	0.156861453664079	0.3034630183118161	0.6266871319642433
Soft Tissue	LIG4	76	0.11268491453963388	0.3324580501562661	0.6266871319642433
Kidney	LIG4	52	-0.1337033084311633	0.3446779225803338	0.6266871319642433
Head and Neck	LIG4	74	0.08913933669737409	0.45009525854476623	0.7501587642412771
Bladder/Urinary Tract	LIG4	37	0.11071597913703177	0.5141725457338789	0.7910346857444291
Myeloid	LIG4	74	0.055966641596173136	0.6357721038580514	0.8399789008921588
Biliary Tract	LIG4	44	0.06300433422989013	0.6845249505409102	0.8399789008921588
Bone	LIG4	55	-0.05411013452072822	0.6947907868364418	0.8399789008921588
Uterus	LIG4	43	0.0575420049494549	0.713982065758335	0.8399789008921588
Esophagus/Stomach	LIG4	77	0.012586594456413275	0.9134843167165216	0.9956201287652295
CNS/Brain	LIG4	100	0.00584175942914645	0.95400063788482	0.9956201287652295
Pancreas	LIG4	55	0.0007575894227318789	0.9956201287652295	0.9956201287652295
Skin	PAXX	120	0.48648883339825977	1.7660367090702222e-08	3.532073418140444e-07
Lymphoid	PAXX	186	0.35239075500272393	8.108970416445223e-07	8.108970416445223e-06
Soft Tissue	PAXX	76	0.4998667023641118	4.279264735479883e-06	2.8528431569865885e-05
Myeloid	PAXX	74	0.3872305925081838	0.0006534915146271081	0.002773014922768426
Lung	PAXX	214	0.23011620880483274	0.0006932537306921066	0.002773014922768426
CNS/Brain	PAXX	100	0.2835703120702953	0.004249994384122659	0.014166647947075528
Esophagus/Stomach	PAXX	77	0.270235098494818	0.017457711191287358	0.049879174832249594
Bowel	PAXX	86	0.23609604226614464	0.028635770435319525	0.07158942608829881
Bone	PAXX	55	0.2769508446034554	0.0406604087291036	0.09035646384245244
Uterus	PAXX	43	0.2998452072964184	0.05076194179020655	0.10152388358041312
Head and Neck	PAXX	74	0.20367271380970006	0.08176685252753167	0.14171552213691857
Fibroblast	PAXX	39	0.27421803966786473	0.0911562658463908	0.14171552213691857
Bladder/Urinary Tract	PAXX	37	-0.28093883357041244	0.09211508938899707	0.14171552213691857
Kidney	PAXX	52	0.18445710874834154	0.1905104887027971	0.27215784100399587
Breast	PAXX	70	0.14047887743409943	0.2460770713117727	0.3171772591586147
Ovary/Fallopian Tube	PAXX	67	0.14139197062814274	0.2537418073268918	0.3171772591586147
Biliary Tract	PAXX	44	0.08266676068418469	0.5937029109634477	0.6984740128981738
Liver	PAXX	27	-0.05372405372405373	0.7901306090134301	0.8495439789476482
Pancreas	PAXX	55	0.0336940836940837	0.8070667800002658	0.8495439789476482
Peripheral Nervous System	PAXX	45	0.028921536395854968	0.8504130771440496	0.8504130771440496
Lymphoid	PRKDC	186	0.3384935913593817	2.2947651830433673e-06	4.5895303660867346e-05
Liver	PRKDC	27	-0.6019536019536019	0.000894178290750925	0.008679537400901209
Lung	PRKDC	214	-0.21842968517545297	0.0013019306101351813	0.008679537400901209
Pancreas	PRKDC	55	-0.31183261183261196	0.02047038343855326	0.07785505112170249
Kidney	PRKDC	52	-0.31982241581637927	0.020817412810755283	0.07785505112170249
Ovary/Fallopian Tube	PRKDC	67	-0.2767978290366351	0.023356515336510748	0.07785505112170249
Bladder/Urinary Tract	PRKDC	37	-0.3610715979137031	0.028120865375272735	0.08034532964363639
Fibroblast	PRKDC	39	0.3265512720444931	0.04246215215163338	0.10615538037908345
Myeloid	PRKDC	74	0.19154137571273208	0.10208572365650673	0.22587526426966384
Esophagus/Stomach	PRKDC	77	-0.1778376602191105	0.12177714782209464	0.22587526426966384
Head and Neck	PRKDC	74	-0.18030359126249534	0.12423139534831511	0.22587526426966384
Uterus	PRKDC	43	-0.2168611018270747	0.1624627917193951	0.27077131953232514
Bone	PRKDC	55	0.15031394821346677	0.27334525958355327	0.42053116859008194
CNS/Brain	PRKDC	100	0.06292961449723182	0.5339410248702002	0.7317274964523895
Peripheral Nervous System	PRKDC	45	0.09177152665017303	0.5487956223392921	0.7317274964523895
Breast	PRKDC	70	0.053136208555681914	0.662203093496758	0.808103966043307
Soft Tissue	PRKDC	76	0.04698982156406794	0.686888371136811	0.808103966043307
Bowel	PRKDC	86	-0.02850134440303788	0.794481324017404	0.8455660287386266
Biliary Tract	PRKDC	44	-0.03227625088090204	0.8352390885562354	0.8455660287386266
Skin	PRKDC	120	0.017967430145922645	0.8455660287386265	0.8455660287386266
Lung	STING1	214	0.3088450838415105	4.132165461615764e-06	8.264330923231528e-05
Ovary/Fallopian Tube	STING1	67	0.30782891522119504	0.011272671346186779	0.07194078144081974
Bowel	STING1	86	0.2629123484250498	0.014458662463658081	0.07194078144081974
Pancreas	STING1	55	0.32388167388167394	0.015855958500828875	0.07194078144081974
Peripheral Nervous System	STING1	45	0.3512551895349514	0.017985195360204934	0.07194078144081974
