ModelID	CellLineName	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype	group	CLDN4	sig_NHEJ	sig_STING	PRKDC	LIG4	XRCC4	XRCC5	XRCC6	NHEJ1	DCLRE1C	PAXX	CGAS	STING1	TBK1	IRF3	MKI67	EPCAM
ACH-000757	A427	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.8237493603082727	-0.12986155074628442	0.44332109347847015	6.455656002220498	3.5360529002402097	3.922197848396367	6.833269620808397	8.197953827610064	3.512226886513957	3.1521834190550453	5.487357715311548	3.8972404255748	1.1176950426697545	5.447248568601776	6.463851292611099	5.692371399708664	8.154818109052105
ACH-000681	A549	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	2.204766750654613	0.1668323539454033	-0.037275843192090014	7.352970338245933	2.853995647176393	4.266786540694901	7.79428588796893	8.471715853116597	4.124328135002202	2.307428525192248	5.133810091106031	2.881664619320345	0.6870606883398922	5.463360885816658	5.812754909800194	5.7998644108818525	2.9523335663696857
ACH-003012	A549_CRAF_KD	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	1.8439838440483265	-0.4367131554376165	-0.1971149986763045	7.43704459345534	3.187451054027326	3.533563348214512	7.090535901003174	7.300764373248062	3.372952097911829	2.5459683691052923	5.20945336562895	2.1210154009613658	0.4541758931858022	5.006298023900369	6.260213886771416	6.272396509037485	1.5897634869849773
ACH-000528	ABC-1	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	8.603477988254005	-0.2743196675128486	0.4260376699890444	6.675957032941749	2.364572432295856	3.218781167784069	7.295355692891673	8.786236950154022	3.326249700837456	2.339137384919585	6.022367813028454	0.0565835283663675	4.166715444966423	4.96116025813664	7.497931651896279	5.703211467391146	9.444580108984274
ACH-000161	COR-L105	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	4.739848102699328	-0.6820075064308614	-0.6790713532188334	5.987320865929254	2.983677694698067	3.2249663650002742	7.0111154142633945	7.39677601078753	3.612352498752662	2.498250867527825	5.512226886513957	0.070389327891398	0.7484612330040357	4.215678596607928	6.611910067354084	5.940871478189196	7.352793829401169
ACH-000392	Calu-3	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	7.484863164322325	-0.9580412658485846	-0.0605234444731224	5.731997786643742	1.1953475983222193	4.175524601089875	6.77728819675546	8.104126950527226	2.634593268445757	2.713695814843359	4.776103988073165	3.4168397419128294	3.19377174339668	4.3008558712687615	5.9595383411126495	4.038260575175349	8.477313046407817
ACH-000264	Calu-6	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	3.5360529002402097	-0.020668492740968866	-0.13474491551866513	7.822602695756541	3.524815928357506	3.102658131363739	7.344029539627361	8.190120972614078	2.956056652412403	3.4356285940520905	5.3739961421312366	1.992768430768924	3.4867143730307024	4.117695042669754	6.437460799511047	5.238022517825721	2.356143810225275
ACH-000925	DV-90	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	9.36187799586609	-0.05938669962050168	0.06605814738657226	6.79012038464125	2.495695162624069	3.6959938131099	7.198199455437488	8.399427474184959	3.903038270112912	2.550900664647523	6.3432301395534685	2.5993177936982264	1.7048719644563528	4.956985924612576	6.378164779871632	5.759688488427289	8.13381009110603
ACH-000706	EKVX	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	1.6780719051126378	-0.11987328159722546	-0.3155043248137451	6.605701738949982	3.4789718050329426	3.266036893995317	7.192194165283345	8.256586122727096	4.203984165855989	2.606442228131608	5.369466483650723	0.6040713236688608	5.216842842837263	4.2935176304174245	5.838447592548458	5.139142019145689	5.319762427669248
ACH-002650	ETCC-016	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	7.795455272044121	0.26238267601343385	0.4074003457939714	6.383704292474052	3.7516779456875775	4.259272487037594	7.694114079891677	8.433126376206435	2.9011082430145123	4.462052318796433	5.161484638641659	0.9486008474933558	3.641546029087524	5.074248523347032	7.146594131096997	3.91169158187234	7.642484978057139
