nhood	n_cells	n_tnk	n_malig	frac_tnk	frac_malig	cldn4_all_mean	cldn4_malig_mean	dominant_lineage	n_samples_present	n_samples_A	n_samples_B	n_cells_mpr	mean_prop_A	mean_prop_B	logFC_B_minus_A	t	p	testable	BH_FDR	SpatialFDR	cldn4_rho	cldn4_p	cldn4_testable	cldn4_BH_FDR	cldn4_SpatialFDR
0	31	31	0	1.0	0.0	0.05724122002720833		T	4	1	3	31	0.00027046520014424813	0.0005408239889683158				False					False		
1	31	31	0	1.0	0.0	0.08996421843767166		T	3	1	2	31	0.00027046520014424813	0.0005761567133339022				False					False		
2	31	31	0	1.0	0.0	0.0		T	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False					False		
3	31	31	0	1.0	0.0	0.0		T	2	1	1	31	0.00027046520014424813	0.0005846585594013096				False					False		
4	31	31	0	1.0	0.0	0.0		T	2	0	2	31	0.0	0.0007164747675902165				False					False		
5	31	31	0	1.0	0.0	0.0		T	2	1	1	31	0.00013523260007212407	0.0006548175865294668				False					False		
6	31	31	0	1.0	0.0	0.0		T	2	0	2	31	0.0	0.0007164747675902165				False					False		
7	31	31	0	1.0	0.0	0.0		T	2	1	1	31	9.015506671474937e-05	0.0006782039289055192				False					False		
8	31	31	0	1.0	0.0	0.04641137272119522		T	1	0	1	31	0.0	0.000724976613657624				False					False		
9	31	31	0	1.0	0.0	0.08431469649076462		T	1	0	1	31	0.0	0.000724976613657624				False					False		
10	31	31	0	1.0	0.0	0.056202396750450134		NK	3	1	2	31	9.015506671474937e-05	0.0006612002367707042				False					False		
11	31	31	0	1.0	0.0	0.0		T	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False					False		
12	31	31	0	1.0	0.0	0.0		T	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False					False		
13	31	31	0	1.0	0.0	0.0		NK	3	1	2	31	9.015506671474937e-05	0.0006697020828381118				False					False		
14	31	31	0	1.0	0.0	0.0		T	1	0	1	31	0.0	0.000724976613657624				False					False		
15	31	31	0	1.0	0.0	0.0		NK	2	1	1	31	9.015506671474937e-05	0.0006782039289055192				False					False		
16	31	31	0	1.0	0.0	0.0		T	1	0	1	31	0.0	0.000724976613657624				False					False		
17	31	31	0	1.0	0.0	0.0		T	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False					False		
