series,gene,n_samples,n_detected_count_gt0,pct_samples_detected,median_raw_count,mean_raw_count,max_raw_count,median_intensity,mean_intensity,min_intensity,max_intensity,n_detected_tpm_gt0,median_TPM,mean_TPM,max_TPM,status,n_genes_on_panel,ensembl,n_files,n_detected_fpkm_gt0,median_FPKM,mean_FPKM,max_FPKM,pool,n_cells,n_detected,pct_detected,mean_umi,n_probes_on_array,note
GSE111414,TACSTD2,20.0,4.0,20.0,0.0,0.8,9.0,,,,,,,,,,,,,,,,,,,,,,,
GSE111414,CLDN4,20.0,2.0,10.0,0.0,0.2,3.0,,,,,,,,,,,,,,,,,,,,,,,
GSE111414,EPCAM,20.0,3.0,15.0,0.0,1.6,19.0,,,,,,,,,,,,,,,,,,,,,,,
GSE202417,TACSTD2,28.0,,,,,,9.9883,10.063,6.79,16.9045,,,,,,,,,,,,,,,,,,,
GSE202417,CLDN4,28.0,,,,,,8.7455,8.8112,7.2229,12.7546,,,,,,,,,,,,,,,,,,,
GSE202417,EPCAM,28.0,,,,,,10.0725,10.4167,7.0262,15.1599,,,,,,,,,,,,,,,,,,,
GSE202417,PTPRC,28.0,,,,,,411543.5162,415628.1369,222226.2937,634706.4597,,,,,,,,,,,,,,,,,,,
GSE141479,TACSTD2,74.0,,,,,,16.3582,17.743,8.6403,46.3549,,,,,,,,,,,,,,,,,,,
GSE141479,CLDN4,74.0,,,,,,10.0876,10.5347,5.5941,15.2052,,,,,,,,,,,,,,,,,,,
GSE141479,EPCAM,74.0,,,,,,13.1004,13.9936,7.7869,26.5435,,,,,,,,,,,,,,,,,,,
GSE141479,PTPRC,74.0,,,,,,433198.9424,435036.9724,256391.694,589119.1808,,,,,,,,,,,,,,,,,,,
GSE235048,TACSTD2,15.0,,60.0,,,,,,,,9.0,0.1017,0.3808,1.5148,,,,,,,,,,,,,,,
GSE235048,CLDN4,15.0,,,,,,,,,,,,,,absent_from_matrix,,,,,,,,,,,,,,
GSE235048,EPCAM,15.0,,,,,,,,,,,,,,absent_from_matrix,,,,,,,,,,,,,,
GSE235048,PTPRC,15.0,,100.0,,,,,,,,15.0,303.1831,296.094,795.3669,,,,,,,,,,,,,,,
GSE235048,CD3D,15.0,,100.0,,,,,,,,15.0,109.4566,118.7081,235.5491,,,,,,,,,,,,,,,
GSE216297,TACSTD2,286.0,,,,,,,,,,,,,,absent_from_panel,3805.0,ENSG00000184292,,,,,,,,,,,,
GSE216297,CLDN4,286.0,,,,,,,,,,,,,,absent_from_panel,3805.0,ENSG00000189143,,,,,,,,,,,,
GSE216297,EPCAM,286.0,,,,,,,,,,,,,,absent_from_panel,3805.0,ENSG00000119888,,,,,,,,,,,,
GSE216297,PTPRC,286.0,,,,,,,,,,,,,,present,3805.0,ENSG00000081237,,,,,,,,,,,,
GSE100860,TACSTD2,,,,,,,,,,,,,,,,,,14.0,4.0,0.0,0.0609,0.357,,,,,,,
GSE100860,CLDN4,,,,,,,,,,,,,,,,,,14.0,4.0,0.0,0.0239,0.091,,,,,,,
GSE100860,EPCAM,,,,,,,,,,,,,,,,,,14.0,12.0,0.0865,0.0774,0.185,,,,,,,
GSE100860,PTPRC,,,,,,,,,,,,,,,,,,14.0,14.0,607.7895,624.1823,752.833,,,,,,,
GSE213902,TACSTD2,,,,,,,,,,,,,,,,,,,,,,,MQpool1,3903.0,0.0,0.0,0.0,,
GSE213902,CLDN4,,,,,,,,,,,,,,,,,,,,,,,MQpool1,3903.0,1.0,0.0256,0.000256,,
GSE213902,EPCAM,,,,,,,,,,,,,,,,,,,,,,,MQpool1,3903.0,0.0,0.0,0.0,,
GSE213902,PTPRC,,,,,,,,,,,,,,,,,,,,,,,MQpool1,3903.0,2944.0,75.4292,2.594158,,
GSE213902,TACSTD2,,,,,,,,,,,,,,,,,,,,,,,MQpool2,5013.0,0.0,0.0,0.0,,
GSE213902,CLDN4,,,,,,,,,,,,,,,,,,,,,,,MQpool2,5013.0,0.0,0.0,0.0,,
GSE213902,EPCAM,,,,,,,,,,,,,,,,,,,,,,,MQpool2,5013.0,0.0,0.0,0.0,,
GSE213902,PTPRC,,,,,,,,,,,,,,,,,,,,,,,MQpool2,5013.0,3828.0,76.3615,2.551765,,
GSE310370,TACSTD2,4.0,,,,,,,,,,,,,,absent_miRNA_platform_GPL21572,,,,,,,,,,,,,6631.0,all 4 plasma samples labelled PD; no mRNA features
GSE310370,CLDN4,4.0,,,,,,,,,,,,,,absent_miRNA_platform_GPL21572,,,,,,,,,,,,,6631.0,all 4 plasma samples labelled PD; no mRNA features
