file,CLDN4,EPCAM,PTPRC,TACSTD2
GSM2695320_TPD039_P2+posi.txt.gz,0.0794742,0.085001,595.5,0.0
GSM2695321_TPD039_P2-nega.txt.gz,0.0,0.0919035,507.086,0.0
GSM2695322_TPD40_p1+posi.txt.gz,0.0,0.0852323,719.867,0.345222
GSM2695323_TPD40_p1-nega.txt.gz,0.0,0.086,495.541,0.0
GSM2862345_OPD026_P1_posi.txt.gz,0.091,0.049,752.833,0.079
GSM2862346_OPD026_P1_nega.txt.gz,0.082,0.044,603.929,0.071
GSM2862347_OPD046_P1_posi.txt.gz,0.0,0.185,675.607,0.0
GSM2862348_OPD046_P1_nega.txt.gz,0.0,0.0,518.835,0.0
GSM2862349_OPD047_P1_posi.txt.gz,0.0,0.099,744.167,0.0
GSM2862350_OPD047_P1_nega.txt.gz,0.0,0.0,730.582,0.0
GSM2862351_TPD039_P2_posi.txt.gz,0.082,0.087,611.65,0.0
GSM2862352_TPD039_P2_nega.txt.gz,0.0,0.094,520.352,0.0
GSM2862353_TPD040_P1_posi.txt.gz,0.0,0.088,743.456,0.357
GSM2862354_TPD040_P1_nega.txt.gz,0.0,0.09,519.147,0.0
