sample,TACSTD2,PTPRC,CD3D,CLDN4
A2,0.0,167.560021,217.775631,ABSENT
B1,0.244191,463.642131,104.751617,ABSENT
B2,0.0,795.366874,109.456568,ABSENT
C2,0.0,432.69622,229.369246,ABSENT
D1,0.0,285.253951,60.994396,ABSENT
D2,0.0,62.371347,35.784446,ABSENT
E1,1.361037,303.183131,114.05184,ABSENT
E2,1.514834,364.239202,235.549077,ABSENT
F1,0.126983,429.314499,44.633824,ABSENT
F2,0.88352,303.464321,181.84045,ABSENT
G1,0.97721,304.332255,36.919358,ABSENT
G2,0.423374,74.953273,113.751855,ABSENT
H1,0.0,232.67163,70.614748,ABSENT
H2,0.07894,128.199543,85.724909,ABSENT
I1,0.101705,94.162324,139.402834,ABSENT
