A006	-0.5094
A015	3.1112
A021	1.0766
A027	0.215
A028	1.166
A033	0.6605
A037	0.4002
A062	1.1666
A063	1.9759
A066	1.044
A068	1.3913
A072	0.7849
A074	1.9827
A100	0.7979
A101	0.1866
A102	0.1511
A103	0.7617
A104	1.3228
A110	-2.2174
A111	-1.0098
A112	1.1181
A117	1.1293
A120	1.2981
A124	0.2433
A126	0.9445
A131	1.4071
A134	2.2563
A138	-0.9407
A143	0.2522
A144	1.0388
A148	0.5785
A150	-0.1845
A153	0.2926
A156	0.3395
A157	-0.1671
A158	-0.0826
A159	-0.1476
A162	0.2089
A163	0.881
A165	-0.1389
A168	-0.4426
A169	1.0962
A177	1.2441
A182	-1.0629
A183	0.6293
A185	0.3604
A186	-1.1809
A187	0.4016
A188	0.4965
A190	0.9813
A191	0.1255
A192	0.3794
A193	-0.2251
A194	-0.7036
A195	-1.5974
A196	-0.9579
A197	-0.4247
A198	-1.1726
A199	0.027
A200	0.8481
A201	-0.846
A202	0.2027
A203	-0.187
A204	-0.6554
A205	-0.5366
A206	0.0995
A207	0.4722
A208	0.4702
A209	-3.3394
A210	-0.3412
A211	-0.6733
A212	-0.2971
A213	-1.3635
A214	0.6427
A215	-0.3894
A216	0.2338
A217	0.2615
A218	-1.5925
A219	1.1376
A220	-0.7142
A221	-0.9305
A222	-0.0004
A232	0.5507
A233	0.0365
A234	-0.8895
A239	0.2423
A240	-0.1451
A241	-0.2086
A243	0.7601
A247	-0.0259
A249	0.4579
A250	0.0749
A252	-0.5454
A255	-1.0917
A258	0.0807
A259	-0.2426
A260	-4.6656
A261	1.0849
A262	0.2005
A263	-0.5474
A264	-1.7025
A265	0.0955
A266	-1.2715
A267	-0.7566
A268	-0.7872
A269	0.1957
A270	-0.2208
A271	-0.2662
A272	1.8516
A273	-0.2499
A274	-0.3584
A275	0.8406
A276	-1.3065
A277	0.3195
A278	-0.8766
A279	0.4834
A280	0.4268
A281	-0.9784
A282	-1.5391
A283	-0.541
A284	-1.1705
A285	-1.3054
A306	-0.2166
A307	0.883
A310	1.573
A315	-0.723
A316	-0.2282
A320	-0.6355
A322	-0.1168
A323	0.9144
A375	-0.59
A377	-0.5134
A379	1.7788
A380	0.0421
A381	0.6702
A425	0.0809
A426	1.2207
A428	1.179
A430	0.4475
A432	0.8715
A433	0.0874
A434	1.177
A483	0.7944
A486	0.598
A488	0.1906
A490	-0.2071
A492	-0.5312
A493	0.2993
A496	-2.0022
A499	-1.4784
A500	-2.2112
A503	0.5179
A504	0.0863
A508	-1.2102
A509	-0.3729
A510	0.2992
A511	-0.4224
A512	1.4787
A514	0.0146
A517	-0.0685
A519	-0.5253
A521	-0.7924
A522	-0.8058
A524	-0.9425
A530	-0.5868
A532	-1.297
A534	-0.4249
A537	0.4336
A538	-0.0054
