signature	source_column	is_immune	n	raw_spearman_rho	raw_p_value	partial_spearman_rho	partial_ci95_low	partial_ci95_high	partial_p_value	raw_q_value	partial_q_value
Interferon	IMSIG_INTERFERON	True	169	-0.13015762518024962	0.0916660872904257	-0.06314866597296866	-0.21252909851786891	0.0891159454305794	0.4161026427489706	0.0916660872904257	0.4161026427489706
B cells	IMSIG_B_CELLS	True	169	-0.3216597881756253	2.0041239092008365e-05	-0.24011668347727488	-0.37779388362409705	-0.09205081564989051	0.0017183823007297263	2.290427324800956e-05	0.0019638654865482587
Plasma cells	IMSIG_PLASMA_CELLS	True	169	-0.32949629555964405	1.2173984592517861e-05	-0.28536307898056507	-0.418685246471428	-0.13999958820949732	0.00017727311634192335	1.623197945669048e-05	0.00023636415512256448
Monocytes	IMSIG_MONOCYTES	True	169	-0.44012659754222955	2.1291116913952405e-09	-0.38135327825375287	-0.5036823503543578	-0.24403153595669205	3.3953554949561013e-07	3.406578706232385e-09	5.432568791929763e-07
T cells	IMSIG_T_CELLS	True	169	-0.45539754363283785	4.941152399405523e-10	-0.40413245825074534	-0.523510975306971	-0.2691919793044289	5.554399398804304e-08	9.882304798811047e-10	1.1108798797608608e-07
Macrophages	IMSIG_MACROPHAGES	True	169	-0.4623256316976875	2.486209329367248e-10	-0.408140031007266	-0.5269861275461458	-0.2736376268408754	3.9820273509310224e-08	6.629891544979329e-10	1.0618739602482727e-07
NK cells	IMSIG_NK_CELLS	True	169	-0.471000944756601	1.0291575891033187e-10	-0.42133557097673985	-0.538400574805291	-0.288316321008794	1.2900096808302404e-08	4.116630356413275e-10	5.160038723320962e-08
Neutrophils	IMSIG_NEUTROPHILS	True	169	-0.5030008453085376	3.183245185348025e-12	-0.45637166979414995	-0.5685005874950285	-0.3275961626612548	5.061157875249809e-10	2.54659614827842e-11	4.048926300199847e-09
Translation	IMSIG_TRANSLATION	False	169	0.23528417284073394	0.002074588820877223	0.21109219780804597	0.06165013013009823	0.35127720391168976	0.006020539944877792		
Proliferation	IMSIG_PROLIFERATION	False	169	0.12209487345233953	0.11379220147788657	0.13650329843920703	-0.015223882844990787	0.2820855953563888	0.07767418120260357		
