gene,spearman_rank,spearman_r,spearman_p,pearson_r,pearson_p,mean_log2_expr,pct_expressed,match,ensembl,spearman_q,pearson_q,pearson_rank
CRB3,1,0.8323178636245787,1.0282213499189703e-15,0.8528350500062148,3.7691077027370615e-17,5.911621052631582,100.0,symbol,,9.442707836811303e-13,4.411010394255352e-14,1
PROM2,2,0.8316696914700544,1.1330776972809989e-15,0.8304255317305169,1.3636782157606962e-15,7.582964912280701,100.0,symbol,,9.442707836811303e-13,4.220584077779355e-13,8
EPHA1,3,0.8316048742546021,1.1441083808737444e-15,0.8355411456128727,6.304757848668193e-16,6.636257894736845,98.24561403508771,symbol,,9.442707836811303e-13,2.6017634055504075e-13,6
MFSD6L,4,0.8291552560599901,1.6450716065621067e-15,0.8198899994402453,6.179010560288284e-15,4.4035438596491225,96.49122807017544,symbol,,9.502550726178812e-13,1.3908391042976175e-12,11
SLC44A4,5,0.8281047446201711,1.9189318913931365e-15,0.8473693796409045,9.531071623805757e-17,7.736163157894737,100.0,symbol,,9.502550726178812e-13,5.899733335135763e-14,4
CLDN4,6,0.8231786362457869,3.897127890100075e-15,0.8525142137311202,3.9841440967721554e-17,10.357422807017546,100.0,symbol,,1.4833119672530178e-12,4.411010394255352e-14,2
SCNN1A,7,0.8226600985221675,4.193531409842942e-15,0.8322914970143188,1.0322993362213097e-15,8.01111754385965,100.0,symbol,,1.4833119672530178e-12,3.6513902235485183e-13,7
CLDN7,8,0.8171506352087115,9.007169135946868e-15,0.8201347093211192,5.972606382337714e-15,8.466108771929822,100.0,symbol,,2.7877188475755557e-12,1.3908391042976175e-12,10
VTCN1,9,0.8101503759398496,2.2947483294473112e-14,0.8371631322504003,4.909548582257679e-16,7.418424561403509,100.0,symbol,,6.313107626346158e-12,2.431208457934003e-13,5
F11R,10,0.8064557946590615,3.7017209568528514e-14,0.7949517007732744,1.5403034929048237e-13,10.812708771929824,100.0,symbol,,8.684925631429336e-12,2.5425276322882288e-11,15
PRSS8,11,0.8061317085817993,3.858407994576845e-14,0.850802914564518,5.344519863798892e-17,9.586750877192983,100.0,symbol,,8.684925631429336e-12,4.411010394255352e-14,3
CLDN3,12,0.8054187192118226,4.2257083444624753e-14,0.8042704025734536,4.8883588487776925e-14,9.164085964912278,100.0,symbol,,8.719044884074241e-12,9.310443468902743e-12,13
CDH1,13,0.8013352346383199,7.063062196812915e-14,0.7819136352874159,6.975469130239242e-13,10.200842105263158,100.0,symbol,,1.3452416922545213e-11,9.595145314706869e-11,18
GPRC5A,14,0.7969276639875551,1.2136032089827588e-13,0.7743570179272501,1.5981592765269382e-12,7.85057894736842,100.0,symbol,,2.1463439610295075e-11,1.7986556221275905e-10,22
PVRL4,15,0.7940757065076485,1.710580694589965e-13,0.828900592895557,1.7078040139196849e-15,6.930828070175437,100.0,symbol,,2.823598533203169e-11,4.6983585982946e-13,9
TSPAN1,16,0.7860383717915478,4.37501110682871e-13,0.7772369524877478,1.1696401258515868e-12,7.754015789473684,98.24561403508771,symbol,,6.770329687817428e-11,1.4480144758042645e-10,20
F2RL1,17,0.7852605652061188,4.781026700979914e-13,0.7939674124499938,1.73283758146571e-13,7.695849122807016,100.0,symbol,,6.963424771544863e-11,2.6815661573181862e-11,16
EPCAM,18,0.7797511018926627,8.872609025595149e-13,0.8011457804733199,7.231329325564473e-14,11.003001754385965,100.0,symbol,,1.2204766637429772e-10,1.2789122435784025e-11,14
GPR110,19,0.7782080991444842,1.051680464833195e-12,0.7802250656312731,8.418862813385986e-13,4.452219298245614,96.49122807017544,symbol,,1.3705057004878901e-10,1.0971107539970368e-10,19
MUC16,20,0.7759718689745287,1.3423009068863167e-12,0.7574730620306771,9.12562892370766e-12,6.562689473684209,96.49122807017544,symbol,,1.66176852272526e-10,9.823937919608768e-10,23
