gene,spearman_rank,spearman_r,spearman_p,pearson_r,pearson_p,mean_log2_expr,pct_expressed,match,ensembl,spearman_q,pearson_q,pearson_rank
CRB3,1,0.8512444905366865,4.956131973873677e-17,0.8596708639391459,1.1190751850442572e-17,3.2513664789771424,100.0,ensembl,ENSG00000130545,1.3237828502216592e-13,1.4945249096266055e-14,2
EPHA1,2,0.8350401866735805,6.807394055211571e-16,0.8428900348337369,1.9851671775579172e-16,2.880384568547924,100.0,ensembl,ENSG00000146904,6.36832608495792e-13,1.3255953828142991e-13,4
CLDN4,3,0.8347161005963184,7.152743637167264e-16,0.8632405688565078,5.785021830053334e-18,5.679159536129538,100.0,ensembl,ENSG00000189143,6.36832608495792e-13,1.4945249096266055e-14,1
SCNN1A,4,0.8327067669172933,9.698321906081134e-16,0.8315009930636156,1.1620014863269444e-15,3.4556949711371736,100.0,ensembl,ENSG00000111319,6.476054452785677e-13,5.172843283298781e-13,6
SLC44A4,5,0.8306974332382681,1.3097406884071738e-15,0.8320977664438377,1.0627405201124189e-15,3.8764343696468844,100.0,symbol,ENSG00000204385;ENSG00000206378;ENSG00000229077;ENSG00000235336;ENSG00000228263;ENSG00000232180;ENSG00000231479,6.996634757471122e-13,5.172843283298781e-13,5
MFSD6L,6,0.8292200743257859,1.6294599186940071e-15,0.8051252236076376,4.3864044105921975e-14,1.683601570610227,96.49122807017544,ensembl,ENSG00000185156,7.253812404719488e-13,8.3686329862084e-12,14
CLDN7,7,0.8271973036038371,2.190103284025213e-15,0.8253980522111571,2.839931702714747e-15,4.452664384567188,100.0,ensembl,ENSG00000181885,8.356808388044777e-13,9.48182197243886e-13,8
F11R,8,0.8260305937256935,2.592889104646031e-15,0.8104683779464971,2.2011497703101483e-14,5.280259495419537,100.0,ensembl,ENSG00000158769,8.657008498136936e-13,5.021012529846187e-12,11
VTCN1,9,0.8161783769769251,1.0280725951045353e-14,0.8260558477950157,2.5834654813906977e-15,3.735192345696806,100.0,ensembl,ENSG00000134258,3.051091001693571e-12,9.48182197243886e-13,7
PRSS8,10,0.8146227638060669,1.2682971439459369e-14,0.8562425980883565,2.0736819106829717e-17,4.929154095637086,100.0,ensembl,ENSG00000052344,3.3876216714795975e-12,1.846268127811406e-14,3
CLDN3,11,0.813585688358828,1.4572931764131543e-14,0.8140056149440597,1.3777336785739057e-14,6.332747114568526,100.0,ensembl,ENSG00000165215,3.53857279472685e-12,4.0888073949676686e-12,9
PROM2,12,0.8078817733990148,3.0816322345290295e-14,0.8124024900279706,1.7057582308684688e-14,3.0860594089041977,100.0,ensembl,ENSG00000155066,6.859199748689198e-12,4.5560802346496805e-12,10
