rank,gene,spearman_rho_vs_TACSTD2
1,TMEM125,0.9065983925330567
2,C1orf210,0.9060798548094374
3,TJP3,0.9002463054187192
4,TMPRSS4,0.8989499611096707
5,AP1M2,0.8686803214933887
6,TMC4,0.8663469017371014
7,ST14,0.8662820845216489
8,KRT23,0.8635597614726471
9,RAB25,0.8621985999481462
10,BICDL2,0.8617448794399792
11,SMIM22,0.8576104747443503
12,KDF1,0.8557168784029038
13,CRB3,0.8512444905366865
14,RGL3,0.8457350272232305
15,EPS8L1,0.8430127041742287
16,EHF,0.8395125745397978
17,OVOL1,0.8393317237899321
18,TMPRSS2,0.8364013481980814
19,EPHA1,0.8350401866735805
20,CLDN4,0.8347161005963184
21,SCNN1A,0.8327067669172933
22,SLC44A4,0.8306974332382681
23,HID1,0.8294010889292196
24,MFSD6L,0.8292200743257859
25,AL035661.1,0.8286121752029498
