cohort	patient	split	pair_id	metabolite	sensor	hmdb	annotation	family	thesis_expect	n_mal	n_high	n_low	n_tnk	score_high	score_low	delta	detected	met_high	met_low	sensor_tnk	prop_met_high	prop_met_low	prop_sensor_tnk	fdr_high	fdr_low
GSE123902	LX255B	q4q1	Adenosine_ADORA2A	Adenosine	ADORA2A	HMDB0000050	Receptor	immunosuppressive_metabolite	high>low	228	57	57	1583	-0.00012845940857294976	-5.930423220500538e-05		False	-0.05129714519308324	-0.023681704935274626	0.002504221396520734	0.12280701754385964	0.08771929824561403	0.0006317119393556538	1.0	1.0
GSE123902	LX255B	q4q1	Adenosine_ADORA2B	Adenosine	ADORA2B	HMDB0000050	Receptor	immunosuppressive_metabolite	high>low	228	57	57	1583	-4.430814203676703e-05	-2.0455180146875668e-05		False	-0.05129714519308324	-0.023681704935274626	0.0008637545397505164	0.12280701754385964	0.08771929824561403	0.0	1.0	0.9013615733736762
GSE123902	LX255B	q4q1	PGE2_PTGER2	Prostaglandin E2	PTGER2	HMDB0001220	Receptor	immunosuppressive_metabolite	high>low	228	57	57	1583	0.008198212390516794	0.004013613379372459	0.004184599011144335	True	0.2907163811880247	0.14232653431725087	0.02820003591477871	0.7017543859649122	0.3508771929824561	0.009475679090334808	0.0	0.0
GSE123902	LX255B	q4q1	PGE2_PTGER4	Prostaglandin E2	PTGER4	HMDB0001220	Receptor	immunosuppressive_metabolite	high>low	228	57	57	1583	0.01839765713150296	0.009006973629705227	0.009390683501797732	True	0.2907163811880247	0.14232653431725087	0.06328386813402176	0.7017543859649122	0.3508771929824561	0.022109917877447885	0.0	0.0
GSE123902	LX255B	q4q1	DLactate_HCAR1	D-Lactic acid	HCAR1	HMDB0001311	Receptor	immunosuppressive_metabolite	high>low	228	57	57	1583	0.0	0.0		False	0.06428030002535434	0.0501956584160788	0.0	0.14035087719298245	0.05263157894736842	0.0	1.0	1.0
GSE123902	LX255B	q4q1	LLactate_SLC16A1	L-Lactic acid	SLC16A1	HMDB0000190	Transporter	immunosuppressive_metabolite	high>low	228	57	57	1583				False								
GSE123902	LX255B	median	Adenosine_ADORA2A	Adenosine	ADORA2A	HMDB0000050	Receptor	immunosuppressive_metabolite	high>low	228	80	148	1583	-0.00012933854438379453	-6.843388198639657e-05		False	-0.051648206729441884	-0.027327408863080514	0.002504221396520734	0.1375	0.08108108108108109	0.0012634238787113076	1.0	1.0
GSE123902	LX255B	median	Adenosine_ADORA2B	Adenosine	ADORA2B	HMDB0000050	Receptor	immunosuppressive_metabolite	high>low	228	80	148	1583	-4.46113730325286e-05	-2.3604173465104293e-05		False	-0.051648206729441884	-0.027327408863080514	0.0008637545397505164	0.1375	0.08108108108108109	0.0006317119393556538	0.8445074415308294	0.6780728376327768
GSE123902	LX255B	median	PGE2_PTGER2	Prostaglandin E2	PTGER2	HMDB0001220	Receptor	immunosuppressive_metabolite	high>low	228	80	148	1583	0.008258122681119043	0.004278303711375884	0.003979818969743159	True	0.292840856872499	0.15171270434920853	0.02820003591477871	0.7375	0.33783783783783783	0.009475679090334808	0.0	0.0
GSE123902	LX255B	median	PGE2_PTGER4	Prostaglandin E2	PTGER4	HMDB0001220	Receptor	immunosuppressive_metabolite	high>low	228	80	148	1583	0.018532102170573165	0.009600966776291141	0.008931135394282023	True	0.292840856872499	0.15171270434920853	0.06328386813402176	0.7375	0.33783783783783783	0.022741629816803537	0.0	0.0
GSE123902	LX255B	median	DLactate_HCAR1	D-Lactic acid	HCAR1	HMDB0001311	Receptor	immunosuppressive_metabolite	high>low	228	80	148	1583	0.0	0.0		False	0.06297824736684561	0.0363859558427656	0.0	0.1375	0.0472972972972973	0.0	1.0	1.0
GSE123902	LX255B	median	LLactate_SLC16A1	L-Lactic acid	SLC16A1	HMDB0000190	Transporter	immunosuppressive_metabolite	high>low	228	80	148	1583				False								
