hmdb	metabolite	sensor	annotation	n	mean_delta	median_delta	p_w	n_high_gt_low	n_low_gt_high
HMDB0000112	gamma-Aminobutyric acid	SLC6A8	Transporter	49	0.001064831731560658	0.0005233822475161922	3.126388037344441e-13	46	3
HMDB0000145	Estrone	ESR1	Nuclear Receptor	39	0.0004714720026531034	0.00019330962824470232	1.0913936421275139e-11	38	1
HMDB0001388	alpha-Linolenic acid	SLC27A5	Transporter	64	0.0007500342054683346	0.0005800601624740691	1.8055317902686064e-11	59	5
HMDB0000112	gamma-Aminobutyric acid	SLC6A6	Transporter	63	0.009082512817725525	0.005999187099774993	2.0511384371541374e-11	59	4
HMDB0001220	Prostaglandin E2	PTGER2	Receptor	64	0.010864233672776957	0.008187191528102579	3.742180297424629e-11	60	4
HMDB0001220	Prostaglandin E2	PTGER4	Receptor	63	0.034928912204470905	0.024612103301106414	6.233466638313959e-11	59	4
HMDB0000050	Adenosine	SLC29A1	Transporter	49	0.0014351336202910918	0.0007436883574522667	8.761347203289915e-11	46	3
HMDB0000050	Adenosine	ADORA2B	Receptor	34	0.0003294127847805019	0.0001667878128464115	1.1641532182693481e-10	34	0
HMDB0002719	Desmosterol	NR1H2	Receptor	64	0.08454743401963981	0.047222292510063574	2.403352072822245e-10	56	8
HMDB0000050	Adenosine	SLC29A2	Transporter	40	0.0008380694491435397	0.00040054009004088394	5.584297468885779e-10	39	1
HMDB0003080	Leukotriene D4	KCNJ5	Channel	34	0.0001168436070435797	7.338003145879728e-05	8.149072527885437e-10	32	2
HMDB0003080	Leukotriene D4	CYSLTR2	Receptor	54	0.000335452319566558	0.0001317124705855198	9.001956553892784e-10	50	4
HMDB0000053	Androstenedione	AR	Nuclear Receptor	31	0.0003509110327614988	0.00013899952222384788	9.313225746154785e-10	31	0
HMDB0000112	gamma-Aminobutyric acid	GABBR1	Receptor	54	0.001886817170725717	0.0006034296026023728	1.0028894642746747e-09	52	2
HMDB0000112	gamma-Aminobutyric acid	KCTD12	Channel	54	0.005542417875345599	0.001099601415779394	1.713749137572282e-09	50	4
HMDB0002719	Desmosterol	NR1H3	Nuclear Receptor	56	0.004034922339927943	0.0023350387905761833	1.9297299068967694e-09	50	6
HMDB0003080	Leukotriene D4	CYSLTR1	Receptor	63	0.002090971834486856	0.0007184524379171622	2.9282232595195368e-09	56	7
HMDB0000207	Oleic acid	SLC27A5	Transporter	64	0.001069388773744901	0.0009493634883893866	4.49290739005351e-09	58	6
HMDB0000517	L-Arginine	SLC7A1	Transporter	59	0.002439847324729882	0.0010119196128953027	6.459939526707243e-09	50	9
HMDB0001220	Prostaglandin E2	SLC22A1	Transporter	28	0.00020434453198328904	8.775975278220509e-05	7.450580596923828e-09	28	0
HMDB0001085	Leukotriene B4	LTB4R	Receptor	61	0.005241198575671497	0.002080536588712975	1.3629132653344777e-08	50	11
HMDB0000050	Adenosine	ADORA2A	Receptor	27	0.004469771773789753	0.0002184454260508486	1.4901161193847656e-08	27	0
HMDB0000050	Adenosine	ADORA3	Receptor	27	0.0008223689532502963	0.000200918718684082	1.4901161193847656e-08	27	0
HMDB0001388	alpha-Linolenic acid	FFAR4	Receptor	27	0.0003610086091177206	0.0001408862574944942	1.4901161193847656e-08	27	0
HMDB0001311	D-Lactic acid	SLC16A1	Transporter	64	0.0070160354327346445	0.004364249975817025	1.6589903079458295e-08	55	9
HMDB0000806	Myristic acid	SLC27A2	Transporter	59	0.002202242033971654	0.0013881166824674246	1.7938595835025894e-08	54	5
HMDB0000014	Deoxycytidine	SLC29A2	Transporter	39	0.001173053093961553	0.000368275825006612	2.759043127298355e-08	36	3
HMDB0003080	Leukotriene D4	KCNQ4	Channel	27	4.739399743031311e-05	2.7958939444586233e-05	4.470348358154297e-08	26	1
HMDB0001220	Prostaglandin E2	PTGER1	Receptor	33	0.00023278499416558459	0.00010293694191455544	5.8906152844429016e-08	31	2
HMDB0000207	Oleic acid	PLD2	Enzyme	57	0.0004439209345866351	0.0003267884975757449	7.013546130811764e-08	52	5
HMDB0001085	Leukotriene B4	PPARA	Nuclear Receptor	61	0.004611079392460511	0.0017655574129376195	7.911965074559719e-08	50	11
HMDB0000112	gamma-Aminobutyric acid	SLC6A12	Transporter	24	0.0002574927060026196	0.00014657007674924734	1.1920928955078125e-07	24	0
HMDB0000112	gamma-Aminobutyric acid	GABRB3	Receptor	25	0.0004702913098488471	7.783735894345632e-05	1.7881393432617188e-07	24	1
HMDB0000902	NAD	TRPM2	Receptor	54	0.0012256526831197253	0.00046600756914146285	4.6242189612666094e-07	46	8
HMDB0000207	Oleic acid	FFAR4	Receptor	27	0.000386578212927025	0.0001442510489924528	8.195638656616211e-07	25	2
HMDB0003080	Leukotriene D4	KCNQ2	Channel	22	0.00013994419113117068	3.727109237965963e-05	9.5367431640625e-07	21	1
