accession	title	species	assay	tissue	model_or_GEMM	n_mice_or_samples	cldn4_in_features	processed_matrix	immune_or_GEMM_labels	kl_vs_other	usable_mouse_level	scored_here	assigned_other_agent	notes
GSE154989	Emergence of a high-plasticity cell state during lung cancer evolution, plate scRNA timecourse	Mus musculus	scRNA-seq (Smart-seq plate)	lung tumor epithelium (GEMM)	K and KP (Kras; Kras/Trp53); early T lesions	30 biological mice (39 tumor IDs; 3891 QC cells); 28 mice with >=10 cells	yes (Cldn4 in geneTable)	yes: normTPM and rawCount h5 + sample/gene tables	GEMM stage/genotype labels; no published T/NK cell-type calls (cancer-cell focused)	no KL/Stk11 arm	yes	yes	no	Best unused GEMM scRNA with many mice and Cldn4. T/NK is a tumor-cell gene score, not a T/NK fraction.
GSE154977	Same study, 10x RNA-seq of KP tumors +/- cisplatin	Mus musculus	scRNA-seq (10x)	lung tumor	KP; n=4 libraries (2 untreated, 2 cisplatin)	4 mice/libraries	yes (same gene table family)	yes: normTPM/rawCount h5	KP GEMM; limited immune annotation in GEO tables	no KL	possible but n=4	no	no	Sister of GSE154989. Not scored; smaller n than plate timecourse.
GSE6135	LKB1 modulates lung cancer differentiation and metastasis (Ji et al.)	Mus musculus (plus human cell-line array)	bulk microarray (Mouse430A_2)	primary lung tumors (+1 metastasis)	K, KP, K;Ink4a, KL (Kras+Lkb1)	25 mouse tumors / 20 mice after genotype-aware collapse	yes (probe 1418283_at Cldn4)	yes: series matrix processed values	GEMM genotype in sample titles; immune inferred from T/NK genes	yes (13 KL vs 12 other tumors)	yes	yes	no	Classic public KL bulk. Human A549/H2126 samples are on GPL5373 and were not scored.
GSE127465	Conserved myeloid populations in human and mouse lung cancers (Zilionis/Pittet)	Mus musculus (mouse subset)	scRNA-seq (inDrop)	lung CD45+ immune	KP1.9 (KP line) vs healthy lung	4 mice (2 healthy, 2 tumor-bearing); 15939 cells	yes (Cldn4 in mouse gene names)	yes: normalized MTX + metadata (mouse files ~166 Mb)	yes: Major cell type includes T cells and NK cells	not KL (KP line)	limited: Cldn4 is epithelial; matrix is CD45+ only	no	no	Strong T/NK labels but Cldn4 biology is not in CD45+. Not used as a scored analysis.
GSE165641	10X scRNA of tumor sections from KL mice 10 weeks after Ad-Cre	Mus musculus	scRNA-seq (10x)	KL lung tumor (RBC-depleted, mixed cell types)	KL (KrasG12D/+; Lkb1fl/fl)	2 mice	not inspected in R object (R unavailable); expected yes	yes: processed_normalized_matrix_data.Rdata.gz (39.6 Mb) + RAW tar	paper reports 11 cell types including immune and epithelial	KL only (no other GEMM)	n=2 too small for high-vs-low	no	no	Best public KL scRNA with mixed lineages, but honest n=2.
GSE180963	scRNA of GEMM Kras vs Kras;Lkb1fl/fl tumor sections	Mus musculus	scRNA-seq	lung tumor TME	K vs KL	2 samples (1 K, 1 KL)	unknown (no gene table on GEO)	yes: RAW.tar of 10x outs (87.9 Mb)	GEMM K vs KL; immune landscape claimed	n=1 per arm	n=2 too small	no	no	KL vs K exists but cannot support mouse-level correlation.
GSE244452	FAK inhibition in KRAS/LKB1 LUAD TME	Mus musculus	bulk RNA-seq	syngeneic KL and KP tumors	KL vs KP	6 tumors (3 KL, 3 KP)	unknown	no count matrix (DEG table only)	KL vs KP labels	yes but no expression matrix	no (DEG only)	no	no	Do not use FASTQ. Cataloged only.
GSE149813	Early KRAS-driven LUAD distal epithelium scRNA	Mus musculus	scRNA-seq (10x)	distal lung epithelium	Kras-G12D (Ad-Cre)	4 samples (AM1/2/4/5)	expected yes	yes: RAW.tar of MTX/TSV (65.1 Mb)	epithelial-sorted; not mixed immune	not KL	epithelial IFN/MHC possible; T/NK weak	no	no	Unused; smaller and epithelium-only vs GSE154989.
GSE246710	LLC orthotopic lung TME scRNA	Mus musculus	scRNA-seq (10x)	lung +/- LLC	LLC (LL/2-Luc2)	2 libraries (tumor-negative vs tumor-positive; mice pooled in design)	expected yes	yes: RAW.tar (100.8 Mb)	TME / T-cell depletion described	not KL	n effective ~2 pooled libraries	no	no	LLC scRNA; too few independent mice for mouse-level split.
GSE50927	WT vs Cldn4 KO lungs after ventilator-induced injury	Mus musculus	bulk RNA-seq	whole lung (injury, not cancer)	Cldn4 KO vs WT +/- VILI	5 GEO samples (paper: duplicates of 5 conditions)	Cldn4 is the KO gene (not a continuous tumor trait)	no count matrix on GEO (DE tables only)	immune genes in DE tables; no GEMM	not GEMM	no continuous Cldn4; DE-only	no	no	Cldn4-lung-injury dataset. Cataloged; not scored.
