n_nmpr	n_mpr	mean_nmpr	mean_mpr	median_nmpr	median_mpr	delta_mean_nmpr_minus_mpr	mwu_u	exact_p	note	contrast	score	patients_nmpr	patients_mpr
6	1	0.3790245422472556	0.3255139887332916	0.3406812846660614	0.3255139887332916				too_few_samples; primary malignant-like gate	NMPR vs MPR: A3-malignant DPT, post ≥10 malignant-like	mal_mean_dpt	P02,P04,P07,P09,P10,P12	P03
8	2	0.39278597896918654	0.3621729016304016	0.40816085040569305	0.3621729016304016	0.030613077338784933	9.0	0.888888888888889	noisy; includes 1–9 cell residuals	NMPR vs MPR: A3-malignant DPT, post any malignant-like (≥1 cell)	mal_mean_dpt	P02,P04,P07,P09,P10,P12,P13,P15	P03,P06
8	4	0.41035331413149834	0.5448212698101997	0.4408362954854965	0.576059490442276	-0.1344679556787014	8.0	0.21414141414141416	companion; leftover+malignant on the graph	NMPR vs MPR: epithelial DPT, post complete-case	epi_mean_dpt	P02,P04,P07,P09,P10,P12,P13,P15	P03,P06,P11,P14
8	4	0.41543068177998066	0.548020601272583	0.4445772171020508	0.5769569128751755	-0.13258991949260235	8.0	0.21414141414141416	leftover only	NMPR vs MPR: leftover-epi DPT, post ≥10 leftover	leftover_mean_dpt	P02,P04,P07,P09,P10,P12,P13,P15	P03,P06,P11,P14
6	1	1.3753597587469277	1.014394667123755	1.5018404758239492	1.014394667123755				too_few_samples; CLDN4 vs MPR companion on the same n	NMPR vs MPR: A3-malignant CLDN4, post ≥10 malignant-like	mal_mean_CLDN4	P02,P04,P07,P09,P10,P12	P03
8	4	1.5085507999877505	1.5051576058097607	1.5959875938201598	1.5374434074873404	0.003393194177989889	17.0	0.9333333333333333	CLDN4 vs MPR companion	NMPR vs MPR: epithelial CLDN4, post complete-case	epi_mean_CLDN4	P02,P04,P07,P09,P10,P12,P13,P15	P03,P06,P11,P14
