cell	patient	Sample	paper_group	path_response	timing	Pathology	compartment	is_malig_a3	is_leftover_epi	leiden	dpt_pseudotime	cldn4_tertile	expr_CLDN4	expr_TACSTD2	score_AT2	score_barrier_keratin	n_umi	n_genes
BD_immune01_99665	P01	BD_immune01	TN	NE	pre	Squamous	leftover_epi	False	True	0	0.30030182	high	3.2755463123321533	2.504000663757324	0.0	1.175896296898524	26711	6399
BD_immune01_222334	P01	BD_immune01	TN	NE	pre	Squamous	leftover_epi	False	True	0	0.28839096	high	2.7779488563537598	3.6431524753570557	0.0	0.7950319548447927	29834	6389
BD_immune01_471719	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.29099223	low	0.6421038508415222	0.6421038508415222	0.0	1.192205396791299	44422	7367
BD_immune01_537769	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.29764977	high	2.5831246376037598	2.0624818801879883	0.05224172472953796	1.1893896063168843	33502	6162
BD_immune01_586009	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.25647685	high	2.9543075561523438	2.9543075561523438	0.0	1.0327228307724	2749	1103
BD_immune01_753215	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.2899692	low	0.0	2.3649213314056396	0.0	0.5871917804082235	4148	2075
BD_immune01_242320	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.2873903	high	3.895484447479248	2.8367340564727783	0.0	0.0	1868	984
BD_immune01_390014	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.26652908	mid	1.6751012802124023	1.153626799583435	0.0	1.2641251881917317	9218	2885
BD_immune01_847179	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.29681528	low	0.9565094709396362	1.482857584953308	0.10390554368495941	1.1681046560406685	49922	7551
BD_immune01_270397	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.29369766	high	3.6157724857330322	1.7997905015945435	0.0	1.3741460641225178	11886	4024
BD_immune01_257062	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.2885264	high	3.609640121459961	1.8141905069351196	0.0	0.7060885628064474	1947	1157
BD_immune01_51623	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.28865215	mid	1.7018903493881226	1.7018903493881226	0.0	1.264024794101715	2230	1196
BD_immune01_571178	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.26988208	high	3.7900550365448	2.735640048980713	0.0	1.5778554677963257	1387	685
BD_immune01_724863	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.2979737	low	0.26184147596359253	0.0	0.0523682951927185	0.9847147464752197	33409	6406
BD_immune01_186847	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.29103172	high	2.785954475402832	2.7980668544769287	0.0	0.7948579688866934	50609	7312
BD_immune01_245623	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.25778198	high	2.0275113582611084	3.2710623741149902	0.05959286689758301	0.881993293762207	28811	5753
BD_immune01_837609	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.2893923	high	2.7199196815490723	1.1752047538757324	0.0	0.9615265429019928	13400	4585
BD_immune01_739903	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.29004642	mid	1.364279866218567	2.276108980178833	0.0	0.9122589429219564	3433	1778
BD_immune01_218038	P01	BD_immune01	TN	NE	pre	Squamous	A3_malignant	True	False	0	0.28826404	low	0.0	0.0	0.0	0.26623127857844037	2538	1287
