leiden	n_cells	n_malignant	n_leftover	mean_CLDN4	mean_dpt	mean_AT2	mean_barrier	frac_MPR	frac_NMPR
0	504	446	58	2.048012940981795	0.28529828786849976	0.03379152803312219	0.9935870090864165	0.003968253968253968	0.007936507936507936
1	577	13	564	1.5525279908700873	0.44811272621154785	1.9629687128178581	1.1379246823037725	0.31369150779896016	0.6845753899480069
2	69	2	67	1.5741676567257314	0.461821049451828	0.15694943865140282	1.139408691637758	0.6231884057971014	0.36231884057971014
3	138	130	8	0.6333085065302642	0.3075101971626282	0.052583596585453425	0.46389657320175764	0.9130434782608695	0.08695652173913043
4	237	26	211	1.4479218736479553	0.44319838285446167	1.8643084333918771	1.0586420956019276	0.008438818565400843	0.22362869198312235
5	84	9	75	1.9923069533847628	0.4096311032772064	2.070346289731207	0.8211968331819487	0.0	1.0
6	418	0	418	1.6208993290600024	0.7656048536300659	0.37577328156483797	0.6922780945362371	0.5263157894736842	0.47368421052631576
7	231	0	231	2.0085848876924226	0.7947725653648376	0.10848750623015614	0.7372318337877075	0.8701298701298701	0.12987012987012986
8	358	235	123	1.1616400598480714	0.3320578634738922	0.0665487106452441	0.5777551352950003	0.9972067039106145	0.002793296089385475
9	20	0	20	1.515346199274063	0.48981738090515137	0.7327678322792053	1.4688985084493953	0.35	0.65
10	315	208	107	1.825742994509046	0.03173784911632538	0.12957992663459172	1.2034610343357874	0.0031746031746031746	0.9968253968253968
11	276	161	115	1.7384670146241568	0.2952398359775543	0.15262253312528998	1.2885834071335298	0.007246376811594203	0.9927536231884058
12	71	49	22	1.4958249158422712	0.734665036201477	0.29208113341264325	1.2701596996174174	0.0	1.0
13	500	468	32	0.9085962968170643	0.8958697319030762	0.011002038097381593	1.9830316048363845	0.0	0.0
14	143	82	61	1.4978904945033413	0.05694112554192543	0.14924075345059376	1.1365261872262111	0.0	1.0
15	240	186	54	1.1071507797266047	0.28942763805389404	0.010954705563684306	0.7146385651702682	0.0	1.0
16	356	299	57	0.6249843165278435	0.545696496963501	0.014573583090573215	1.503000349803978	0.0	1.0
