n	rho	p	note	contrast	compartment	cohort	q
7	-0.21428571428571433	0.6445115810207203		A3-malignant CLDN4 vs DPT	A3_malignant	post ≥10 malignant-like	0.8056394762759003
7	0.7857142857142859	0.03623846267982715		A3-malignant CLDN4 vs AT2 score	A3_malignant	post ≥10 malignant-like	0.18119231339913577
7	-0.07142857142857144	0.879048193148154		A3-malignant CLDN4 vs barrier/keratin (no CLDN4)	A3_malignant	post ≥10 malignant-like	0.8790481931481541
7	0.25	0.5887244480896832		A3-malignant CLDN4 vs TACSTD2 (companion)	A3_malignant	post ≥10 malignant-like	0.8056394762759003
7	0.3571428571428572	0.431611352038328		A3-malignant AT2 vs DPT (control)	A3_malignant	post ≥10 malignant-like	0.8056394762759003
