ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
HLA-B,HLA-B,3.640043,0.974,KIR3DL2,KIR3DL2,0.26330656,0.157,NK,NK,1.9516748,0.0
HLA-C,HLA-C,3.5459747,0.9695,KIR2DL3,KIR2DL3,0.26344678,0.156,NK,NK,1.9047108,0.0
HLA-B,HLA-B,3.3856535,0.9695,KIR3DL2,KIR3DL2,0.26330656,0.157,T,NK,1.82448,0.0
HLA-C,HLA-C,3.2097852,0.969,KIR2DL3,KIR2DL3,0.26344678,0.156,T,NK,1.736616,0.0
HLA-E,HLA-E,2.6436462,0.94,KLRC1,KLRC1_KLRD1,0.5316861,0.254,NK,NK,1.5876662,0.0
HLA-E,HLA-E,2.6436462,0.94,KLRC1,KLRC1,0.5316861,0.254,NK,NK,1.5876662,0.0
HLA-E,HLA-E,2.6436462,0.94,KLRK1,KLRK1,0.4562874,0.252,NK,NK,1.5499668,0.0
HLA-E,HLA-E,2.6436462,0.94,KLRC2,KLRC2_KLRD1,0.4500429,0.234,NK,NK,1.5468446,0.0
HLA-E,HLA-E,2.6436462,0.94,KLRC2,KLRC2,0.4500429,0.234,NK,NK,1.5468446,0.0
HLA-E,HLA-E,2.3402917,0.91,KLRC1,KLRC1_KLRD1,0.5316861,0.254,T,NK,1.4359889,0.0
HLA-E,HLA-E,2.3402917,0.91,KLRC1,KLRC1,0.5316861,0.254,T,NK,1.4359889,0.0
HLA-E,HLA-E,2.6436462,0.94,KLRC3,KLRC3_KLRD1,0.22286461,0.128,NK,NK,1.4332554,0.0
HLA-E,HLA-E,2.6436462,0.94,KLRK1,KLRK1,0.19029683,0.1105,NK,T,1.4169716,0.0
HLA-E,HLA-E,2.3402917,0.91,KLRK1,KLRK1,0.4562874,0.252,T,NK,1.3982896,0.0
HLA-E,HLA-E,2.3402917,0.91,KLRC2,KLRC2_KLRD1,0.4500429,0.234,T,NK,1.3951674,0.0
HLA-E,HLA-E,2.3402917,0.91,KLRC2,KLRC2,0.4500429,0.234,T,NK,1.3951674,0.0
HLA-E,HLA-E,2.3402917,0.91,KLRC3,KLRC3_KLRD1,0.22286461,0.128,T,NK,1.2815782,0.0
HLA-E,HLA-E,2.3402917,0.91,KLRK1,KLRK1,0.19029683,0.1105,T,T,1.2652943,0.0
APP,APP,0.7053655,0.5725,CD74,CD74,1.8027534,0.7565,Malig_CLDN4high,T,1.2540594,0.0
APP,APP,0.7053655,0.5725,CD74,CD74,1.7710592,0.749,Malig_CLDN4high,NK,1.2382123,0.0
CLEC2D,CLEC2D,0.7597939,0.456,KLRB1,KLRB1,1.6937666,0.656,T,NK,1.2267802,0.0
APP,APP,0.49870688,0.414,CD74,CD74,1.8027534,0.7565,Malig_CLDN4low,T,1.1507301,0.0
APP,APP,0.49870688,0.414,CD74,CD74,1.7710592,0.749,Malig_CLDN4low,NK,1.134883,0.0
CLEC2D,CLEC2D,0.38324586,0.229,KLRB1,KLRB1,1.6937666,0.656,NK,NK,1.0385063,0.0
CLEC2B,CLEC2B,0.8746958,0.491,KLRF1,KLRF1,1.0973643,0.544,NK,NK,0.98603004,0.0
KLRF1,KLRF1,1.0973643,0.544,CLEC2B,CLEC2B,0.8746958,0.491,NK,NK,0.98603004,0.0
LTB,LTB,1.5837657,0.6405,LTBR,LTBR,0.35358098,0.414,T,Malig_CLDN4high,0.96867335,0.0
LTB,LTB,1.5837657,0.6405,LTBR,LTBR,0.3116617,0.325,T,Malig_CLDN4low,0.94771373,0.0
MDK,MDK,1.4794626,0.7645,SORL1,SORL1,0.4159626,0.264,Malig_CLDN4high,NK,0.9477126,0.0
HLA-B,HLA-B,1.6066374,0.7845,KIR3DL2,KIR3DL2,0.26330656,0.157,Malig_CLDN4high,NK,0.9349719,1.0
HLA-B,HLA-B,1.5454676,0.7345,KIR3DL2,KIR3DL2,0.26330656,0.157,Malig_CLDN4low,NK,0.9043871,1.0
KLRF1,KLRF1,1.0973643,0.544,CLEC2B,CLEC2B,0.6998544,0.411,NK,T,0.89860934,0.0
CLEC2B,CLEC2B,0.6998544,0.411,KLRF1,KLRF1,1.0973643,0.544,T,NK,0.89860934,0.0
CD58,CD58,0.207695,0.144,CD2,CD2,1.5494385,0.7385,NK,T,0.87856674,0.0
SPP1,SPP1,0.6524949,0.3025,CD44,CD44,1.1019337,0.609,Malig_CLDN4low,T,0.8772143,0.0
APP,APP,0.7053655,0.5725,CD74,CD74,1.043631,0.5125,Malig_CLDN4high,Malig_CLDN4high,0.87449825,0.04
MDK,MDK,1.4794626,0.7645,SORL1,SORL1,0.26655442,0.1895,Malig_CLDN4high,T,0.8730085,0.0
CD58,CD58,0.18300496,0.1275,CD2,CD2,1.5494385,0.7385,T,T,0.8662217,0.0
HLA-C,HLA-C,1.4570138,0.762,KIR2DL3,KIR2DL3,0.26344678,0.156,Malig_CLDN4high,NK,0.8602303,1.0
MDK,MDK,1.4794626,0.7645,PTPRZ1,PTPRZ1,0.23731881,0.167,Malig_CLDN4high,Malig_CLDN4low,0.8583907,0.0
MDK,MDK,1.4794626,0.7645,SORL1,SORL1,0.22561455,0.301,Malig_CLDN4high,Malig_CLDN4high,0.8525386,0.0
CD58,CD58,0.13313235,0.2,CD2,CD2,1.5494385,0.7385,Malig_CLDN4high,T,0.8412854,0.0
