direction	ligand	receptor	pathway	n_patients	n_GSE131907	n_GSE148071	n_GSE205335	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	pval	padj
malignant_CLDN4high_to_TNK	IFNG	IFNGR1	IFN	3	1	0	2	-0.0608675773255527	-0.05160297003264228	0.10918097648148735	0.16078394651412964	0.3333333333333333	0.6666666666666666	0.25	0.32
malignant_CLDN4high_to_TNK	HLA-F	KIR3DL2	MHC_I	3	1	0	2	0.030247822403907776	0.06292424009492	0.2503942437469959	0.18747000365207592	1.0	0.6666666666666666	0.25	0.32
malignant_CLDN4high_to_TNK	HLA-C	CD8A	MHC_I	59	27	14	18	0.10200965404510498	0.1188351818818157	1.216070639885078	1.0972354580032624	1.0	1.0	1.5825992232892198e-06	1.0661340700089812e-05
malignant_CLDN4high_to_TNK	HLA-B	CD8A	MHC_I	59	27	14	18	0.10879427194595337	0.11004878492173502	1.3368905172762224	1.2268417323544873	1.0	1.0	3.6475204445512513e-05	0.00014147958087956368
malignant_CLDN4high_to_TNK	HLA-E	KLRD1	MHC_I	55	25	12	18	0.11278283596038818	0.11693266359242525	0.8044390907341784	0.6875064271417531	1.0	1.0	4.26359459836679e-08	5.969076493712473e-07
malignant_CLDN4high_to_TNK	HLA-C	CD8B	MHC_I	48	23	8	17	0.1142469048500061	0.13178172521293163	1.1999441809020936	1.068162455689162	1.0	1.0	4.256276476155563e-06	2.1792135557916482e-05
malignant_CLDN4high_to_TNK	HLA-A	CD8A	MHC_I	59	27	14	18	0.11507326364517212	0.11771952322984146	1.3685493709172232	1.2508298476873818	1.0	1.0	2.057664085884332e-06	1.197186377241793e-05
malignant_CLDN4high_to_TNK	HLA-A	CD8B	MHC_I	48	23	8	17	0.11842817068099976	0.1295009128128489	1.3327756826765835	1.2032747698637347	1.0	1.0	6.146570143528152e-06	2.8266308722240843e-05
malignant_CLDN4high_to_TNK	HLA-E	KLRC1	MHC_I	15	8	2	5	0.12837573885917664	0.13972699840863545	0.6845129599173864	0.5447859615087509	1.0	1.0	6.103515625e-05	0.0002232142857142857
malignant_CLDN4high_to_TNK	HLA-B	CD8B	MHC_I	48	23	8	17	0.1366632878780365	0.1196136559980611	1.319209214610358	1.199595558612297	1.0	1.0	0.00010443433045992379	0.00035177879733869064
