direction	ligand	receptor	pathway	n_patients	n_GSE131907	n_GSE148071	n_GSE205335	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	pval	padj
TNK_to_malignant_CLDN4	IFNG	IFNGR1	IFN	47	19	15	13	0.019807279109954834	0.029871332360074877	0.372662359769357	0.34279102740928213	0.9574468085106383	0.8085106382978723	6.38523843861094e-05	0.0003705978393554687
TNK_to_malignant_CLDN4	IFNG	IFNGR1+IFNGR2	IFN	44	19	12	13	0.024022959172725677	0.02897555495358326	0.3721598433330655	0.3431842883794822	0.9545454545454546	0.8409090909090909	0.00017909917107772344	0.0009165663461036434
TNK_to_malignant_CLDN4	IFNG	IFNGR2	IFN	46	20	13	13	0.03754418343305588	0.04807726002257803	0.49828085951183154	0.4502035994892535	0.9565217391304348	0.9782608695652174	3.6040891018274124e-06	2.8505068350816803e-05
TNK_to_malignant_CLDN4	HLA-A	CD8A	MHC_I	4	2	0	2	-0.044545741053298116	-0.046534014865756035	1.8659627710003406	1.9124967858660966	0.5	0.5	0.625	0.7448630136986302
TNK_to_malignant_CLDN4	HLA-B	CD8A	MHC_I	4	2	0	2	-0.044545741053298116	-0.046534014865756035	1.8816004369873554	1.9281344518531114	0.5	0.5	0.625	0.7448630136986302
TNK_to_malignant_CLDN4	HLA-C	CD8A	MHC_I	4	2	0	2	-0.044545741053298116	-0.046534014865756035	1.8588644538540393	1.9053984687197953	0.5	0.5	0.625	0.7448630136986302
TNK_to_malignant_CLDN4	HLA-E	KLRD1	MHC_I	3	1	0	2	-0.01458176039159298	-0.03702696459367871	1.3540948041093845	1.3911217687030633	0.6666666666666666	0.3333333333333333	0.5	0.6590909090909092
TNK_to_malignant_CLDN4	HLA-E	KLRC2	MHC_I	3	2	0	1	-0.009689956903457642	-0.025453732038537662	1.2190122281511624	1.2444659601897001	0.6666666666666666	0.6666666666666666	0.75	0.8700000000000001
TNK_to_malignant_CLDN4	HLA-A	CD8B	MHC_I	4	3	0	1	0.005587815016042441	-0.02650240159709938	1.7791649019345641	1.8056673035316635	0.75	0.5	0.875	0.9515625
TNK_to_malignant_CLDN4	HLA-B	CD8B	MHC_I	4	3	0	1	0.005587815016042441	-0.02650240159709938	1.8722601747140288	1.8987625763111282	0.75	0.5	0.875	0.9515625
