patient	dataset	n_cells_kept	n_malig	n_cldn4_high	n_cldn4_low	n_T	n_NK	n_T_NK	paired	label_source
GSE131907|P0006	GSE131907	1639	100	68	32	1499	40	1539	True	author_Cell_type
GSE131907|P0008	GSE131907	2170	42	29	13	2106	22	2128	True	author_Cell_type
GSE131907|P0009	GSE131907	1986	5	3	2	1878	103	1981	False	author_Cell_type
GSE131907|P0018	GSE131907	2092	1002	773	229	1030	60	1090	True	author_Cell_type
GSE131907|P0019	GSE131907	1934	222	119	103	1525	187	1712	True	author_Cell_type
GSE131907|P0020	GSE131907	2852	434	329	105	2338	80	2418	True	author_Cell_type
GSE131907|P0025	GSE131907	1822	223	119	104	1520	79	1599	True	author_Cell_type
GSE131907|P0028	GSE131907	2615	984	819	165	1526	105	1631	True	author_Cell_type
GSE131907|P0030	GSE131907	2198	784	281	503	1270	144	1414	True	author_Cell_type
GSE131907|P0031	GSE131907	3895	182	79	103	3585	128	3713	True	author_Cell_type
GSE131907|P0034	GSE131907	2740	2374	1486	888	310	56	366	True	author_Cell_type
GSE131907|P1006	GSE131907	5090	1186	609	577	3163	741	3904	True	author_Cell_type
GSE131907|P1010	GSE131907	1897	367	147	220	1496	34	1530	True	author_Cell_type
GSE131907|P1011	GSE131907	2960	203	109	94	2572	185	2757	True	author_Cell_type
GSE131907|P1012	GSE131907	2670	257	125	132	2105	308	2413	True	author_Cell_type
GSE131907|P1013	GSE131907	4694	376	0	376	4193	125	4318	False	author_Cell_type
GSE131907|P1015	GSE131907	735	256	75	181	327	152	479	True	author_Cell_type
GSE131907|P1019	GSE131907	1644	217	169	48	1176	251	1427	True	author_Cell_type
GSE131907|P1028	GSE131907	4872	4640	4117	523	223	9	232	True	author_Cell_type
GSE131907|P1049	GSE131907	1240	114	33	81	788	338	1126	True	author_Cell_type
GSE131907|P1051	GSE131907	2428	1285	500	785	645	498	1143	True	author_Cell_type
GSE131907|P1058	GSE131907	2006	460	106	354	1411	135	1546	True	author_Cell_type
GSE131907|P1064	GSE131907	2777	0	0	0	2689	88	2777	False	author_Cell_type
GSE131907|P3002	GSE131907	1158	181	45	136	534	443	977	True	author_Cell_type
GSE131907|P3003	GSE131907	2858	2713	2245	468	80	65	145	True	author_Cell_type
GSE131907|P3004	GSE131907	1360	1229	614	615	111	20	131	True	author_Cell_type
GSE131907|P3006	GSE131907	466	83	40	43	265	118	383	True	author_Cell_type
GSE131907|P3007	GSE131907	5274	5108	3725	1383	127	39	166	True	author_Cell_type
GSE131907|P3012	GSE131907	2833	2811	1968	843	13	9	22	True	author_Cell_type
GSE131907|P3013	GSE131907	3132	1352	667	685	1723	57	1780	True	author_Cell_type
GSE131907|P3016	GSE131907	464	79	0	79	361	24	385	False	author_Cell_type
GSE131907|P3017	GSE131907	1522	1112	922	190	382	28	410	True	author_Cell_type
GSE131907|P3019	GSE131907	1125	755	264	491	314	56	370	True	author_Cell_type
GSE148071|P1	GSE148071	3576	3436	1401	2035	65	75	140	True	A3_marker_argmax
GSE148071|P10	GSE148071	2429	2371	856	1515	34	24	58	True	A3_marker_argmax
GSE148071|P11	GSE148071	116	77	1	76	31	8	39	False	A3_marker_argmax
GSE148071|P12	GSE148071	84	29	20	9	32	23	55	False	A3_marker_argmax
GSE148071|P13	GSE148071	135	58	44	14	70	7	77	True	A3_marker_argmax
GSE148071|P14	GSE148071	888	861	107	754	19	8	27	True	A3_marker_argmax
GSE148071|P15	GSE148071	1952	1938	986	952	7	7	14	False	A3_marker_argmax
GSE148071|P16	GSE148071	864	863	611	252	1	0	1	False	A3_marker_argmax
GSE148071|P17	GSE148071	5674	5671	1288	4383	0	3	3	False	A3_marker_argmax
GSE148071|P18	GSE148071	1512	1427	688	739	50	35	85	True	A3_marker_argmax
GSE148071|P19	GSE148071	104	57	34	23	22	25	47	True	A3_marker_argmax
GSE148071|P2	GSE148071	5	5	1	4	0	0	0	False	A3_marker_argmax
GSE148071|P20	GSE148071	253	253	206	47	0	0	0	False	A3_marker_argmax
GSE148071|P21	GSE148071	1382	1366	662	704	11	5	16	False	A3_marker_argmax
GSE148071|P22	GSE148071	335	142	112	30	133	60	193	True	A3_marker_argmax
GSE148071|P23	GSE148071	1550	1525	337	1188	12	13	25	True	A3_marker_argmax
GSE148071|P24	GSE148071	136	82	34	48	47	7	54	True	A3_marker_argmax
GSE148071|P25	GSE148071	3281	3279	1415	1864	1	1	2	False	A3_marker_argmax
GSE148071|P26	GSE148071	124	59	37	22	49	16	65	True	A3_marker_argmax
GSE148071|P27	GSE148071	112	33	17	16	54	25	79	True	A3_marker_argmax
GSE148071|P28	GSE148071	438	376	235	141	49	13	62	True	A3_marker_argmax
GSE148071|P29	GSE148071	491	489	124	365	0	2	2	False	A3_marker_argmax
GSE148071|P3	GSE148071	7034	7010	2309	4701	9	15	24	True	A3_marker_argmax
GSE148071|P30	GSE148071	526	523	139	384	3	0	3	False	A3_marker_argmax
GSE148071|P31	GSE148071	302	299	166	133	2	1	3	False	A3_marker_argmax
GSE148071|P32	GSE148071	266	192	163	29	68	6	74	True	A3_marker_argmax
GSE148071|P33	GSE148071	2	2	1	1	0	0	0	False	A3_marker_argmax
GSE148071|P34	GSE148071	394	379	127	252	10	5	15	False	A3_marker_argmax
GSE148071|P35	GSE148071	105	90	38	52	15	0	15	False	A3_marker_argmax
GSE148071|P36	GSE148071	169	166	47	119	2	1	3	False	A3_marker_argmax
GSE148071|P37	GSE148071	51	13	0	13	19	19	38	False	A3_marker_argmax
GSE148071|P38	GSE148071	219	73	27	46	81	65	146	True	A3_marker_argmax
GSE148071|P39	GSE148071	218	9	5	4	185	24	209	False	A3_marker_argmax
GSE148071|P4	GSE148071	512	231	19	212	208	73	281	True	A3_marker_argmax
GSE148071|P40	GSE148071	385	55	31	24	224	106	330	True	A3_marker_argmax
GSE148071|P41	GSE148071	5038	5035	2591	2444	3	0	3	False	A3_marker_argmax
GSE148071|P42	GSE148071	535	129	2	127	351	55	406	False	A3_marker_argmax
GSE148071|P5	GSE148071	162	117	40	77	34	11	45	True	A3_marker_argmax
