dataset	unit_id	n_mal_in_object	n_tnk_in_object	mal_CLDN4_mean	mal_CLDN4_pct	mal_IFN	mal_MHC	locked_frac_tnk	locked_mal_cldn4_pct	locked_n_mal	locked_n_tnk	q_seurat	q_locked
GSE131907	BRONCHO_11	120	120	1.42495357741539	81.6666666666667	0.0387842373650947	0.131331833045436	0.254562617998741	80.7881773399015	203	809	Q2	Q2
GSE131907	BRONCHO_58	120	120	0.924729523916571	72.5	0.114069014210272	0.534848440668501	0.549591183789549	72.1739130434783	460	1546	Q2	Q2
GSE131907	EBUS_06	120	120	1.3078201846477	71.6666666666667	-0.137570685123342	-0.323195143539737	0.26530612244898	71.1635750421585	1186	611	Q2	Q2
GSE131907	EBUS_10	120	120	1.25180437228504	85.8333333333333	0.036151759536673	0.232765174484294	0.297433903576983	84.4686648501362	367	1530	Q3	Q3
GSE131907	EBUS_12	120	120	1.2939154274209	87.5	0.152368239944872	0.462437170745447	0.10529695024077	88.3268482490272	257	328	Q3	Q3
GSE131907	EBUS_13	120	120	0	0	-0.0753503035170261	-0.0996392164392866	0.323943661971831	0.265957446808511	376	1150	Q1	Q1
GSE131907	EBUS_15	120	120	0.824073455198146	46.6666666666667	0.0457789103609405	0.179517953007736	0.433484162895928	47.265625	256	479	Q1	Q1
GSE131907	EBUS_19	120	120	1.71038056770488	92.5	0.0340348847523338	0.256422936448261	0.675662878787879	94.0092165898618	217	1427	Q4	Q4
GSE131907	EBUS_28	120	120	2.30340430758257	95	-0.0018041717101374	0.162863838034295	0.0447703589347742	96.3362068965517	4640	232	Q4	Q4
GSE131907	EBUS_49	114	120	0.739481158228922	49.1228070175439	-0.102634650299238	-0.229471206137437	0.634366197183099	49.1228070175439	114	1126	Q1	Q1
GSE131907	EBUS_51	120	120	1.25196207192376	90	0.049351684608203	0.215695006195419	0.349007633587786	85.3696498054475	1285	1143	Q3	Q3
GSE131907	NS_02	120	120	0.773982435896224	54.1666666666667	-0.00214913519443452	0.00957593239848084	0.422395157803718	58.5635359116022	181	977	Q1	Q1
GSE131907	NS_03	120	120	1.90382612612471	93.3333333333333	-0.0357890386628428	0.0457358949526892	0.048494983277592	93.1441208993734	2713	145	Q4	Q4
GSE131907	NS_04	120	120	1.37134504218653	93.3333333333333	-0.0189058475912468	-0.00813595084517394	0.0688025210084034	89.3409275834011	1229	131	Q4	Q4
GSE131907	NS_06	83	120	1.16113997119343	60.2409638554217	0.0573204098098714	0.481987855214151	0.357943925233645	60.2409638554217	83	383	Q1	Q1
GSE131907	NS_07	120	120	1.71253170664803	86.6666666666667	-0.0793369775465789	-0.175915393495756	0.0289703315881326	90.407204385278	5108	166	Q3	Q4
GSE131907	NS_12	120	22	1.64910823311206	88.3333333333333	-0.019026149174045	0.302290962405342	0.00691389063482087	86.3393810032017	2811	22	Q3	Q3
GSE131907	NS_13	120	120	1.18456522158634	69.1666666666667	0.0324069096384876	0.382077591126656	0.367389060887513	72.4112426035503	1352	1780	Q2	Q2
GSE131907	NS_16	79	120	0.0749837438839633	11.3924050632911	0.0744667514380857	0.219410247381594	0.292331055429005	11.3924050632911	79	385	Q1	Q1
GSE131907	NS_17	120	120	2.16187902254763	90	-0.0254793474509739	0.246336214418194	0.170195101701951	88.2194244604317	1112	410	Q3	Q3
GSE131907	NS_19	120	120	1.08916175083031	70	0.0604154872360054	0.249495237860466	0.112121212121212	67.1523178807947	755	370	Q2	Q2
GSE205335	P0031	120	120	0.995450734816257	61.6666666666667	0.0119916991343683	0.230065913586351	0.594897324206596	59.2476489028213	319	3824	Q3	Q2
GSE205335	P1006	120	120	1.34586457220225	76.6666666666667	-0.128389264826901	-0.315503096258609	0.492282430213465	74.1809672386895	1282	2998	Q3	Q3
GSE205335	P1015	120	120	0.647754621761018	34.1666666666667	0.0356113992355436	0.0457933878579176	0.39581589958159	41.5807560137457	291	473	Q1	Q1
GSE205335	P1016	120	120	1.39150652826578	79.1666666666667	-0.126185592135508	-0.00908060972634173	0.110196418255344	82.6461769115442	5336	763	Q3	Q4
GSE205335	P1017	120	120	1.36574248333805	57.5	0.0448685094468495	0.0639141725792007	0.378231726779445	64.3183897529735	2186	2370	Q2	Q3
GSE205335	P1018	120	120	1.5192310977834	70.8333333333333	0.118553579458741	0.344496738374649	0.506263670709883	67.0338983050847	1180	2546	Q3	Q3
GSE205335	P1025	120	120	1.50927664043808	88.3333333333333	-0.0850447775339871	-0.228535217726323	0.104746317512275	92.8571428571429	980	128	Q4	Q4
GSE205335	P1027	120	120	2.07423138182228	80	0.119269769845843	0.473894636683081	0.569347826086957	78.0728376327769	1318	2619	Q4	Q3
GSE205335	P1030	120	120	1.57523362115397	61.6666666666667	-0.00177385188853721	0.0481065155882415	0.16260162601626	61.6915422885572	603	140	Q3	Q3
GSE205335	P1037	120	120	0.930768881128844	85	-0.0454570336310215	0.0620590080765188	0.122616897451335	86.0528466357941	3671	611	Q4	Q4
GSE205335	P1056	120	120	0.742324437868672	45	-0.0578245897265243	-0.102860489038336	0.265334117185969	49.7066219614417	2386	1354	Q1	Q2
GSE205335	P1062	120	120	1.07141575327951	48.3333333333333	0.0820581060827406	0.532774926896494	0.63264638534511	45.2127659574468	188	1934	Q2	Q1
GSE205335	P1063	120	120	0.749889855424199	35.8333333333333	0.0531553763977064	0.364100399665153	0.731673260414243	35.1145038167939	131	3144	Q1	Q1
GSE205335	P1072	120	120	0.739717764301521	47.5	-0.120781562638691	-0.287665386946246	0.460329929300864	58.8669950738916	406	586	Q1	Q2
GSE205335	P1076	120	120	0.900067282183638	60	0.064303768962181	0.05257064451807	0.299498207885305	59.3639575971731	849	2089	Q2	Q2
GSE205335	P1079	120	120	0.974898957974693	50	0.0923451002884552	0.429545896479879	0.392325763508222	51.3812154696133	543	501	Q2	Q2
GSE205335	P1084	120	120	2.24802367152489	85	0.0619127097299653	0.510677106085608	0.664968873797397	86.734693877551	196	2350	Q4	Q4
GSE205335	P1089	120	120	2.03641351110937	88.3333333333333	-0.0913518195065721	-0.234635114512609	0.169049098819142	87.7704609595484	1063	272	Q4	Q4
GSE205335	P1090	120	120	0.807270013984818	41.6666666666667	0.0881611524292218	0.543588461117237	0.253073770491803	38.1625441696113	566	247	Q1	Q1
GSE205335	P1115	120	120	1.63289833045931	89.1666666666667	-0.139087180116008	-0.319487158849192	0.0616329315442347	88.8829928362961	3769	271	Q4	Q4
GSE205335	P1119	120	120	0.619554925678997	36.6666666666667	0.0812299031030547	0.259071666424912	0.260268231349539	36.088379705401	1222	621	Q1	Q1
GSE205335	P4001	27	120	0.733169545965289	48.1481481481481	0.0672130703699861	0.514693073928248	0.780329289428076	48.1481481481481	27	1801	Q2	Q1
