contrast	n	n_Q1	n_Q4	mean_Q1	mean_Q4	delta_Q4_minus_Q1	mannwhitney_p	note
CLDN4 mean_log1p Q4 vs Q1 · IFN	10	3	3	0.11710600058237712	0.21646695832411447	0.09936095774173735	0.1	
CLDN4 %pos Q4 vs Q1 · IFN	10	3	3	0.12256631006797154	0.21646695832411447	0.09390064825614293	0.1	
CLDN4 mean_log1p Q4 vs Q1 · MHC-I/APM	10	3	3	0.29215962688128155	0.5971825917561849	0.3050229648749034	0.1	
CLDN4 %pos Q4 vs Q1 · MHC-I/APM	10	3	3	0.3045144279797872	0.5971825917561849	0.29266816377639776	0.1	
CLDN4 mean_log1p Q4 vs Q1 · IFN/MHC	10	3	3	0.12026467174291611	0.22544629871845245	0.10518162697553635	0.1	
CLDN4 %pos Q4 vs Q1 · IFN/MHC	10	3	3	0.1260465532541275	0.22544629871845245	0.09939974546432495	0.1	
CLDN4 mean_log1p Q4 vs Q1 · T/NK fraction	10	3	3	0.25026219191859045	0.43913266673990764	0.1888704748213172	0.4	
CLDN4 %pos Q4 vs Q1 · T/NK fraction	10	3	3	0.3444618790529715	0.43913266673990764	0.09467078768693615	0.7	
