file	role	size_bytes	size_mb	public_url
E-MTAB-13526.sdrf.txt	metadata	1459882	1.460	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/E-MTAB-13526.sdrf.txt
E-MTAB-13526.idf.txt	metadata	6185	0.006	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/E-MTAB-13526.idf.txt
P4_T2-features.tsv.gz	shared_features	304728	0.305	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P4_T2-features.tsv.gz
P4_T2-matrix.mtx.gz	cd235a_tumor_matrix	37760678	37.761	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P4_T2-matrix.mtx.gz
P4_T3-matrix.mtx.gz	cd235a_tumor_matrix	47286405	47.286	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P4_T3-matrix.mtx.gz
P8_T2-matrix.mtx.gz	cd235a_tumor_matrix	248247778	248.248	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P8_T2-matrix.mtx.gz
P15_T2-matrix.mtx.gz	cd235a_tumor_matrix	103948105	103.948	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P15_T2-matrix.mtx.gz
P16_T2-matrix.mtx.gz	cd235a_tumor_matrix	70107293	70.107	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P16_T2-matrix.mtx.gz
P17_T2-matrix.mtx.gz	cd235a_tumor_matrix	249911715	249.912	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P17_T2-matrix.mtx.gz
P17_T3-matrix.mtx.gz	cd235a_tumor_matrix	315240030	315.240	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P17_T3-matrix.mtx.gz
P18_T2-matrix.mtx.gz	cd235a_tumor_matrix	200911926	200.912	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P18_T2-matrix.mtx.gz
P19_T2-matrix.mtx.gz	cd235a_tumor_matrix	158775906	158.776	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P19_T2-matrix.mtx.gz
P20_T2-matrix.mtx.gz	cd235a_tumor_matrix	170138859	170.139	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P20_T2-matrix.mtx.gz
P21_T1-matrix.mtx.gz	cd235a_tumor_matrix	65766151	65.766	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P21_T1-matrix.mtx.gz
P21_T2-matrix.mtx.gz	cd235a_tumor_matrix	11438961	11.439	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P21_T2-matrix.mtx.gz
P22_T1-matrix.mtx.gz	cd235a_tumor_matrix	41101825	41.102	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P22_T1-matrix.mtx.gz
P23_T1-matrix.mtx.gz	cd235a_tumor_matrix	305629639	305.630	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P23_T1-matrix.mtx.gz
P24_T1-matrix.mtx.gz	cd235a_tumor_matrix	349635696	349.636	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/526/E-MTAB-13526/Files/P24_T1-matrix.mtx.gz
