file	size_bytes	size_mb	role	decision
10X_Lung_Healthy_Background_Annotated_v2.h5ad	45505872062	45505.872	author_annotated_atlas	SKIP_H5AD_OVER_SIZE_CAP
10X_Lung_Tumour_Annotated_v2.h5ad	58739231180	58739.231	author_annotated_atlas	SKIP_H5AD_OVER_SIZE_CAP
D1_1-barcodes.tsv.gz	20921369	20.921	cellranger_whitelist	SKIP_WHITELIST_BARCODES
D1_1-features.tsv.gz	304728	0.305	shared_features_copy	SKIP_DUPLICATE_FEATURES
D1_1-matrix.mtx.gz	16388135	16.388	donor_matrix	SKIP_DONOR
D1_2-barcodes.tsv.gz	20921369	20.921	cellranger_whitelist	SKIP_WHITELIST_BARCODES
D1_2-features.tsv.gz	304728	0.305	shared_features_copy	SKIP_DUPLICATE_FEATURES
D1_2-matrix.mtx.gz	14749040	14.749	donor_matrix	SKIP_DONOR
D2_1-barcodes.tsv.gz	20921369	20.921	cellranger_whitelist	SKIP_WHITELIST_BARCODES
D2_1-features.tsv.gz	304728	0.305	shared_features_copy	SKIP_DUPLICATE_FEATURES
D2_1-matrix.mtx.gz	39441547	39.442	donor_matrix	SKIP_DONOR
D2_2-barcodes.tsv.gz	20921369	20.921	cellranger_whitelist	SKIP_WHITELIST_BARCODES
D2_2-features.tsv.gz	304728	0.305	shared_features_copy	SKIP_DUPLICATE_FEATURES
D2_2-matrix.mtx.gz	18975888	18.976	donor_matrix	SKIP_DONOR
D2_3-barcodes.tsv.gz	20921369	20.921	cellranger_whitelist	SKIP_WHITELIST_BARCODES
D2_3-features.tsv.gz	304728	0.305	shared_features_copy	SKIP_DUPLICATE_FEATURES
D2_3-matrix.mtx.gz	16601885	16.602	donor_matrix	SKIP_DONOR
D2_4-barcodes.tsv.gz	20921369	20.921	cellranger_whitelist	SKIP_WHITELIST_BARCODES
D2_4-features.tsv.gz	304728	0.305	shared_features_copy	SKIP_DUPLICATE_FEATURES
D2_4-matrix.mtx.gz	13639169	13.639	donor_matrix	SKIP_DONOR
E-MTAB-13526.idf.txt	6185	0.006	metadata	USE
E-MTAB-13526.sdrf.txt	1459882	1.460	metadata	USE
P10_B1-barcodes.tsv.gz	20921369	20.921	cellranger_whitelist	SKIP_WHITELIST_BARCODES
P10_B1-features.tsv.gz	304728	0.305	shared_features_copy	SKIP_DUPLICATE_FEATURES
P10_B1-matrix.mtx.gz	29232287	29.232	background_matrix	SKIP_BACKGROUND
P10_T1-barcodes.tsv.gz	20921369	20.921	cellranger_whitelist	SKIP_WHITELIST_BARCODES
P10_T1-features.tsv.gz	304728	0.305	shared_features_copy	SKIP_DUPLICATE_FEATURES
P10_T1-matrix.mtx.gz	41804678	41.805	other_tumor_or_facs_matrix	SKIP_NOT_CD235A_TUMOR
P11_B1-barcodes.tsv.gz	20921369	20.921	cellranger_whitelist	SKIP_WHITELIST_BARCODES
P11_B1-features.tsv.gz	304728	0.305	shared_features_copy	SKIP_DUPLICATE_FEATURES
P11_B1-matrix.mtx.gz	77645042	77.645	background_matrix	SKIP_BACKGROUND
