set	n_official	n_present	present	missing
KRT_EPCAM_primary	5	5	EPCAM,KRT7,KRT8,KRT18,KRT19	
KRT_EPCAM_CDH1	6	6	EPCAM,KRT7,KRT8,KRT18,KRT19,CDH1	
all_KRT_EPCAM	56	56	EPCAM,KRT28,KRT20,KRT25,KRT75,KRT74,KRT77,KRT76,KRT71,KRT72,KRT3,KRT2,KRT1,KRT4,KRT84,KRT39,KRT38,KRT31,KRT32,KRT35,KRT37,KRT36,KRT14,KRT17,KRT16,KRT15,KRT13,KRT12,KRT10,KRT33B,KRT19,KRT79,KRT78,KRT33A,KRT73,KRT18,KRT5,KRT6B,KRT6C,KRT9,KRT8,KRT7,KRT40,KRT23,KRT26,KRT27,KRT24,KRT6A,KRT80,KRT81,KRT82,KRT83,KRT85,KRT86,KRT222,KRT34	
GEP18	18	18	CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	
CYT	2	2	GZMA,PRF1	
