model	role	feature	estimator	rho	p	n	df	k_covariates	ci_low	ci_high	call	fdr_primary4
unadjusted	baseline	CD8	unadjusted_spearman	-0.09598934893947342	0.029399829332099343	515	513	0	-0.18089207937242213	-0.009666513312054944	WEAK_NEGATIVE	0.039199772442799125
unadjusted	baseline	CYT	unadjusted_spearman	-0.11219255404488757	0.01083684753160543	515	513	0	-0.1966889036981707	-0.026041991779500433	WEAK_NEGATIVE	0.02167369506321086
unadjusted	baseline	GEP18_zmean	unadjusted_spearman	-0.02190479717184131	0.6199292897070214	515	513	0	-0.10810320413574911	0.06462051367034749	WEAK_NEGATIVE	0.6199292897070214
unadjusted	baseline	xCell_T_cell_CD8	unadjusted_spearman	-0.11658258822082226	0.008090077096632191	515	513	0	-0.20096129521387607	-0.0304866756837443	WEAK_NEGATIVE	0.02167369506321086
ABS_only	prior_A1_replication	CD8	onesided_rank	-0.09193968192485515	0.039675947766945184	502	499	1	-0.17810811796980572	-0.0043719421330546075	WEAK_NEGATIVE	0.05290126368926024
ABS_only	prior_A1_replication	CD8	twosided_rank	-0.10359934147872987	0.02037776272980996	502	499	1	-0.18948262366639393	-0.016142895842251096	WEAK_NEGATIVE	0.02717035030641328
ABS_only	prior_A1_replication	CYT	onesided_rank	-0.10260608668122646	0.02162084504996917	502	499	1	-0.18851455769493	-0.015139214734141364	WEAK_NEGATIVE	0.04324169009993834
ABS_only	prior_A1_replication	CYT	twosided_rank	-0.11603590888743637	0.009335045919631559	502	499	1	-0.201589684204341	-0.028724948286076253	WEAK_NEGATIVE	0.018670091839263117
ABS_only	prior_A1_replication	GEP18_zmean	onesided_rank	-0.010377358610919303	0.8167688862413469	502	499	1	-0.0978913190945351	0.07729586230579448	WEAK_NEGATIVE	0.8167688862413469
ABS_only	prior_A1_replication	GEP18_zmean	twosided_rank	-0.012829994651363988	0.774519231337519	502	499	1	-0.10032019246541167	0.07485709286822595	WEAK_NEGATIVE	0.774519231337519
ABS_only	prior_A1_replication	xCell_T_cell_CD8	onesided_rank	-0.11943825756683281	0.007444030970943165	502	499	1	-0.2048973394384631	-0.03217192481427805	WEAK_NEGATIVE	0.02977612388377266
ABS_only	prior_A1_replication	xCell_T_cell_CD8	twosided_rank	-0.1258303988516494	0.0047926576796191184	502	499	1	-0.21110630216186252	-0.03865352888958275	WEAK_NEGATIVE	0.018670091839263117
ABS_KRT	primary_double_residual	CD8	onesided_rank	-0.05875830633666079	0.18961438257880522	502	498	2	-0.1456981767811066	0.02908212844141615	WEAK_NEGATIVE	0.2553337626965852
ABS_KRT	primary_double_residual	CD8	twosided_rank	-0.06665729082696238	0.13663817471966339	502	498	2	-0.1534509245189715	0.02115696386315503	WEAK_NEGATIVE	0.2147757782676718
ABS_KRT	primary_double_residual	CYT	onesided_rank	-0.07231825464913803	0.10627749410048676	502	498	2	-0.15900051978865595	0.015470440811459575	WEAK_NEGATIVE	0.2553337626965852
ABS_KRT	primary_double_residual	CYT	twosided_rank	-0.08228233311559863	0.06600315535250456	502	498	2	-0.16875528620702315	0.005447560784203855	WEAK_NEGATIVE	0.2147757782676718
ABS_KRT	primary_double_residual	GEP18_zmean	onesided_rank	0.02411470094628874	0.5906117524962836	502	498	2	-0.06371061121504287	0.11156936041860964	NOT_INVERSE	0.5906117524962836
ABS_KRT	primary_double_residual	GEP18_zmean	twosided_rank	0.030003448338815724	0.5032601014839801	502	498	2	-0.057839315703727905	0.11738519319112586	NOT_INVERSE	0.5032601014839801
ABS_KRT	primary_double_residual	xCell_T_cell_CD8	onesided_rank	-0.058509357240693234	0.19150032202243888	502	498	2	-0.145453662880438	0.02933172326131048	WEAK_NEGATIVE	0.2553337626965852
ABS_KRT	primary_double_residual	xCell_T_cell_CD8	twosided_rank	-0.06276969630091342	0.16108183370075385	502	498	2	-0.14963663727452425	0.025058822912801718	WEAK_NEGATIVE	0.2147757782676718
IMMUNE	estimate_immunescore_residual	CD8	onesided_rank	-0.12231445580492055	0.00549067262794871	515	512	1	-0.20661583259348648	-0.03621042478620884	WEAK_NEGATIVE	0.007320896837264946
IMMUNE	estimate_immunescore_residual	CD8	twosided_rank	-0.17674850464912914	5.5973068449880876e-05	515	512	1	-0.25927223648409026	-0.09166261446745003	WEAK_NEGATIVE	8.448848941135496e-05
IMMUNE	estimate_immunescore_residual	CYT	onesided_rank	-0.13953802476605798	0.0015172060140316345	515	512	1	-0.2233299137414906	-0.05369898953699642	WEAK_NEGATIVE	0.0031923939534503646
IMMUNE	estimate_immunescore_residual	CYT	twosided_rank	-0.21082658499509313	1.418129579643549e-06	515	512	1	-0.291989599057999	-0.12664878332303958	WEAK_NEGATIVE	5.672518318574196e-06
IMMUNE	estimate_immunescore_residual	GEP18_zmean	onesided_rank	-0.053936468739094655	0.22218602331147067	515	512	1	-0.13977154866859326	0.03270317266490293	WEAK_NEGATIVE	0.22218602331147067
IMMUNE	estimate_immunescore_residual	GEP18_zmean	twosided_rank	-0.11359267363842505	0.00995463413249261	515	512	1	-0.19813324072226524	-0.027374521758845752	WEAK_NEGATIVE	0.00995463413249261
IMMUNE	estimate_immunescore_residual	xCell_T_cell_CD8	onesided_rank	-0.13889441974473518	0.0015961969767251823	515	512	1	-0.2227062320722087	-0.053044533742150374	WEAK_NEGATIVE	0.0031923939534503646
IMMUNE	estimate_immunescore_residual	xCell_T_cell_CD8	twosided_rank	-0.1754848385437616	6.336636705851622e-05	515	512	1	-0.25805537496633507	-0.09036930164972203	WEAK_NEGATIVE	8.448848941135496e-05
