a	b	spearman_rho	p	n
TACSTD2	ABSOLUTE_purity	0.007390157000782001	0.8688112903914171	502
TACSTD2	KRT_EPCAM	0.3637834271324188	1.470067026196214e-17	515
TACSTD2	KRT_EPCAM_CDH1	0.40065922956755834	2.800329903213529e-21	515
TACSTD2	all_KRT_EPCAM	0.4049747466061919	9.557598418940313e-22	515
TACSTD2	ESTIMATE_TumorPurity	-0.005611713986772454	0.8989074659838221	515
TACSTD2	ESTIMATE_ImmuneScore	0.036355759060409235	0.41033121855225385	515
ABSOLUTE_purity	KRT_EPCAM	0.02285029612027886	0.6095195156284943	502
ABSOLUTE_purity	ESTIMATE_TumorPurity	0.658904445723204	8.065896203307869e-64	502
ABSOLUTE_purity	ESTIMATE_ImmuneScore	-0.6163121438986884	7.706521485873034e-54	502
KRT_EPCAM	ESTIMATE_TumorPurity	0.22114947689901718	3.991012496295103e-07	515
KRT_EPCAM	ESTIMATE_ImmuneScore	-0.20808036983167127	1.908770400768419e-06	515
ESTIMATE_TumorPurity	ESTIMATE_ImmuneScore	-0.9259323718013482	4.467551277281246e-219	515
CD8	KRT_EPCAM	-0.12322595714946055	0.005105092579407415	515
CYT	KRT_EPCAM	-0.11873099293814687	0.006987587931854041	515
GEP18_zmean	KRT_EPCAM	-0.11845947514435447	0.007119063628605273	515
xCell_T_cell_CD8	KRT_EPCAM	-0.1956219891697151	7.75425502151067e-06	515
CD8	ABSOLUTE_purity	-0.46089570491384724	9.088363697213822e-28	502
CYT	ABSOLUTE_purity	-0.4669920793110635	1.479918420640693e-28	502
GEP18_zmean	ABSOLUTE_purity	-0.5880346045611753	5.145032290388558e-48	502
xCell_T_cell_CD8	ABSOLUTE_purity	-0.3146723877452428	5.318354826509793e-13	502
CD8	ESTIMATE_ImmuneScore	0.7218731443601006	4.677818613862694e-84	515
CYT	ESTIMATE_ImmuneScore	0.7496260387464849	5.305693913509012e-94	515
GEP18_zmean	ESTIMATE_ImmuneScore	0.8800810540363171	4.601657273145566e-168	515
xCell_T_cell_CD8	ESTIMATE_ImmuneScore	0.6111826711190356	4.586505935982238e-54	515
