bucket	n
IRRELEVANT_or_weak	1318
LOOKALIKE_not_C3	225
CLDN4_loss_no_PDL1	222
MECH_top1_payload_pdl1	118
REVIEW_other	111
MECH_bridge_not_C3	109
ASSOC_B_trop2_and_pdl1_co_mention	52
TRIAL_B_trop2adc_plus_ICI_no_induction_claim	51
ASSOC_A_cldn4_and_pdl1_co_mention	7
PRIORITY_B_trop2adc_pdl1_induction	7
WATCH_B_trop2adc_pdl1_co_mention	7
REVIEW_trop2_adc_pdl1	6
PRIORITY_A_cldn4_loss_pdl1	1
REVIEW_cldn4_pdl1	1
