cohort	unit_id	unit	malig_def	n_cells	n_malignant	n_tnk	frac_tnk	cldn4_mean	cldn4_pct	pass_floor	floor_rule	rho_source	q_pct	q_mean
GSE131907	BRONCHO_11	sample	author_malig	3178	203	809	0.2545626179987413	1.8059599708830327	80.78817733990148	True	author_malig>0 locked PR#320; CellChat ≥20/≥20	PR #320; not re-audited	Q2	Q3
GSE131907	BRONCHO_58	sample	author_malig	2813	460	1546	0.5495911837895485	1.426353336223562	72.17391304347827	True	author_malig>0 locked PR#320; CellChat ≥20/≥20	PR #320; not re-audited	Q2	Q2
GSE131907	EBUS_06	sample	author_malig	2303	1186	611	0.2653061224489796	1.3552293035869711	71.16357504215851	True	author_malig>0 locked PR#320; CellChat ≥20/≥20	PR #320; not re-audited	Q2	Q2
GSE131907	EBUS_10	sample	author_malig	5144	367	1530	0.2974339035769829	1.9049734855942484	84.46866485013625	True	author_malig>0 locked PR#320; CellChat ≥20/≥20	PR #320; not re-audited	Q3	Q3
GSE131907	EBUS_12	sample	author_malig	3115	257	328	0.1052969502407704	2.3549040610356684	88.32684824902724	True	author_malig>0 locked PR#320; CellChat ≥20/≥20	PR #320; not re-audited	Q3	Q4
GSE131907	EBUS_13	sample	author_malig	3550	376	1150	0.323943661971831	0.0018434765440424	0.2659574468085106	True	author_malig>0 locked PR#320; CellChat ≥20/≥20	PR #320; not re-audited	Q1	Q1
GSE131907	EBUS_15	sample	author_malig	1105	256	479	0.4334841628959276	1.1294928392821784	47.265625	True	author_malig>0 locked PR#320; CellChat ≥20/≥20	PR #320; not re-audited	Q1	Q2
GSE131907	EBUS_19	sample	author_malig	2112	217	1427	0.6756628787878788	2.4779035334230066	94.00921658986177	True	author_malig>0 locked PR#320; CellChat ≥20/≥20	PR #320; not re-audited	Q4	Q4
GSE131907	EBUS_28	sample	author_malig	5182	4640	232	0.0447703589347742	2.197978326433922	96.33620689655172	True	author_malig>0 locked PR#320; CellChat ≥20/≥20	PR #320; not re-audited	Q4	Q4
GSE131907	EBUS_49	sample	author_malig	1775	114	1126	0.6343661971830986	0.9512107328950752	49.122807017543856	True	author_malig>0 locked PR#320; CellChat ≥20/≥20	PR #320; not re-audited	Q1	Q1
