interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_cohorts	median_prob_q1	median_prob_q4	delta_median	mwu_u	p	r_rb
MDK_NCL	outgoing	MK	Secreted Signaling	MDK	NCL	MDK	NCL	other	19	17	36	3	0.5165489481853094	0.7236183135265581	0.20706936534124876	268.0	0.0007825931277754698	0.6594427244582044
APP_CD74	outgoing	APP	Cell-Cell Contact	APP	CD74	APP	CD74	other	18	17	35	3	0.4823220267927005	0.6179039345561318	0.13558190776343132	219.0	0.030631888598037886	0.43137254901960786
MDK_ITGA4_ITGB1	outgoing	MK	Secreted Signaling	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	16	9	25	3	0.21149943980245947	0.4117872002195317	0.20028776041707222	110.0	0.03375222295595573	0.5277777777777777
ICAM1_ITGAL	outgoing	ICAM	Cell-Cell Contact	ICAM1	ITGAL	ICAM1	ITGAL	other	14	4	18	3	0.03972961901953881	0.18179463367272475	0.14206501465318594	46.0	0.06143790849673203	0.6428571428571428
JAM1_ITGAL_ITGB2	outgoing	JAM	Cell-Cell Contact	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	14	6	20	3	0.1354964746916144	0.3121879944352173	0.17669151974360287	65.0	0.06217750257997936	0.5476190476190477
SPP1_CD44	outgoing	SPP1	Secreted Signaling	SPP1	CD44	SPP1	CD44	other	12	6	18	3	0.5078588440127008	0.056396767884671385	-0.45146207612802935	16.0	0.06679594914889034	-0.5555555555555556
CLEC2B_KLRB1	outgoing	CLEC	Cell-Cell Contact	CLEC2B	KLRB1	CLEC2B	KLRB1	other	15	8	23	3	0.039199165581539755	0.07577825962894544	0.03657909404740568	88.0	0.07550263708562269	0.46666666666666656
ICAM1_ITGAL_ITGB2	outgoing	ICAM	Cell-Cell Contact	ICAM1	ITGAL_ITGB2	ICAM1	ITGAL|ITGB2	other	13	4	17	3	0.09746046564555719	0.2397466654711502	0.142286199825593	42.0	0.07899159663865546	0.6153846153846154
ICAM1_SPN	outgoing	ICAM	Cell-Cell Contact	ICAM1	SPN	ICAM1	SPN	other	14	9	23	3	0.07937474369915418	0.1414173637149591	0.06204262001580493	91.0	0.08321354796087602	0.4444444444444444
HLA-E_CD94:NKG2C	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD94:NKG2C	HLA-E	KLRC2|KLRD1	inhibitory	3	3	6	2	0.5207527590915892	0.13429266891204544	-0.3864600901795438	0.0	0.1	-1.0
HLA-E_KLRC2	outgoing	MHC-I	Cell-Cell Contact	HLA-E	KLRC2	HLA-E	KLRC2	inhibitory	3	3	6	2	0.3427966847962325	0.035524104704409476	-0.307272580091823	0.0	0.1	-1.0
LGALS9_CD45	incoming	GALECTIN	Secreted Signaling	LGALS9	PTPRC	LGALS9	PTPRC	inhibitory	3	3	6	3	0.1126931760326229	0.00018766344186514283	-0.11250551259075775	0.0	0.1	-1.0
JAG1_NOTCH1	outgoing	NOTCH	Cell-Cell Contact	JAG1	NOTCH1	JAG1	NOTCH1	other	3	3	6	1	0.0012173188679381526	0.01649181550245371	0.015274496634515558	9.0	0.1	1.0
AREG_EGFR	incoming	EGF	Secreted Signaling	AREG	EGFR	AREG	EGFR	other	8	10	18	3	0.027106755248250763	0.10584357967669863	0.07873682442844787	59.0	0.10110151286621874	0.4750000000000001
MIF_CD74_CD44	outgoing	MIF	Secreted Signaling	MIF	CD74_CD44	MIF	CD44|CD74	other	19	16	35	3	0.8405624877142732	0.6505531035084196	-0.19000938420585367	105.0	0.12361670375898094	-0.3092105263157895
LAMA3_CD44	outgoing	LAMININ	ECM-Receptor	LAMA3	CD44	LAMA3	CD44	other	11	4	15	3	0.05911519263336672	0.2123373039591308	0.15322211132576408	34.0	0.13772893772893774	0.5454545454545454
