interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_cohorts	median_prob_q1	median_prob_q4	delta_median	mwu_u	p	r_rb	sig_p05
MDK_NCL	outgoing	MK	Secreted Signaling	MDK	NCL	MDK	NCL	other	19	17	36	3	0.5165489481853094	0.7236183135265581	0.20706936534124876	268.0	0.0007825931277754698	0.6594427244582044	True
APP_CD74	outgoing	APP	Cell-Cell Contact	APP	CD74	APP	CD74	other	18	17	35	3	0.4823220267927005	0.6179039345561318	0.13558190776343132	219.0	0.030631888598037886	0.43137254901960786	True
MDK_ITGA4_ITGB1	outgoing	MK	Secreted Signaling	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	16	9	25	3	0.21149943980245947	0.4117872002195317	0.20028776041707222	110.0	0.03375222295595573	0.5277777777777777	True
ICAM1_ITGAL	outgoing	ICAM	Cell-Cell Contact	ICAM1	ITGAL	ICAM1	ITGAL	other	14	4	18	3	0.03972961901953881	0.18179463367272475	0.14206501465318594	46.0	0.06143790849673203	0.6428571428571428	False
JAM1_ITGAL_ITGB2	outgoing	JAM	Cell-Cell Contact	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	14	6	20	3	0.1354964746916144	0.3121879944352173	0.17669151974360287	65.0	0.06217750257997936	0.5476190476190477	False
SPP1_CD44	outgoing	SPP1	Secreted Signaling	SPP1	CD44	SPP1	CD44	other	12	6	18	3	0.5078588440127008	0.056396767884671385	-0.45146207612802935	16.0	0.06679594914889034	-0.5555555555555556	False
CLEC2B_KLRB1	outgoing	CLEC	Cell-Cell Contact	CLEC2B	KLRB1	CLEC2B	KLRB1	other	15	8	23	3	0.039199165581539755	0.07577825962894544	0.03657909404740568	88.0	0.07550263708562269	0.46666666666666656	False
ICAM1_ITGAL_ITGB2	outgoing	ICAM	Cell-Cell Contact	ICAM1	ITGAL_ITGB2	ICAM1	ITGAL|ITGB2	other	13	4	17	3	0.09746046564555719	0.2397466654711502	0.142286199825593	42.0	0.07899159663865546	0.6153846153846154	False
ICAM1_SPN	outgoing	ICAM	Cell-Cell Contact	ICAM1	SPN	ICAM1	SPN	other	14	9	23	3	0.07937474369915418	0.1414173637149591	0.06204262001580493	91.0	0.08321354796087602	0.4444444444444444	False
HLA-E_CD94:NKG2C	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD94:NKG2C	HLA-E	KLRC2|KLRD1	inhibitory	3	3	6	2	0.5207527590915892	0.13429266891204544	-0.3864600901795438	0.0	0.1	-1.0	False
HLA-E_KLRC2	outgoing	MHC-I	Cell-Cell Contact	HLA-E	KLRC2	HLA-E	KLRC2	inhibitory	3	3	6	2	0.3427966847962325	0.035524104704409476	-0.307272580091823	0.0	0.1	-1.0	False
JAG1_NOTCH1	outgoing	NOTCH	Cell-Cell Contact	JAG1	NOTCH1	JAG1	NOTCH1	other	3	3	6	1	0.0012173188679381526	0.01649181550245371	0.015274496634515558	9.0	0.1	1.0	False
MIF_CD74_CD44	outgoing	MIF	Secreted Signaling	MIF	CD74_CD44	MIF	CD44|CD74	other	19	16	35	3	0.8405624877142732	0.6505531035084196	-0.19000938420585367	105.0	0.12361670375898094	-0.3092105263157895	False
LAMA3_CD44	outgoing	LAMININ	ECM-Receptor	LAMA3	CD44	LAMA3	CD44	other	11	4	15	3	0.05911519263336672	0.2123373039591308	0.15322211132576408	34.0	0.13772893772893774	0.5454545454545454	False
HLA-E_CD94:NKG2A	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD94:NKG2A	HLA-E	KLRC1|KLRD1	inhibitory	6	3	9	3	0.30862522196152936	0.037860091928925615	-0.2707651300326037	3.0	0.16666666666666666	-0.6666666666666667	False
BAG6_NCR3-PS	outgoing	BAG	Secreted Signaling	BAG6	NCR3	BAG6	NCR3	other	6	3	9	2	0.018624297473256723	0.04093881947831463	0.02231452200505791	15.0	0.16666666666666666	0.6666666666666667	False
HLA-E_KLRK1	outgoing	MHC-I	Cell-Cell Contact	HLA-E	KLRK1	HLA-E	KLRK1	inhibitory	6	4	10	1	0.40565600442463423	0.16790767785084718	-0.23774832657378706	5.0	0.17142857142857143	-0.5833333333333333	False
CDH1_ITGAE_ITGB7	outgoing	CDH1	Cell-Cell Contact	CDH1	ITGAE_ITGB7	CDH1	ITGAE|ITGB7	barrier|inhibitory	10	8	18	3	0.06479804231668944	0.1301407961992577	0.06534275388256826	56.0	0.17281411399058458	0.3999999999999999	False
CDH1_KLRG1	outgoing	CDH1	Cell-Cell Contact	CDH1	KLRG1	CDH1	KLRG1	barrier|inhibitory	9	6	15	3	0.025202731444602763	0.0820884559031082	0.05688572445850544	39.0	0.181018981018981	0.4444444444444444	False
COL4A4_CD44	outgoing	COLLAGEN	ECM-Receptor	COL4A4	CD44	COL4A4	CD44	other	3	3	6	3	0.18871390981659406	0.019410723872046898	-0.16930318594454716	1.0	0.2	-0.7777777777777778	False
LGALS9_P4HB	outgoing	GALECTIN	Secreted Signaling	LGALS9	P4HB	LGALS9	P4HB	inhibitory	10	9	19	3	0.031240156592191773	0.06439418565520445	0.03315402906301268	61.0	0.20566717961735548	0.3555555555555556	False
LAMB3_CD44	outgoing	LAMININ	ECM-Receptor	LAMB3	CD44	LAMB3	CD44	other	16	13	29	3	0.2211423871158739	0.4094468826523473	0.1883044955364734	131.0	0.24519408567470347	0.2596153846153846	False
MIF_CD74_CXCR4	outgoing	MIF	Secreted Signaling	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	18	16	34	3	0.8747765852903693	0.7049783467506865	-0.1697982385396828	112.0	0.2771016672693848	-0.2222222222222222	False
PTN_NCL	outgoing	PTN	Secreted Signaling	PTN	NCL	PTN	NCL	other	6	8	14	3	0.4075657864173416	0.17266999913801992	-0.23489578727932167	15.0	0.2823842823842824	-0.375	False
HLA-F_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-F	CD8A	HLA-F	CD8A	inhibitory	15	8	23	3	0.18838436385141272	0.10844771136193201	-0.0799366524894807	43.0	0.2938688269149973	-0.2833333333333333	False
CLEC2D_KLRB1	outgoing	CLEC	Cell-Cell Contact	CLEC2D	KLRB1	CLEC2D	KLRB1	other	9	5	14	2	0.010895809384092417	0.002643978994637966	-0.008251830389454451	14.0	0.2977022977022977	-0.37777777777777777	False
LAMC1_CD44	outgoing	LAMININ	ECM-Receptor	LAMC1	CD44	LAMC1	CD44	other	15	13	28	3	0.057522082493950626	0.09270811727497721	0.03518603478102659	120.0	0.3108512029584284	0.23076923076923084	False
CD99_CD99	outgoing	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	18	16	34	3	0.4549388668457035	0.30853485306022777	-0.14640401378547574	115.0	0.32543844595354465	-0.20138888888888884	False
HLA-E_KLRC1	outgoing	MHC-I	Cell-Cell Contact	HLA-E	KLRC1	HLA-E	KLRC1	inhibitory	6	5	11	3	0.26287401958228046	0.07624518239301853	-0.18662883718926193	9.0	0.32900432900432897	-0.4	False
THBS3_CD47	outgoing	THBS	ECM-Receptor	THBS3	CD47	THBS3	CD47	other	6	7	13	3	0.009075734873510216	0.026456980390935896	0.017381245517425682	28.0	0.36596736596736595	0.33333333333333326	False
PVR_TIGIT	outgoing	PVR	Cell-Cell Contact	PVR	TIGIT	PVR	TIGIT	barrier|inhibitory	8	9	17	3	0.009297282590647493	0.017545714471913953	0.00824843188126646	46.0	0.37038255861785274	0.2777777777777777	False
HLA-B_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-B	CD8A	HLA-B	CD8A	other	18	9	27	3	0.5874681198175555	0.5012775177478349	-0.08619060206972062	64.0	0.3960658207089378	-0.2098765432098766	False
SPP1_ITGA4_ITGB1	outgoing	SPP1	Secreted Signaling	SPP1	ITGA4_ITGB1	SPP1	ITGA4|ITGB1	other	11	4	15	3	0.11455277774988544	0.03987751135281415	-0.07467526639707128	15.0	0.4117216117216117	-0.31818181818181823	False
LAMB1_CD44	outgoing	LAMININ	ECM-Receptor	LAMB1	CD44	LAMB1	CD44	other	11	4	15	3	0.02533131994854579	0.04249346231189834	0.017162142363352555	29.0	0.4117216117216117	0.3181818181818181	False
TGM2_ADGRG1	outgoing	ADGRG	Cell-Cell Contact	TGM2	ADGRG1	TGM2	ADGRG1	other	6	5	11	3	0.07576731052145766	0.03407160421421948	-0.04169570630723818	10.0	0.42857142857142855	-0.33333333333333337	False
HLA-DMB_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DMB	CD4	HLA-DMB	CD4	other	7	5	12	3	0.0012302544548397321	0.006091030804638365	0.0048607763497986334	23.0	0.4318181818181819	0.3142857142857143	False
COL1A1_CD44	outgoing	COLLAGEN	ECM-Receptor	COL1A1	CD44	COL1A1	CD44	other	10	13	23	3	0.10381567409550754	0.1277455620501076	0.02392988795460005	78.0	0.43821139060496905	0.19999999999999996	False
HLA-E_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD8A	HLA-E	CD8A	inhibitory	18	9	27	3	0.29254529868175405	0.26964422425941925	-0.0229010744223348	66.0	0.4557885270555013	-0.18518518518518523	False
IGFBP3_TMEM219	outgoing	IGFBP	Secreted Signaling	IGFBP3	TMEM219	IGFBP3	TMEM219	other	13	10	23	3	0.06042064011086714	0.06789009875578367	0.007469458644916528	53.0	0.4757221771273181	-0.18461538461538463	False
NECTIN2_TIGIT	outgoing	NECTIN	Cell-Cell Contact	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	11	9	20	2	0.06219557126484873	0.11184250407760583	0.0496469328127571	59.0	0.4941245444092638	0.19191919191919182	False
HLA-DRB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRB1	CD4	HLA-DRB1	CD4	other	8	5	13	3	0.016772936821044093	0.0765030006617864	0.05973006384074231	25.0	0.5236985236985237	0.25	False
HLA-DQB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DQB1	CD4	HLA-DQB1	CD4	other	8	5	13	3	0.01036194543624186	0.04171632646893436	0.0313543810326925	25.0	0.5236985236985237	0.25	False
LGALS9_HAVCR2	outgoing	GALECTIN	Secreted Signaling	LGALS9	HAVCR2	LGALS9	HAVCR2	inhibitory	6	3	9	2	0.0073470011461200125	0.0012319597258875772	-0.0061150414202324355	6.0	0.5476190476190476	-0.33333333333333337	False
COL6A1_CD44	outgoing	COLLAGEN	ECM-Receptor	COL6A1	CD44	COL6A1	CD44	other	10	7	17	3	0.16786860453316982	0.19623477099229647	0.02836616645912665	41.0	0.6008844097079391	0.17142857142857149	False
HLA-DPB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DPB1	CD4	HLA-DPB1	CD4	other	8	5	13	3	0.019621744625414193	0.04863997072023319	0.029018226094818998	24.0	0.6216006216006216	0.19999999999999996	False
FN1_ITGA4_ITGB7	outgoing	FN1	ECM-Receptor	FN1	ITGA4_ITGB7	FN1	ITGA4|ITGB7	other	7	5	12	3	0.015509030672546375	0.005921856738574338	-0.009587173933972036	14.0	0.638888888888889	-0.19999999999999996	False
LGALS9_CD44	outgoing	GALECTIN	Secreted Signaling	LGALS9	CD44	LGALS9	CD44	inhibitory	11	11	22	3	0.10360317744658852	0.14802767209873507	0.044424494652146554	68.0	0.6457638203049723	0.12396694214876036	False
HLA-DMA_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DMA	CD4	HLA-DMA	CD4	other	8	6	14	3	0.0030750172259384535	0.020878319290882436	0.01780330206494398	28.0	0.662004662004662	0.16666666666666674	False
CD55_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	other	17	9	26	3	0.14999677408136894	0.25260312865347195	0.10260635457210301	85.0	0.6663415341905732	0.11111111111111116	False
HLA-C_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-C	CD8B	HLA-C	CD8B	other	15	5	20	3	0.383387926375255	0.5332932823475802	0.14990535597232524	43.0	0.6724716202270382	0.14666666666666672	False
FN1_CD44	outgoing	FN1	ECM-Receptor	FN1	CD44	FN1	CD44	other	10	10	20	3	0.09584062807136678	0.06618076460844306	-0.029659863462923722	44.0	0.6775849579524755	-0.12	False
COL6A2_CD44	outgoing	COLLAGEN	ECM-Receptor	COL6A2	CD44	COL6A2	CD44	other	8	4	12	3	0.2115917306455398	0.17540397468854252	-0.036187755956997275	13.0	0.6828282828282828	-0.1875	False
LAMB2_CD44	outgoing	LAMININ	ECM-Receptor	LAMB2	CD44	LAMB2	CD44	other	10	9	19	3	0.049223305573996526	0.07916980824013993	0.029946502666143404	50.0	0.7133031738784577	0.11111111111111116	False
HLA-DPA1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DPA1	CD4	HLA-DPA1	CD4	other	8	5	13	3	0.017493554213827776	0.04163934340697274	0.024145789193144966	23.0	0.7241647241647241	0.1499999999999999	False
LPAR2_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	LPAR2	ADGRE5	LPAR2	ADGRE5	other	10	10	20	3	0.006651845039513821	0.011714264288561267	0.005062419249047446	55.0	0.7337299956962472	0.10000000000000009	False
APP_SORL1	outgoing	APP	Cell-Cell Contact	APP	SORL1	APP	SORL1	other	8	6	14	3	0.12745349521711	0.17139586807623938	0.043942372859129386	27.0	0.7545787545787546	0.125	False
HLA-A_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-A	CD8A	HLA-A	CD8A	other	18	9	27	3	0.5575666447872853	0.5319552416005404	-0.02561140318674493	75.0	0.7772615629718961	-0.07407407407407407	False
LAMC2_CD44	outgoing	LAMININ	ECM-Receptor	LAMC2	CD44	LAMC2	CD44	other	15	11	26	3	0.07414953884481221	0.1261679380338639	0.052018399189051684	77.0	0.7952497535349383	-0.06666666666666665	False
HLA-A_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-A	CD8B	HLA-A	CD8B	other	15	5	20	3	0.47734507734535747	0.5414597296539989	0.06411465230864144	41.0	0.8000515995872033	0.09333333333333327	False
LAMA5_CD44	outgoing	LAMININ	ECM-Receptor	LAMA5	CD44	LAMA5	CD44	other	13	15	28	3	0.08322463670244752	0.12648699784211953	0.04326236113967201	103.0	0.8178378992551184	0.05641025641025643	False
HLA-DRA_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRA	CD4	HLA-DRA	CD4	other	8	5	13	3	0.051941153490595734	0.07688727455151295	0.024946121060917217	22.0	0.8329448329448329	0.10000000000000009	False
HLA-DQA1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DQA1	CD4	HLA-DQA1	CD4	other	8	5	13	3	0.007240208005635905	0.00564396113296032	-0.0015962468726755845	22.0	0.8329448329448329	0.10000000000000009	False
