#Archive/File	Name	Time	Size	Type
Archive	GSE176021_RAW.tar	02/20/2024 12:44:39	4350484480	TAR
File	GSM5352886_MD01-024_tumor_1.tar.gz	06/07/2021 15:50:49	16586036	TAR
File	GSM5352886_MD01-024_tumor_1.vdj.tar.gz	06/10/2021 14:13:10	190047	TAR
File	GSM5352887_MD01-010_normal_1.tar.gz	06/07/2021 15:50:49	17273835	TAR
File	GSM5352887_MD01-010_normal_1.vdj.tar.gz	06/10/2021 14:13:10	138826	TAR
File	GSM5352888_MD01-010_tumor_1.tar.gz	06/07/2021 15:50:52	39454390	TAR
File	GSM5352888_MD01-010_tumor_1.vdj.tar.gz	06/10/2021 14:13:10	352886	TAR
File	GSM5352889_MD01-004_tumor_1.tar.gz	06/07/2021 15:50:53	14326079	TAR
File	GSM5352889_MD01-004_tumor_1.vdj.tar.gz	06/10/2021 14:13:10	169684	TAR
File	GSM5352890_MD01-004_LN_1.tar.gz	06/07/2021 15:50:55	37215738	TAR
File	GSM5352890_MD01-004_LN_1.vdj.tar.gz	06/10/2021 14:13:11	481930	TAR
File	GSM5352891_MD01-004_LN_2.tar.gz	06/07/2021 15:50:56	31610219	TAR
File	GSM5352891_MD01-004_LN_2.vdj.tar.gz	06/10/2021 14:13:12	411991	TAR
File	GSM5352892_MD01-004_LN_3.tar.gz	06/07/2021 15:50:58	30289290	TAR
File	GSM5352892_MD01-004_LN_3.vdj.tar.gz	06/10/2021 14:13:12	396097	TAR
File	GSM5352893_MD043-011_mettumor_1.tar.gz	06/07/2021 15:50:58	10702243	TAR
File	GSM5352893_MD043-011_mettumor_1.vdj.tar.gz	06/10/2021 14:13:12	139900	TAR
File	GSM5352894_MD043-011_normal_1.tar.gz	06/07/2021 15:50:59	16735353	TAR
File	GSM5352894_MD043-011_normal_1.vdj.tar.gz	06/10/2021 14:13:12	190340	TAR
File	GSM5352895_MD043-011_mettumor_2.tar.gz	06/07/2021 15:51:02	55374447	TAR
File	GSM5352895_MD043-011_mettumor_2.vdj.tar.gz	06/10/2021 14:13:12	642932	TAR
File	GSM5352896_MD043-011_mettumor_3.tar.gz	06/07/2021 15:51:04	56836805	TAR
File	GSM5352896_MD043-011_mettumor_3.vdj.tar.gz	06/10/2021 14:13:13	646291	TAR
File	GSM5352897_MD043-011_mettumor_4.tar.gz	06/07/2021 15:51:06	38673424	TAR
File	GSM5352897_MD043-011_mettumor_4.vdj.tar.gz	06/10/2021 14:13:13	435589	TAR
File	GSM5352898_MD043-011_mettumor_5.tar.gz	06/07/2021 15:51:08	50292503	TAR
File	GSM5352898_MD043-011_mettumor_5.vdj.tar.gz	06/10/2021 14:13:13	577836	TAR
File	GSM5352899_MD043-011_tumor_2.tar.gz	06/07/2021 15:51:10	44391592	TAR
File	GSM5352899_MD043-011_tumor_2.vdj.tar.gz	06/10/2021 14:13:14	452758	TAR
File	GSM5352900_MD043-011_tumor_3.tar.gz	06/07/2021 15:51:12	44988307	TAR
File	GSM5352900_MD043-011_tumor_3.vdj.tar.gz	06/10/2021 14:13:14	475375	TAR
File	GSM5352901_MD043-011_tumor_4.tar.gz	06/07/2021 15:51:13	36983592	TAR
File	GSM5352901_MD043-011_tumor_4.vdj.tar.gz	06/10/2021 14:13:15	399021	TAR
File	GSM5352902_MD043-011_tumor_5.tar.gz	06/07/2021 15:51:16	38421113	TAR
File	GSM5352902_MD043-011_tumor_5.vdj.tar.gz	06/10/2021 14:13:15	428010	TAR
