#Archive/File	Name	Time	Size	Type
Archive	GSE176022_RAW.tar	07/21/2021 15:55:13	11386880	TAR
File	GSM5266261_MD01-004_HIV.txt.gz	04/26/2021 13:22:09	54591	TXT
File	GSM5266262_MD01-004_MP1_H1N1_1.txt.gz	04/26/2021 13:22:10	72493	TXT
File	GSM5266263_MD01-004_MP1_H1N1_2.txt.gz	04/26/2021 13:22:10	129285	TXT
File	GSM5266264_MD01-004_MP1_H1N1_3.txt.gz	04/26/2021 13:22:10	110265	TXT
File	GSM5266265_MD01-004_MP1_H3N2_1.txt.gz	04/26/2021 13:22:11	135832	TXT
File	GSM5266266_MD01-004_MP1_H3N2_2.txt.gz	04/26/2021 13:22:11	138762	TXT
File	GSM5266267_MD01-004_MP1_H3N2_3.txt.gz	04/26/2021 13:22:11	155254	TXT
File	GSM5266268_MD01-004_NP_H1N1_1.txt.gz	04/26/2021 13:22:11	99499	TXT
File	GSM5266269_MD01-004_NP_H1N1_2.txt.gz	04/26/2021 13:22:11	91311	TXT
File	GSM5266270_MD01-004_NP_H1N1_3.txt.gz	04/26/2021 13:22:12	117628	TXT
File	GSM5266271_MD01-004_NP_H3N2_1.txt.gz	04/26/2021 13:22:12	106504	TXT
File	GSM5266272_MD01-004_NP_H3N2_2.txt.gz	04/26/2021 13:22:12	110500	TXT
File	GSM5266273_MD01-004_NP_H3N2_3.txt.gz	04/26/2021 13:22:13	114967	TXT
File	GSM5266274_MD043-011_HIV.txt.gz	04/26/2021 13:22:14	99820	TXT
File	GSM5266275_MD043-011_MP1_H1N1_1.txt.gz	04/26/2021 13:22:14	111172	TXT
File	GSM5266276_MD043-011_MP1_H1N1_2.txt.gz	04/26/2021 13:22:14	106629	TXT
File	GSM5266277_MD043-011_MP1_H1N1_3.txt.gz	04/26/2021 13:22:14	102246	TXT
File	GSM5266278_MD043-011_MP1_H3N2_1.txt.gz	04/26/2021 13:22:14	114096	TXT
File	GSM5266279_MD043-011_MP1_H3N2_2.txt.gz	04/26/2021 13:22:15	118333	TXT
File	GSM5266280_MD043-011_MP1_H3N2_3.txt.gz	04/26/2021 13:22:15	116685	TXT
File	GSM5266281_MD043-011_NP_H1N1_1.txt.gz	04/26/2021 13:22:16	101660	TXT
File	GSM5266282_MD043-011_NP_H1N1_2.txt.gz	04/26/2021 13:22:16	110036	TXT
File	GSM5266283_MD043-011_NP_H1N1_3.txt.gz	04/26/2021 13:22:16	97437	TXT
File	GSM5266284_MD043-011_NP_H3N2_1.txt.gz	04/26/2021 13:22:16	132553	TXT
File	GSM5266285_MD043-011_NP_H3N2_2.txt.gz	04/26/2021 13:22:17	113370	TXT
File	GSM5266286_MD043-011_NP_H3N2_3.txt.gz	04/26/2021 13:22:17	123771	TXT
File	GSM5266287_NY016-007_1.txt.gz	04/26/2021 13:22:17	97154	TXT
File	GSM5266288_NY016-007_10.txt.gz	04/26/2021 13:22:17	107635	TXT
File	GSM5266289_NY016-007_11.txt.gz	04/26/2021 13:22:18	115361	TXT
File	GSM5266290_NY016-007_12.txt.gz	04/26/2021 13:22:18	103858	TXT
File	GSM5266291_NY016-007_13.txt.gz	04/26/2021 13:22:18	100029	TXT
File	GSM5266292_NY016-007_14.txt.gz	04/26/2021 13:22:18	79756	TXT
File	GSM5266293_NY016-007_15.txt.gz	04/26/2021 13:22:18	88273	TXT
File	GSM5266294_NY016-007_16.txt.gz	04/26/2021 13:22:19	120340	TXT
File	GSM5266295_NY016-007_17.txt.gz	04/26/2021 13:22:19	55562	TXT
File	GSM5266296_NY016-007_2.txt.gz	04/26/2021 13:22:19	109930	TXT
File	GSM5266297_NY016-007_3.txt.gz	04/26/2021 13:22:19	108524	TXT
File	GSM5266298_NY016-007_4.txt.gz	04/26/2021 13:22:19	84623	TXT
File	GSM5266299_NY016-007_5.txt.gz	04/26/2021 13:22:20	98713	TXT
File	GSM5266300_NY016-007_6.txt.gz	04/26/2021 13:22:20	112482	TXT
File	GSM5266301_NY016-007_7.txt.gz	04/26/2021 13:22:20	101091	TXT
File	GSM5266302_NY016-007_8.txt.gz	04/26/2021 13:22:20	87540	TXT
File	GSM5266303_NY016-007_9.txt.gz	04/26/2021 13:22:20	148522	TXT
File	GSM5266304_NY016-007_CEF.txt.gz	04/26/2021 13:22:20	76286	TXT
File	GSM5266305_NY016-007_NoPep.txt.gz	04/26/2021 13:22:21	13683	TXT
