#Archive/File	Name	Time	Size	Type
Archive	GSE308745_RAW.tar	02/06/2026 00:29:51	1642833920	TAR
File	GSM9252455_RE52_PBMC1_barcodes.tsv.gz	09/19/2025 01:33:07	28648	TSV
File	GSM9252455_RE52_PBMC1_features.tsv.gz	09/19/2025 01:33:08	335454	TSV
File	GSM9252455_RE52_PBMC1_matrix.mtx.gz	09/19/2025 01:34:19	47387419	MTX
File	GSM9252457_RE52_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:20	1145424	CSV
File	GSM9252458_RE55_PBMC1_barcodes.tsv.gz	09/19/2025 01:33:09	41238	TSV
File	GSM9252458_RE55_PBMC1_features.tsv.gz	09/19/2025 01:33:10	335454	TSV
File	GSM9252458_RE55_PBMC1_matrix.mtx.gz	09/19/2025 01:34:52	64632357	MTX
File	GSM9252460_RE55_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:20	1537441	CSV
File	GSM9252461_RE89_PBMC1_barcodes.tsv.gz	09/19/2025 01:33:24	40874	TSV
File	GSM9252461_RE89_PBMC1_features.tsv.gz	09/19/2025 01:33:26	335454	TSV
File	GSM9252461_RE89_PBMC1_matrix.mtx.gz	09/19/2025 01:35:13	67821108	MTX
File	GSM9252463_RE89_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:21	1585508	CSV
File	GSM9252464_RE97_PBMC1_barcodes.tsv.gz	09/19/2025 01:33:39	41036	TSV
File	GSM9252464_RE97_PBMC1_features.tsv.gz	09/19/2025 01:33:40	335454	TSV
File	GSM9252464_RE97_PBMC1_matrix.mtx.gz	09/19/2025 01:35:16	61057428	MTX
File	GSM9252466_RE97_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:21	1306449	CSV
File	GSM9252467_RE106_PBMC1_barcodes.tsv.gz	09/19/2025 01:32:29	38808	TSV
File	GSM9252467_RE106_PBMC1_features.tsv.gz	09/19/2025 01:32:30	335454	TSV
File	GSM9252467_RE106_PBMC1_matrix.mtx.gz	09/19/2025 01:34:06	60770981	MTX
File	GSM9252469_RE106_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:21	1434687	CSV
File	GSM9252470_RE159_PBMC1_barcodes.tsv.gz	09/19/2025 01:32:36	43358	TSV
File	GSM9252470_RE159_PBMC1_features.tsv.gz	09/19/2025 01:32:37	335454	TSV
File	GSM9252470_RE159_PBMC1_matrix.mtx.gz	09/19/2025 01:34:16	64015715	MTX
File	GSM9252472_RE159_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:22	1624826	CSV
File	GSM9252473_RE187_PBMC1_barcodes.tsv.gz	09/19/2025 01:32:39	44099	TSV
File	GSM9252473_RE187_PBMC1_features.tsv.gz	09/19/2025 01:32:40	335454	TSV
File	GSM9252473_RE187_PBMC1_matrix.mtx.gz	09/19/2025 01:34:26	70632617	MTX
File	GSM9252475_RE187_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:22	1604573	CSV
File	GSM9252476_RE188_PBMC1_barcodes.tsv.gz	09/19/2025 01:32:41	45306	TSV
File	GSM9252476_RE188_PBMC1_features.tsv.gz	09/19/2025 01:32:43	335454	TSV
File	GSM9252476_RE188_PBMC1_matrix.mtx.gz	09/19/2025 01:34:43	76786053	MTX
File	GSM9252478_RE188_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:23	1813081	CSV
File	GSM9252479_I439_PBMC1_barcodes.tsv.gz	09/19/2025 01:30:01	33474	TSV
File	GSM9252479_I439_PBMC1_features.tsv.gz	09/19/2025 01:30:03	335454	TSV
File	GSM9252479_I439_PBMC1_matrix.mtx.gz	09/19/2025 01:30:54	33554739	MTX
File	GSM9252481_I439_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:23	588153	CSV
File	GSM9252482_I489_PBMC1_barcodes.tsv.gz	09/19/2025 01:30:55	45292	TSV
File	GSM9252482_I489_PBMC1_features.tsv.gz	09/19/2025 01:30:56	335454	TSV
File	GSM9252482_I489_PBMC1_matrix.mtx.gz	09/19/2025 01:32:39	67696627	MTX
File	GSM9252484_I489_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:23	1390222	CSV
File	GSM9252485_I554_PBMC1_barcodes.tsv.gz	09/19/2025 01:31:21	42751	TSV
File	GSM9252485_I554_PBMC1_features.tsv.gz	09/19/2025 01:31:22	335454	TSV
File	GSM9252485_I554_PBMC1_matrix.mtx.gz	09/19/2025 01:33:06	67604236	MTX
File	GSM9252487_I554_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:24	1310066	CSV
File	GSM9252488_I559_PBMC1_barcodes.tsv.gz	09/19/2025 01:31:33	50564	TSV
File	GSM9252488_I559_PBMC1_features.tsv.gz	09/19/2025 01:31:34	335454	TSV
File	GSM9252488_I559_PBMC1_matrix.mtx.gz	09/19/2025 01:33:38	82044542	MTX
File	GSM9252490_I559_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:24	1952890	CSV
File	GSM9252491_I664_PBMC1_barcodes.tsv.gz	09/19/2025 01:32:21	36489	TSV
File	GSM9252491_I664_PBMC1_features.tsv.gz	09/19/2025 01:32:22	335454	TSV
File	GSM9252491_I664_PBMC1_matrix.mtx.gz	09/19/2025 01:34:14	73023262	MTX
File	GSM9252493_I664_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:25	1646074	CSV
File	GSM9252494_G2_PBMC1_barcodes.tsv.gz	09/19/2025 01:29:57	39281	TSV
File	GSM9252494_G2_PBMC1_features.tsv.gz	09/19/2025 01:29:57	335454	TSV
File	GSM9252494_G2_PBMC1_matrix.mtx.gz	09/19/2025 01:31:14	49837652	MTX
File	GSM9252496_G2_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:25	1481287	CSV
File	GSM9252497_G6_PBMC1_barcodes.tsv.gz	09/19/2025 01:29:57	34352	TSV
File	GSM9252497_G6_PBMC1_features.tsv.gz	09/19/2025 01:29:58	335454	TSV
File	GSM9252497_G6_PBMC1_matrix.mtx.gz	09/19/2025 01:31:09	45571924	MTX
File	GSM9252499_G6_PBMC1_TCR_filtered_contig_annotations.csv.gz	09/22/2025 10:07:26	1344829	CSV
File	GSM9252500_G7_PBMC1_barcodes.tsv.gz	09/19/2025 01:29:58	35636	TSV
File	GSM9252500_G7_PBMC1_features.tsv.gz	09/19/2025 01:29:59	335454	TSV
