n_pos	n_neg	median_pos	median_neg	U	p	cliffs_delta	note	series	gene	gene_present	covariate	adjustment	endpoint	test	timepoint	setting	drug	assay	n	rho	n_events	hr	hr_ci_low	hr_ci_high	logrank_p
					0.012665278925668667			GSE207422	TACSTD2	True	none	unadjusted	CD8A	Spearman unadjusted	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.5008695652173912					
					0.008531088861189765			GSE207422	TACSTD2	True	none	unadjusted	GEP18	Spearman unadjusted	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.5243478260869565					
					0.05864447105666786			GSE207422	TACSTD2	True	none	unadjusted	CYT	Spearman unadjusted	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.3913043478260869					
					0.5062092339528541			GSE207422	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CD8A	Spearman of OLS-residual vs raw endpoint	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.14260869565217388					
					0.12119014245518185		purity residual = ESTIMATEScore; residualises both ranks	GSE207422	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CD8A	partial Spearman (ranks, n-3 df)	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.3324235714458196					
					0.5764898720889466			GSE207422	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	GEP18	Spearman of OLS-residual vs raw endpoint	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.12					
					0.23316775288491365		purity residual = ESTIMATEScore; residualises both ranks	GSE207422	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	GEP18	partial Spearman (ranks, n-3 df)	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.2587674378398816					
					0.4752549676743847			GSE207422	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CYT	Spearman of OLS-residual vs raw endpoint	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.15304347826086956					
					0.1594357030294966		purity residual = ESTIMATEScore; residualises both ranks	GSE207422	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CYT	partial Spearman (ranks, n-3 df)	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.3033238743932122					
					0.08319459278354285			GSE207422	CLDN4	True	none	unadjusted	CD8A	Spearman unadjusted	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.3608695652173913					
					0.024015134743792032			GSE207422	CLDN4	True	none	unadjusted	GEP18	Spearman unadjusted	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.4591304347826086					
					0.10032049069469841			GSE207422	CLDN4	True	none	unadjusted	CYT	Spearman unadjusted	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.34347826086956523					
					0.9678329941702691			GSE207422	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CD8A	Spearman of OLS-residual vs raw endpoint	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.008695652173913044					
					0.2740621523612764		purity residual = ESTIMATEScore; residualises both ranks	GSE207422	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CD8A	partial Spearman (ranks, n-3 df)	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.23804039614688516					
					0.5626487416883165			GSE207422	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	GEP18	Spearman of OLS-residual vs raw endpoint	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.1243478260869565					
					0.13013112179707417		purity residual = ESTIMATEScore; residualises both ranks	GSE207422	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	GEP18	partial Spearman (ranks, n-3 df)	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.32508876906527984					
					0.7071807504682381			GSE207422	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CYT	Spearman of OLS-residual vs raw endpoint	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.08086956521739129					
					0.20128311060184512		purity residual = ESTIMATEScore; residualises both ranks	GSE207422	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CYT	partial Spearman (ranks, n-3 df)	pre	neoadjuvant resectable NSCLC	anti-PD-1 + chemo (tori/camre/sinti; not durvalumab)	bulk RNA-seq log2(TPM+1)	24.0	-0.27665223424637503					
					0.41808684161130316			GSE126044	TACSTD2	True	none	unadjusted	CD8A	Spearman unadjusted	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	-0.21764705882352942					
					0.8540995521297438			GSE126044	TACSTD2	True	none	unadjusted	GEP18	Spearman unadjusted	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	-0.049999999999999996					
					0.47816401281702847			GSE126044	TACSTD2	True	none	unadjusted	CYT	Spearman unadjusted	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	-0.19117647058823528					
					0.9396737397890448			GSE126044	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CD8A	Spearman of OLS-residual vs raw endpoint	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	0.02058823529411765					
					0.8695881673483798		purity residual = ESTIMATEScore; residualises both ranks	GSE126044	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CD8A	partial Spearman (ranks, n-3 df)	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	-0.0463939178914389					
					0.47128972836210753			GSE126044	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	GEP18	Spearman of OLS-residual vs raw endpoint	pre	advanced NSCLC	anti-PD-1	bulk RNA-seq (log2CPM from counts)	16.0	0.19411764705882353					
