analysis	endpoint	predictor	source	unit	n	rho	p_spearman	n_q1	n_q4	n_compared	median_q1	median_q4	delta_median	U	r_rb	p_q4q1	thin_q4q1	q1_cut	q4_cut	note
tisch_eligible_given	frac_TNK	TISCH CLDN4 mean (Malignant if ≥20 else epithelial-like)	TISCH NSCLC pool	patient	25	0.13538461538461538	0.5187661950161317	7	6	13	0.0745412844036697	0.15092164625216226	0.07638036184849256	22.0	0.04761904761904767	0.9452214452214451	False	0.8901241421699524	2.0142343044281006	Locked continuous ρ taken as given. Q4 vs Q1 is extra. Includes 3 epithelial-like fallbacks (P35, P39, P5).
tisch_eligible_pct	frac_TNK	TISCH CLDN4 %pos	TISCH NSCLC pool	patient	25	0.04384615384615385	0.835145685000621	7	6	13	0.0745412844036697	0.15092164625216226	0.07638036184849256	23.0	0.09523809523809534	0.8356643356643356	False	51.92743764172335	80.50595238095238	Secondary %pos on the same locked eligible n=25.
tisch_malignant_only	frac_TNK	TISCH CLDN4 mean (Malignant only)	TISCH NSCLC pool	patient	22	0.07961603613777528	0.7246926801743929	6	6	12	0.2033356241512933	0.15092164625216226	-0.05241397789913105	17.0	-0.05555555555555558	0.9372294372294373	False	0.621630847454071	2.0142343044281006	Drops the 3 epithelial-like eligible units. Honest malignant recut.
tls_malignant_cxcl13pos_given	frac_CXCL13pos_T	TLS malignant CLDN4 mean log1p(CP10k)	PR #274 TLS extract	patient	31	-0.4086020621109129	0.02248010028418731	8	8	16	0.27380701013513514	0.1075862068965517	-0.16622080323858346	12.5	-0.609375	0.04440632214550907	False	0.9219291473297208	1.702459958637533	Locked continuous ρ taken as given. Q4 vs Q1 is extra. Requires malignant compartment and at least one T cell with CXCL13 call.
tls_malignant_cxcl13pos_pct	frac_CXCL13pos_T	TLS malignant CLDN4 %pos	PR #274 TLS extract	patient	31	-0.2220574643240126	0.22989998793438032	8	8	16	0.25418275418275416	0.16064516129032255	-0.0935375928924316	22.5	-0.296875	0.3409871533819059	False	42.53731343283582	74.28571428571429	Secondary %pos on the same CXCL13+ complete n=31.
tls_malignant_cxcl13_mean	CXCL13 mean log1p(CP10k)	TLS malignant CLDN4 mean log1p(CP10k)	PR #274 TLS extract	patient	35	-0.2807882348761856	0.10228056398134505	9	9	18	0.0427429406829978	0.0289724851009034	-0.013770455582094398	24.0	-0.40740740740740744	0.15339420681209628	False	0.9219291473297208	1.7196323110501963	Whole-sample CXCL13 mean (not restricted to T). n=35 malignant.
same_patient_tnk	frac_TNK	TLS malignant CLDN4 mean (shared cut)	TLS ∩ TISCH eligible	patient	21	-0.04805194805194805	0.8361372099212369	6	5	11	0.2033356241512933	0.1198257080610021	-0.08350991609029121	13.0	-0.1333333333333333	0.7922077922077921	False	0.6389245473251407	1.7880657577721126	Same patients as CXCL13+ row below. One TLS CLDN4 quartile cut. T/NK from TISCH. Continuous ρ here is not the locked TISCH-internal given.
same_patient_cxcl13pos	frac_CXCL13pos_T	TLS malignant CLDN4 mean (shared cut)	TLS ∩ TISCH eligible	patient	21	-0.446907908354963	0.04224396718298409	6	5	11	0.27380701013513514	0.16	-0.11380701013513514	5.0	-0.6666666666666667	0.08213856110808998	False	0.6389245473251407	1.7880657577721126	Same patients and same CLDN4 Q4/Q1 as the T/NK intersection row.
