patient	quartile	cldn4_mal_mean_log1p_cp10k	frac_tnk	frac_CXCL13pos_T	n_malignant	n_tnk
P1	Q2	1.189760746891115	0.0111278762731044	0.4095238095238095	3033	59
P10	Q2	1.082866578707356	0.0128651835968909	0.1489361702127659	2273	48
P11	Q1	0.0533402133283282	0.3321299638989169	0.2702702702702703	69	184
P13	Q4	1.9588087368604707	0.2665929203539823	0.16	40	241
P14	Q1	0.3865889104073485	0.0177142857142857	0.238095238095238	442	31
P18	Q2	1.1902807990726516	0.0234978180597515	0.2711864406779661	1346	70
P19	Q4	1.7880657577721126	0.1045296167247386	0.0	35	30
P22	Q3	1.702459958637533	0.2566137566137566	0.0551724137931034	40	97
P23	Q1	0.6389245473251407	0.021079258010118	0.1666666666666666	1269	50
P24	Q2	0.9383954144052586	0.2896825396825397	0.0754716981132075	69	73
P26	Q3	1.7678894572374186	0.3384615384615385	0.0	56	44
P28	Q3	1.4856770326907371	0.0694626474442988	0.0	247	159
P32	Q4	2.6796425335636878	0.1198257080610021	0.0	71	55
P38	Q2	0.9986482502568657	0.1334841628959276	0.0333333333333333	28	177
P4	Q1	0.4474027043298569	0.0745412844036697	0.27734375	83	325
P40	Q3	1.664001340823558	0.3980309423347398	0.0196078431372549	39	283
P42	Q1	0.1134887929945443	0.4182344428364689	0.3324808184143222	112	289
P6	Q4	1.9529382035449336	0.0210755813953488	0.3636363636363636	988	58
P7	Q1	0.5094485406771123	0.4468085106382978	0.3767342582710779	96	1197
P8	Q4	1.9721571672515337	0.1445131375579598	0.1612903225806451	25	187
P9	Q3	1.6297606075100508	0.0191977077363896	0.2857142857142857	236	67
