cohort	gene	layer	endpoint	split	median_cut	ensembl_row	n	n_event	n_high	n_low	events_high	events_low	logrank_stat	logrank_p	cox_n	cox_events	cox_hr_per_sd	cox_hr_per_sd_ci_low	cox_hr_per_sd_ci_high	cox_p	cox_loghr	cox_loghr_se	cox_hr_per_unit	cox_hr_per_unit_ci_low	cox_hr_per_unit_ci_high	cox_p_per_unit
LUAD	CLDN4	RNA	OS	median	12.896799999999999	ENSG00000189143.9	105	23	53	52	10	13	0.5577514016087183	0.45516765840590534	105	23	1.1333823280460285	0.7568884050374987	1.6971530981022154	0.5433073523507965	0.12520637264843798	0.2059927685958438	1.1918019959246453	0.6768198383726692	2.0986264245816546	0.5433073523507832
LUAD	CLDN4	RNA	PFS	median	12.896799999999999	ENSG00000189143.9	104	23	51	53	11	12	0.0010818456077264168	0.9737611737542358	104	23	1.0019983951012008	0.6603475682335407	1.5204126312922288	0.9925128468340567	0.0019964009659819947	0.21274763520758092	1.0028016548728422	0.5590246923758728	1.7988671569082781	0.9925128468340532
LUAD	CLDN4	protein	OS	median	23.0710721901358	ENSG00000189143.9	75	15	37	38	9	6	2.919949449443499	0.08749060477160142	75	15	1.152157354985379	0.7127352477403821	1.8624960318090535	0.5632582158473858	0.14163614581499542	0.24504152800101642	1.297960108752126	0.5360404238689556	3.14286081589191	0.5632582158473218
LUAD	CLDN4	protein	PFS	median	23.0710721901358	ENSG00000189143.9	74	16	37	37	8	8	0.42690369864817856	0.5135121803836429	74	16	1.2969765958742132	0.7731276023507181	2.1757705780143395	0.32454483388507505	0.260035860355933	0.26395256641913395	1.6212551437155303	0.6199368949291459	4.239896451596866	0.32454483388504574
LSCC	CLDN4	RNA	OS	median	12.00155	ENSG00000189143.9	94	23	49	45	12	11	0.021040637410329237	0.8846683061716835	94	23	0.9851173309805178	0.6426248186039724	1.5101442205521753	0.9451526658133467	-0.014994527157285087	0.21795902230752737	0.9839172666277358	0.6199347075958961	1.561605078254863	0.9451526658133473
LSCC	CLDN4	RNA	PFS	median	12.00155	ENSG00000189143.9	92	20	48	44	9	11	0.8347690805122253	0.36089711479534714	92	20	0.7967390130214479	0.501168732039214	1.2666254183246242	0.3367012498420906	-0.22722811552379593	0.23652261662103688	0.7839110272086568	0.47703786999371217	1.2881922741006524	0.3367012498420918
LSCC	CLDN4	protein	OS	median	23.34019422656705	ENSG00000189143.9	66	14	33	33	8	6	0.3038412678392799	0.5814842520626471	66	14	0.8666588503022911	0.473545127901876	1.5861161240010162	0.64258306519337	-0.1431098625633155	0.30836642921182866	0.7951817840674752	0.30206795346963466	2.0932841847332733	0.6425830651935067
LSCC	CLDN4	protein	PFS	median	23.34019422656705	ENSG00000189143.9	66	14	33	33	7	7	0.009044373205228287	0.9242338813295348	66	14	0.7421937389210151	0.4158697229873747	1.3245771828171273	0.313046902394967	-0.2981449662292504	0.2955297282826717	0.614814817377259	0.23895450552998854	1.5818796085399365	0.313046902394885
