family	split	expect	n_ligands_requested	n_patients	mean_delta	median_delta	p_wilcoxon	meta_mu	meta_p	meta_I2	meta_k	agrees_high_gt_low	n_GSE123902	mean_GSE123902	n_GSE131907	mean_GSE131907	n_GSE205335	mean_GSE205335	n_GSE189357	mean_GSE189357	loco_mean_drop_GSE123902	loco_p_drop_GSE123902	loco_n_drop_GSE123902	loco_mean_drop_GSE131907	loco_p_drop_GSE131907	loco_n_drop_GSE131907	loco_mean_drop_GSE205335	loco_p_drop_GSE205335	loco_n_drop_GSE205335	loco_mean_drop_GSE189357	loco_p_drop_GSE189357	loco_n_drop_GSE189357
core_barrier	delta_q4q1	high>low	4	59	0.25923192542789875	0.24867281324312446	2.6491274058951022e-11	0.2571294195421275	4.057657243682605e-31	0.4417740216006963	4	True	10	0.2714903863158514	19	0.20276396211457862	21	0.30563677153451535	9	0.25654358385396636	0.2567301987160717	1.0658141036401503e-14	49	0.2860542080017258	1.8189894035458565e-12	40	0.23358714205318956	1.4551915228366852e-11	38	0.25971582691120654	5.329070518200751e-15	50
ext_barrier	delta_q4q1	high>low	12	59	0.1305853405868074	0.11714367756399306	2.3900953516978203e-11	0.13072782208634293	6.029399273006508e-09	0.8292167245658596	4	True	10	0.1673165097809059	19	0.08472618711203297	21	0.1587967864390964	9	0.1207599918292141	0.12308918360841996	3.552713678800501e-15	49	0.15236843848732526	1.8189894035458565e-12	40	0.11499480472106875	7.275957614183426e-12	38	0.13235390336317418	1.7763568394002505e-15	50
core_ifn_recruit	delta_q4q1	low>high	4	59	-0.03967469218856589	-0.013804066969679752	9.071014910439628e-06	-0.04293922708598976	0.07249299754061518	0.9508390038581999	4	False	10	-0.06546692275485219	19	0.008447848610435455	21	-0.062460979188438896	9	-0.05944068580199137	-0.034410971664833985	0.0001457221137037834	49	-0.06253289906809152	5.029505700804293e-09	40	-0.027082270425478172	0.0038437370385508984	38	-0.036116813338149305	0.00043263448054275955	50
ext_ifn_recruit	delta_q4q1	low>high	9	59	0.053657838952332955	0.041967572444790706	1.790702640375869e-09	0.055765122178648104	7.340142280035004e-19	0.0	4	True	10	0.06777476095630494	19	0.05726049591237219	21	0.05274497624479182	9	0.032496773905432735	0.050776834461726414	1.7678445374258445e-09	49	0.0519465768963143	2.822944225044921e-07	40	0.054162315711763574	3.6219717003405094e-08	38	0.05746683066077498	2.6343371928305714e-12	50
mhci	delta_q4q1	low>high	3	59	0.2887969200647054	0.3245957497201187	1.7485220933602653e-05	0.26126394603157305	0.021326360790468697	0.745827483588582	4	True	10	0.3658742640505412	19	0.4157930407439854	21	0.305832316935392	9	-0.10469675405186056	0.2730668498635144	6.172015834238209e-05	49	0.22847376274204745	0.009381349105751724	40	0.2793826217940629	0.00013128014688845724	38	0.3596257814056873	5.572207957271758e-07	50
core_barrier	delta_median	high>low	4	59	0.19923221001156624	0.189931989458484	2.935576933991171e-11	0.19973193520798183	3.813193990108721e-13	0.6855769902436685	4	True	10	0.20850372256837998	19	0.13547382938537864	21	0.23933677389585273	9	0.22995423942927828	0.1973400645918083	2.4868995751603507e-14	49	0.22951744080900535	1.8189894035458565e-12	40	0.1770691615491973	2.1827872842550278e-11	38	0.19370224471637804	1.2434497875801753e-14	50
ext_barrier	delta_median	high>low	12	59	0.10509137987267685	0.1027578334363244	2.935576933991171e-11	0.10698674199612274	6.356955893880904e-06	0.8832693915241551	4	True	10	0.13939971943572288	19	0.056935536198384165	21	0.1295788370799939	9	0.11149593907572597	0.09808967792103478	3.552713678800501e-15	49	0.12796540561796585	9.094947017729282e-12	40	0.0915588377317911	2.1827872842550278e-11	38	0.10393855921612799	1.2434497875801753e-14	50
core_ifn_recruit	delta_median	low>high	4	59	-0.028770235433719	-0.01437270692009905	1.329563200988249e-05	-0.03247267399264766	0.07343730584215985	0.964966752705007	4	False	10	-0.05309537712553543	19	0.0038950888119867314	21	-0.038228005277556244	9	-0.048634299548125925	-0.02380592080273606	0.0006363445974457704	49	-0.044286264450429214	4.320099833421409e-09	40	-0.02354357315159841	0.0021590347168967128	38	-0.025194703893125753	0.0011471783973160399	50
ext_ifn_recruit	delta_median	low>high	9	59	0.04064727241342173	0.03447856648170207	6.041652736117556e-10	0.041890562010082774	5.626350992423008e-20	0.0	4	True	10	0.052181848511696174	19	0.036519365438977075	21	0.04172919816436299	9	0.03402105360919258	0.03829327729132491	2.885691685605707e-10	49	0.04260802822628295	1.5819750842638314e-08	40	0.04004936607737525	2.3377651814371347e-08	38	0.04183999179818297	5.861977570020827e-14	50
mhci	delta_median	low>high	3	59	0.2162602196287488	0.21535400260023366	3.8945699831182846e-05	0.190103290909731	0.027904930700805814	0.6460889327530455	4	True	10	0.2616835237218887	19	0.2853592072639817	21	0.26193209808363704	9	-0.0866534752105262	0.20699015756892433	8.67996411244576e-05	49	0.18343820050201323	0.012015921452984912	40	0.19102049732473167	0.0007713564846199006	38	0.27078468469981837	9.364108866094512e-07	50
