gene	rho	z	p	I2	k	n_pos	n_neg	epithelial_leak	fdr
A1BG	-0.2294634144847313	-0.2336229841699835	0.10923557508647208	0.0	4	1	3	False	0.9997275492196568
A1BG-AS1	-0.025680211375582893	-0.025685858747865355	0.918160518432339	0.5603348042379691	3	2	1	False	0.9997275492196568
A1CF	0.25985517512165723	0.26595308830751374	0.19260933972094718	0.0	2	2	0	False	0.9997275492196568
A2M	-0.13861541651965728	-0.1395135904535846	0.402231913100665	0.19502579895569902	4	2	2	False	0.9997275492196568
A2M-AS1	-0.013797026320973477	-0.013797901878791869	0.9565559506723811	0.571380880873082	3	2	1	False	0.9997275492196568
A2ML1	-0.0748805187614321	-0.07502094548452976	0.6617897251739565	0.0	2	0	1	False	0.9997275492196568
A2ML1-AS1					1	1	0	False	
A2ML1-AS2					1	0	1	False	
A3GALT2	-0.14700983527787317	-0.1480828373360984	0.4681730755464263	0.0	2	0	2	False	0.9997275492196568
A4GALT	-0.25505342019316724	-0.2608104528497938	0.2781921270969706	0.5950630515337724	4	2	2	False	0.9997275492196568
A4GNT	-0.08040212166425423	-0.08057604998334641	0.6930344723171462	0.0	2	0	2	False	0.9997275492196568
AAAS	0.046153570409924516	0.04618638373295206	0.7515183787950142	0.0	4	2	2	False	0.9997275492196568
AACS	0.10429859866919443	0.10467928004334884	0.4729762111678525	0.0	4	3	1	False	0.9997275492196568
AADAC	0.023954258197744705	0.02395884147870352	0.8795584217907436	0.0	3	2	1	False	0.9997275492196568
AADACL2	-0.006740766884636913	-0.006740868982936768	0.973655944170601	0.0	2	1	1	False	0.9997275492196568
AADACL2-AS1					1	1	0	False	
AADACL3					0	0	0	False	
AADACL4					1	0	1	False	
AADAT	0.17127984376590247	0.17298489161165567	0.48291371279149875	0.6144286489112772	4	1	3	False	0.9997275492196568
AAED1	-0.1038728859708064	-0.10424890472002847	0.7071641935514443	0.001090265510345017	2	1	1	False	0.9997275492196568
AAGAB	-0.13169115510570403	-0.13246046344739096	0.363823707567679	0.0	4	1	3	False	0.9997275492196568
AAK1	-0.30875706508648704	-0.3191709142363471	0.028660458523289602	0.0	4	0	4	False	0.9997275492196568
AAMDC	0.32381563541444547	0.3359038555442553	0.12318798418700609	0.5088893328942913	4	3	1	False	0.9997275492196568
AAMP	-0.05928026336096329	-0.05934985004788328	0.7599354659502772	0.38900706452029393	4	1	3	False	0.9997275492196568
AANAT	-0.20821838233409432	-0.2113082618558791	0.1814085074842977	0.0	3	0	3	False	0.9997275492196568
AAR2	-0.06344835825031649	-0.06353370572357425	0.663152266312582	0.0	4	1	3	False	0.9997275492196568
AARD	-0.21955912838512281	-0.22319286110759778	0.15806906953493827	0.0	3	1	2	False	0.9997275492196568
AARS	0.03512063448879278	0.035135085138715966	0.8991926066236482	0.0	2	1	1	False	0.9997275492196568
AARS2	0.05521091051593072	0.055267112128904734	0.7047678932227273	0.0	4	3	1	False	0.9997275492196568
