ligand	family	mean_delta_q4q1	p_sender	n_patients	meta_I2	mean_GSE123902	mean_GSE131907	mean_GSE205335	mean_GSE189357	potential	aupr_empirical_high	pearson_empirical_high	rank_aupr_empirical_high	auroc_empirical_high	aupr_empirical_low	pearson_empirical_low	rank_aupr_empirical_low	auroc_empirical_low	aupr_a_priori_ifn	pearson_a_priori_ifn	rank_aupr_a_priori_ifn	auroc_a_priori_ifn	aupr_a_priori_exhaustion	pearson_a_priori_exhaustion	rank_aupr_a_priori_exhaustion	auroc_a_priori_exhaustion	aupr_a_priori_cytotoxicity	pearson_a_priori_cytotoxicity	rank_aupr_a_priori_cytotoxicity	auroc_a_priori_cytotoxicity	priority_empirical_high
F11R	core_barrier	0.3500440173817793	2.516350662927767e-11	59	0.7488399529209138	0.38231062134074556	0.22610169285378584	0.4418666632661247	0.36159541325633054	True	0.0036622776674398	0.0267804390501746	63.0	0.665275085731352	-0.0010045892234297	-0.0202994074333484	134.0	0.456327652177354	0.0180260916361229	0.0683472729406425	167.0	0.915411758858901	-0.0001000512923922	-0.0025939663558043	104.0	0.496386703067284	0.0062877551510381	0.0123018976070864	127.0	0.414530733993821	3.1902939792861833
NECTIN2	core_barrier	0.25330858067907186	2.6491274058951022e-11	59	0.6205577802504658	0.22712959598914234	0.2069840111901995	0.337007658837435	0.18489480577487685	True	0.0022001300735089	0.0195207168737752	248.0	0.636275533025228	-0.0014870195033451	-0.0250885671092141	237.0	0.436639762839246	0.0166350999550907	0.0700704295449611	185.0	0.950263406391332	2.23859615323524e-05	-0.0012729841925921	69.0	0.497155245589507	0.0006601260893573	-0.0090791344361066	265.0	0.342196654948326	1.6276826219994192
CDH1	core_barrier	0.3819396279507499	3.252273784253618e-11	59	0.6063420883172358	0.43893843246610464	0.29363750038284264	0.39145578753166077	0.48281885322159035	True	0.0040072469427561	0.0268275897123751	34.0	0.668778887729234	-0.0016607454043977	-0.0247832148332595	263.0	0.422385987029047	0.0163550658512155	0.0632693848799072	192.0	0.934483872570947	-0.0003950598779467	-0.0085680401566961	250.0	0.423501342081726	0.0017232228197309	-0.0049717490515171	236.0	0.33592201981463	3.3543054021685363
LGALS9	core_barrier	0.051635475699993896	0.001920763719876374	59	0.2816989587352352	0.03758289546741297	0.08433264403148649	0.05221697650284081	-0.003134736836932211	True	0.0024922215755029	0.0278660519945679	218.0	0.661050643606182	-0.0003029244886012	-0.0145904409680986	56.0	0.441236722493347	0.009703377682684	0.063699901709533	256.0	0.882237463346751	0.0001481759135367	0.0021339830851654	55.0	0.537945353185429	0.0108516148103097	0.0218505844196503	85.0	0.365984872696277	0.38188291746025316
CXCL9	core_ifn_recruit	-0.0004971386466525837	0.17113355053879786	59	0.0	-0.012802658157487812	0.0037563503824900152	0.001038015656013476	0.000614046153198039	False																					
CXCL10	core_ifn_recruit	-0.005035331266007988	0.9797339246366477	59	0.5796253832129752	0.00408024758076371	-0.003463669671277474	-0.0073219525066986965	-0.013146254900795969	False																					
CCL5	core_ifn_recruit	-0.1206730532496412	1.1578664341441734e-05	59	0.9501074590853348	-0.21614947671673143	0.033681397405278035	-0.19089595829982353	-0.17659408899616713	True	0.0022646263804963	0.0097024655205082	241.0	0.64324586253169	0.00413845386391	0.0481430615500172	3.0	0.483542539727891	0.0350206896592735	0.053216837200688	38.0	0.965732319467224	0.0002682382342398	8.44427555703997e-05	42.0	0.551859414072377	0.0218594178088556	0.0705994390824163	50.0	0.539235112389468	-1.9481908420694782
IFNG	core_ifn_recruit	-0.03249324559196176	4.521505763577238e-06	59	0.8879505412234402	-0.036995803725953194	-0.00018268367474875787	-0.052664021603246756	-0.0486364454642004	False																					
HLA-A	mhci	0.3290058792597191	4.139244353437418e-06	59	0.5345608220640199	0.46027313648804247	0.3913750020907877	0.3443060824261924	0.01578474897422187	True	0.0034423347826406	0.0306537206797355	87.0	0.662752845286008	-0.0005006623044042	-0.0140857046864499	69.0	0.466755142340795	0.057288411187926	0.132373421949517	22.0	0.97707618905621	-0.0001917966409266	-0.0050776618042614	146.0	0.467572093876906	0.114187327142877	0.123680693439565	8.0	0.562064557366562	2.6203445186708336
HLA-B	mhci	0.27980259901605486	5.9314058690081164e-05	59	0.7652492515500092	0.3695736780503296	0.4460363344029328	0.2633746433568032	-0.1325490336338499	True	0.0031575411360073	0.0318269024995687	128.0	0.657758063714533	-0.0014425242338961	-0.0287055934396302	229.0	0.429162008972337	0.0710978435167937	0.142920732595962	20.0	0.972590825505691	-0.000342796901365	-0.0083602500662089	230.0	0.44102869990136	0.0164089744942333	0.0389080830503927	68.0	0.488547991903687	2.1035621656469576
