test_ligand	auroc	aupr	aupr_corrected	pearson	geneset	rank_aupr	rank_pearson	n_geneset	n_background	n_potential	spearman	mean_delta	p_sender	family	receptor_frac	z_activity	z_sender	z_receptor	priority
ADAM10	0.44511558538404	0.0183543363242147	0.0162706929248993	0.0305106683380628	a_priori_cytotoxicity	69.0	81.0	14.0	6719.0	286.0		0.09704825680217688	8.022986950499421e-08	other	1.0	-0.019718943148000836	0.1334848922668201	0.9864107175245981	1.1001766666434174
ADAM15	0.395983807393201	0.0064818268461347	0.0043981834468193	0.0069950057143305	a_priori_cytotoxicity	160.0	203.0	14.0	6719.0	286.0		0.1779032903495858	4.888683195295786e-11	other	0.9661016949152542	-0.42469275010914886	0.7511209251919057	0.886275347113749	1.212703522196506
ADAM17	0.486822200916158	0.0274826774462139	0.0253990340468985	0.0861889866835733	a_priori_cytotoxicity	44.0	29.0	14.0	6719.0	286.0		0.08532570487601103	5.493714018733944e-08	other	0.9661016949152542	0.2916507013438597	0.043938575237712656	0.886275347113749	1.2218646236953212
ADAM28	0.361276233088307	0.00444374327501	0.0023600998756947	-0.001826070700499	a_priori_cytotoxicity	218.0	250.0	14.0	6719.0	286.0		0.03814093658249551	2.157606107134368e-05	other	0.7288135593220338	-0.4942122113677116	-0.316496784500385	0.18532775423780598	-0.6253812416302906
ADAM9	0.390657291999565	0.0050492626783124	0.002965619278997	0.0059667472227748	a_priori_cytotoxicity	205.0	208.0	14.0	6719.0	286.0		0.1427693443875043	1.793690245553794e-10	other	0.9661016949152542	-0.4735578165746883	0.4827394769014826	0.886275347113749	0.8954570074405432
ADGRE5	0.352530094811967	0.0018983950455895	-0.0001852483537258	-0.0163604501582611	a_priori_cytotoxicity	280.0	283.0	14.0	6719.0	286.0		0.008739636320673382	0.18653611184036434	other	0.7966101694915254	-0.5810345773058803	-0.5410876560866726	0.3855984950595041	-0.7365237383330487
ADM2	0.414626611270902	0.0122772904418123	0.0101936470424969	0.0240622346458098	a_priori_cytotoxicity	94.0	97.0	14.0	6719.0	286.0		0.01751026170682516	2.5661582307983653e-07	other	0.3050847457627119	-0.22700826227786558	-0.47409053751397956	-1.0663643758978063	-1.7674631756896515
AGRN	0.420805369127517	0.0127567594167939	0.0106731160174786	0.0152462370145816	a_priori_cytotoxicity	87.0	151.0	14.0	6719.0	286.0		0.21129810969405563	7.699600184405373e-11	other	0.9661016949152542	-0.21065347422934091	1.0062175201129182	0.886275347113749	1.6818393929973263
ALCAM	0.40535847448599	0.0055896144878385	0.0035059710885232	0.0208669899842444	a_priori_cytotoxicity	187.0	116.0	14.0	6719.0	286.0		0.2943100447488646	3.602332107739981e-11	other	0.8813559322033898	-0.45512630217529454	1.6403297083494672	0.6359369210866266	1.8211403272607993
ALOX5AP	0.374656439757104	0.0060628211334702	0.0039791777341548	0.0032729819007098	a_priori_cytotoxicity	175.0	224.0	14.0	6719.0	286.0		-0.16462670869590887	1.839327390491251e-06	other	0.15254237288135594	-0.4389851235041334	-1.865399784607148	-1.5169735427466267	-3.8213584508579084
ANGPTL4	0.503366357728776	0.0060035959121781	0.0039199525128627	0.0221459752777211	a_priori_cytotoxicity	176.0	109.0	14.0	6719.0	286.0		0.08381206183291147	7.837312739103966e-09	other	0.9661016949152542	-0.44100530831670903	0.03237614747795538	0.886275347113749	0.47764618627499533
APOE	0.376691168637469	0.0061262332237761	0.0040425898244608	0.0051176405174139	a_priori_cytotoxicity	173.0	212.0	14.0	6719.0	286.0		-0.012507703142226783	0.8193358602413572	other	0.7288135593220338	-0.43682212370480716	-0.7033919911455853	0.18532775423780598	-0.9548863606125864
APP	0.388153829764563	0.0178897637705249	0.0158061203712096	0.0398443985356007	a_priori_cytotoxicity	71.0	67.0	14.0	6719.0	286.0		0.3254508419481284	4.752079594171518e-10	other	1.0	-0.03556561111863825	1.878208262107043	0.9864107175245981	2.829053368513003
AZGP1	0.368957068285924	0.0061620413309705	0.0040783979316552	0.0035077413639569	a_priori_cytotoxicity	172.0	222.0	14.0	6719.0	286.0		0.1141777275225944	6.46248147269715e-07	other	0.1016949152542373	-0.43560070160214537	0.2643336208826049	-1.6671765983629003	-1.8384436790824408
B2M	0.555310535847461	0.048812100985581	0.0467284575862656	0.103089052733986	a_priori_cytotoxicity	31.0	23.0	14.0	6719.0	286.0		0.017560465490165825	0.4921672916261939	other	0.9152542372881356	1.019201845183512	-0.4737070404795967	0.7360722914974757	1.2815670962013912
BACE1	0.369830616810474	0.0765213763847775	0.0744377329854621	0.069848024448419	a_priori_cytotoxicity	22.0	42.0	14.0	6719.0	286.0		0.014160946312199616	0.0016922364394889745	other	0.7966101694915254	1.9643710840260333	-0.49967531291498773	0.3855984950595041	1.8502942661705497
BACE2	0.587983381271966	0.0152962238449828	0.0132125804456674	0.0467502180495301	a_priori_cytotoxicity	75.0	65.0	14.0	6719.0	286.0		0.15476746801328056	8.72209226556705e-08	other	0.288135593220339	-0.12403180599443402	0.5743908330835823	-1.1164320611032308	-0.6660730340140826
BMP1	0.419132843293922	0.002763868482854	0.0006802250835387	-0.0011597426184654	a_priori_cytotoxicity	264.0	246.0	14.0	6719.0	286.0		0.02725439550051631	3.799795315010065e-05	other	0.1864406779661017	-0.5515130954860623	-0.3996569756616077	-1.4168381723357777	-2.3680082434834477
BMP2	0.349451368914454	0.001673684338421	-0.0004099590608943	-0.0111579963837552	a_priori_cytotoxicity	283.0	278.0	14.0	6719.0	286.0		0.07184225170993329	3.2408955603613266e-08	other	0.1864406779661017	-0.5886995070088192	-0.05905892730793209	-1.4168381723357777	-2.064596606652529
