cohort	unit_id	n_cells	n_mal	n_tnk	n_high	n_low	cldn4_pct	cldn4_mean	cldn4_mean_high	cldn4_mean_low	eligible_q4	cldn4_separated
GSE123902	LX255B	3886	228	1583	57	57	0.3508771929824561	0.6296208581119589	2.075511248652792	0.0	True	True
GSE123902	LX653	392	145	49	36	36	0.7172413793103448	1.1206782556650128	2.149107179433896	0.0	True	True
GSE123902	LX661	4566	117	3726	29	29	0.5897435897435898	0.8766599262475004	2.0298846945932967	0.0	True	True
GSE123902	LX666	1316	786	177	196	196	0.6717557251908397	0.5365509161654242	1.251449575776751	0.0	True	True
GSE123902	LX675	3435	618	1336	154	154	0.313915857605178	0.4590475258999901	1.67655521285943	0.0	True	True
GSE123902	LX676	4014	147	2606	36	36	0.4217687074829932	0.8125919339368699	2.425241267692395	0.0	True	True
GSE123902	LX679	2017	497	625	124	124	0.4325955734406438	0.669107672393565	1.9238708787291423	0.0	True	True
GSE123902	LX680	941	258	344	64	64	0.7325581395348837	1.416630247559216	2.6032363655305426	0.0	True	True
GSE123902	LX681	1630	1207	86	301	301	0.6329743164871583	0.877030078213008	1.9127885414756696	0.0	True	True
GSE123902	LX684	378	173	92	43	43	0.7283236994219653	1.004746120695919	1.9530072028072043	0.0	True	True
GSE131907	BRONCHO_11	3178	203	809	50	50	0.8078817733990148	1.392881176809237	2.3626458258328986	0.1363938374223556	True	True
GSE131907	BRONCHO_58	2813	460	1546	115	115	0.7217391304347827	0.9481318059147508	1.8248752358535183	0.0	True	True
GSE131907	EBUS_06	2303	1186	611	296	296	0.7116357504215851	1.2913168469170937	2.392529240876628	0.0	True	True
GSE131907	EBUS_10	5144	367	1530	91	91	0.8446866485013624	1.2945740132568715	2.355847131133153	0.214771677129242	True	True
GSE131907	EBUS_12	3115	257	328	64	64	0.8832684824902723	1.351490756957306	2.148812696202928	0.3733030891202582	True	True
GSE131907	EBUS_15	1105	256	479	64	64	0.47265625	0.8119832798535316	2.2899017893497358	0.0	True	True
GSE131907	EBUS_19	2112	217	1427	54	54	0.9400921658986175	1.7474658600633577	2.376022868068333	0.9222260131590464	True	True
GSE131907	EBUS_28	5182	4640	232	1160	1160	0.9633620689655172	2.2467188681265977	3.1303615273152285	1.284955377615974	True	True
GSE131907	EBUS_49	1775	114	1126	28	28	0.4912280701754385	0.739481158228922	1.9663434920468223	0.0	True	True
GSE131907	EBUS_51	3275	1285	1143	321	321	0.8536964980544747	1.1968405406569536	2.01337927817709	0.2410274582288624	True	True
GSE131907	NS_02	2313	181	977	45	45	0.585635359116022	0.8218572045084204	1.895859173356287	0.0	True	True
GSE131907	NS_03	2990	2713	145	678	678	0.9314412089937338	1.998787761635737	2.8066358916760863	0.9728754900093748	True	True
GSE131907	NS_04	1904	1229	131	307	307	0.8934092758340114	1.354791396579656	2.0750130162346987	0.4519802695016085	True	True
GSE131907	NS_06	1070	83	383	20	20	0.6024096385542169	1.1611399711934332	2.4959706235458805	0.0	True	True
GSE131907	NS_07	5730	5108	166	1277	1277	0.90407204385278	1.7547770869782728	2.6088082007766187	0.6886262971060165	True	True
GSE131907	NS_12	3182	2811	22	702	702	0.8633938100320171	1.6870670352333	2.624899051635107	0.4941641751009166	True	True
GSE131907	NS_13	4845	1352	1780	338	338	0.724112426035503	1.2590224698856125	2.355900638982093	0.0	True	True
GSE131907	NS_17	2409	1112	410	278	278	0.8821942446043165	2.104375246506132	3.1431245743224454	0.7845639753683958	True	True
GSE131907	NS_19	3300	755	370	188	188	0.671523178807947	1.018040597432119	2.042542404896197	0.0	True	True
GSE205335	P0031	6428	319	3824	79	79	0.592476489028213	0.948840567858431	2.1676355785455	0.0	True	True
GSE205335	P1006	6090	1282	2998	320	320	0.741809672386895	1.33807747885309	2.41885877830822	0.0	True	True
GSE205335	P1015	1195	291	473	72	72	0.415807560137457	0.768437608466827	2.33812042675059	0.0	True	True
GSE205335	P1016	6924	5336	763	1334	1334	0.826461769115442	1.45507075081984	2.64518251306258	0.172749755520015	True	True
GSE205335	P1017	6266	2186	2370	546	546	0.643183897529735	1.44683392559664	3.19889526492408	0.0	True	True
GSE205335	P1018	5029	1180	2546	295	295	0.670338983050847	1.45671272694963	2.83798829545497	0.0	True	True
